date,rent increase
2004-01-01,17.55677794638341
2004-02-01,15.146513353115727
2004-03-01,20.71340579710145
2004-04-01,11.734195402298852
2004-05-01,15.849200913242012
2004-06-01,14.719995759117896
2004-07-01,13.629839786381842
2004-08-01,23.328489816194736
2004-09-01,17.477215508559922
2004-10-01,18.16313448456306
2004-11-01,11.305370985603545
2004-12-01,17.82214948172395
2005-01-01,12.393019726858878
2005-02-01,13.126978239366963
2005-03-01,15.781642512077296
2005-04-01,15.645593869731801
2005-05-01,15.849200913242012
2005-06-01,19.049406276505515
2005-07-01,18.17311971517579
2005-08-01,25.357054148037754
2005-09-01,15.421072507552871
2005-10-01,16.02629513343799
2005-11-01,18.08859357696567
2005-12-01,17.82214948172395
2006-01-01,17.55677794638341
2006-02-01,18.17581602373887
2006-03-01,18.74070048309179
2006-04-01,16.623443486590038
2006-05-01,21.443036529680366
2006-06-01,19.91528837998304
2006-07-01,20.899087672452158
2006-08-01,22.314207650273225
2006-09-01,17.477215508559922
2006-10-01,16.02629513343799
2006-11-01,18.08859357696567
2006-12-01,17.82214948172395
2007-01-01,21.687784522003035
2007-02-01,17.166048466864492
2007-03-01,19.72705314009662
2007-04-01,21.512691570881227
2007-05-01,18.64611872146119
2007-06-01,21.647052586938084
2007-07-01,20.899087672452158
2007-08-01,18.257078986587185
2007-09-01,18.505287009063448
2007-10-01,17.094714809000525
2007-11-01,19.219130675526024
2007-12-01,21.163802509547192
2008-01-01,22.720536165907944
2008-02-01,18.17581602373887
2008-03-01,16.767995169082127
2008-04-01,18.579142720306514
2008-05-01,19.57842465753425
2008-06-01,19.91528837998304
2008-07-01,17.264463729417
2008-08-01,18.257078986587185
2008-09-01,17.477215508559922
2008-10-01,14.95787545787546
2008-11-01,13.566445182724253
2008-12-01,12.252727768685217
2009-01-01,15.491274658573598
2009-02-01,14.136745796241346
2009-03-01,12.822584541062803
2009-04-01,13.689894636015326
2009-05-01,10.255365296803653
2009-06-01,14.719995759117896
2009-07-01,13.629839786381842
2009-08-01,12.171385991058123
2009-09-01,13.364929506545822
2009-10-01,12.821036106750395
2009-11-01,13.566445182724253
2009-12-01,12.252727768685217
2010-01-01,13.425771370763783
2010-02-01,11.1074431256182
2010-03-01,14.795289855072465
2010-04-01,12.712045019157088
2010-05-01,13.052283105022832
2010-06-01,13.854113655640374
2010-07-01,14.538495772140632
2010-08-01,15.214232488822653
2010-09-01,12.336858006042299
2010-10-01,12.821036106750395
2010-11-01,13.566445182724253
2010-12-01,12.252727768685217
2011-01-01,13.425771370763783
2011-02-01,16.15628090999011
2011-03-01,16.767995169082127
2011-04-01,16.623443486590038
2011-05-01,15.849200913242012
2011-06-01,17.317642069550466
2011-07-01,18.17311971517579
2011-08-01,16.228514654744163
2011-09-01,16.449144008056397
2011-10-01,17.094714809000525
2011-11-01,15.827519379844961
2011-12-01,14.48049645390071
2012-01-01,18.589529590288315
2012-02-01,18.17581602373887
2012-03-01,16.767995169082127
2012-04-01,19.55699233716475
2012-05-01,19.57842465753425
