date,rent assistance
2004-01-01,7.036824485891917
2004-02-01,8.544715447154472
2004-03-01,8.257014590347925
2004-04-01,10.965049556598851
2004-05-01,9.232796486090775
2004-06-01,8.567934782608695
2004-07-01,10.354679802955665
2004-08-01,10.536340852130326
2004-09-01,10.401259559154296
2004-10-01,7.785185185185185
2004-11-01,6.996671421778411
2004-12-01,5.8962131837307155
2005-01-01,11.057867049258727
2005-02-01,10.986062717770034
2005-03-01,11.795735129068463
2005-04-01,13.158059467918623
2005-05-01,13.336261591020008
2005-06-01,8.567934782608695
2005-07-01,10.354679802955665
2005-08-01,9.658312447786132
2005-09-01,9.455690508322087
2005-10-01,10.704629629629629
2005-11-01,11.99429386590585
2005-12-01,11.792426367461431
2006-01-01,10.052606408417024
2006-02-01,9.765389082462253
2006-03-01,10.616161616161616
2006-04-01,9.868544600938966
2006-05-01,11.284529038555391
2006-06-01,12.37590579710145
2006-07-01,10.354679802955665
2006-08-01,10.536340852130326
2006-09-01,12.292397660818715
2006-10-01,8.758333333333333
2006-11-01,11.99429386590585
2006-12-01,9.827021972884527
2007-01-01,11.057867049258727
2007-02-01,10.986062717770034
2007-03-01,11.795735129068463
2007-04-01,13.158059467918623
2007-05-01,13.336261591020008
2007-06-01,13.327898550724639
2007-07-01,13.80623973727422
2007-08-01,12.292397660818713
2007-09-01,14.183535762483132
2007-10-01,14.597222222222221
2007-11-01,12.993818354731337
2007-12-01,12.775128564749885
2008-01-01,14.073648971783834
2008-02-01,13.427409988385598
2008-03-01,14.154882154882156
2008-04-01,15.351069379238393
2008-05-01,13.336261591020008
2008-06-01,13.327898550724639
2008-07-01,13.80623973727422
2008-08-01,14.926482873851295
2008-09-01,17.020242914979757
2008-10-01,18.489814814814814
2008-11-01,14.99286733238231
2008-12-01,14.74053295932679
2009-01-01,17.08943089430894
2009-02-01,18.310104529616723
2009-03-01,20.052749719416386
2009-04-01,20.833594157537817
2009-05-01,18.46559297218155
2009-06-01,19.03985507246377
2009-07-01,19.846469622331693
