date,public housing
2004-01-01,57.89568221070812
2004-02-01,57.749168330006654
2004-03-01,53.82402055234425
2004-04-01,59.67352024922119
2004-05-01,56.30396039603961
2004-06-01,52.66567065073042
2004-07-01,62.17481623521893
2004-08-01,50.77944111776447
2004-09-01,47.60439932318105
2004-10-01,53.045671438309476
2004-11-01,56.80296756383713
2004-12-01,53.779611294462775
2005-01-01,53.76027633851468
2005-02-01,53.76646706586826
2005-03-01,56.707450224791266
2005-04-01,52.21433021806854
2005-05-01,48.401650165016505
2005-06-01,56.64043824701196
2005-07-01,45.913710450623206
2005-08-01,45.801064537591486
2005-09-01,65.83587140439933
2005-10-01,56.10599863667348
2005-11-01,53.70462387853692
2005-12-01,46.09680968096809
2006-01-01,50.6587219343696
2006-02-01,46.79673985362608
2006-03-01,51.90173410404625
2006-04-01,50.34953271028038
2006-05-01,48.401650165016505
2006-06-01,46.703519256308105
2006-07-01,49.739852988175144
2006-08-01,48.78809048569528
2006-09-01,46.59153976311337
2006-10-01,48.965235173824134
2006-11-01,45.442374051069706
2006-12-01,43.901723505683904
2007-01-01,49.62487046632124
2007-02-01,40.822687957418495
2007-03-01,41.32915863840719
2007-04-01,45.68753894080997
2007-05-01,49.38943894389439
2007-06-01,47.69721115537849
2007-07-01,48.78331735378716
2007-08-01,47.79241516966068
2007-09-01,46.59153976311337
2007-10-01,44.88479890933879
2007-11-01,47.507936507936506
2007-12-01,50.486982031536485
2008-01-01,49.62487046632124
2008-02-01,44.80538922155689
2008-03-01,45.17373153500321
2008-04-01,48.48473520249222
2008-05-01,51.36501650165017
2008-06-01,45.70982735723772
2008-07-01,51.65292425695111
2008-08-01,47.79241516966068
2008-09-01,47.60439932318105
2008-10-01,46.92501704158146
2008-11-01,44.4095928226363
2008-12-01,43.901723505683904
2009-01-01,47.557167530224525
2009-02-01,52.77079174983366
2009-03-01,49.97944765574824
2009-04-01,47.55233644859813
2009-05-01,45.43828382838284
2009-06-01,47.69721115537849
2009-07-01,49.739852988175144
2009-08-01,48.78809048569528
2009-09-01,46.59153976311337
2009-10-01,49.98534423994547
2009-11-01,44.4095928226363
2009-12-01,44.999266593326
2010-01-01,45.48946459412781
2010-02-01,46.79673985362608
2010-03-01,49.97944765574824
2010-04-01,47.55233644859813
2010-05-01,47.41386138613862
2010-06-01,48.690903054448874
2010-07-01,43.04410354745926
2010-08-01,47.79241516966068
2010-09-01,44.565820642978004
2010-10-01,40.80436264485344
2010-11-01,40.27846790890269
2010-12-01,41.70663733039971
2011-01-01,48.59101899827289
2011-02-01,46.79673985362608
2011-03-01,49.01830443159923
2011-04-01,43.82274143302181
2011-05-01,46.42607260726073
2011-06-01,47.69721115537849
2011-07-01,45.913710450623206
2011-08-01,47.79241516966068
2011-09-01,45.578680203045685
2011-10-01,44.88479890933879
2011-11-01,43.3768115942029
2011-12-01,42.8041804180418
2012-01-01,48.59101899827289
2012-02-01,39.8270126413839
2012-03-01,43.2514450867052
2012-04-01,46.619937694704056
2012-05-01,45.43828382838284
2012-06-01,46.703519256308105
2012-07-01,45.913710450623206
2012-08-01,44.80538922155689
2012-09-01,44.565820642978004
2012-10-01,44.88479890933879
2012-11-01,42.3440303657695
2012-12-01,39.51155115511551
2013-01-01,46.523316062176164
2013-02-01,43.80971390552229
2013-03-01,44.21258831085421
2013-04-01,44.755140186915895
2013-05-01,45.43828382838284
2013-06-01,42.72875166002657
2013-07-01,43.04410354745926
2013-08-01,43.80971390552229
2013-09-01,41.52724196277496
2013-10-01,43.864689843217455
2013-11-01,41.31124913733609
2013-12-01,41.70663733039971
2014-01-01,44.45561312607945
2014-02-01,41.818363273453095
2014-03-01,44.21258831085421
2014-04-01,43.82274143302181
2014-05-01,45.43828382838284
2014-06-01,47.69721115537849
2014-07-01,47.82678171939917
2014-08-01,42.814038589487694
2014-09-01,44.565820642978004
2014-10-01,43.864689843217455
2014-11-01,41.31124913733609
2014-12-01,39.51155115511551
2015-01-01,41.35405872193437
2015-02-01,38.8313373253493
2015-03-01,48.05716120745023
2015-04-01,41.95794392523365
2015-05-01,44.45049504950495
2015-06-01,45.70982735723772
2015-07-01,45.913710450623206
2015-08-01,50.77944111776447
2015-09-01,45.578680203045685
2015-10-01,42.84458077709612
2015-11-01,44.4095928226363
2015-12-01,41.70663733039971
2016-01-01,39.28635578583765
2016-02-01,39.8270126413839
2016-03-01,41.32915863840719
2016-04-01,40.09314641744549
2016-05-01,41.48712871287129
2016-06-01,43.72244355909695
2016-07-01,39.21796100990732
2016-08-01,41.818363273453095
