date,sublease
2004-01-01,60.845599873377644
2004-02-01,47.79715330788805
2004-03-01,54.808678894205215
2004-04-01,70.26035383996783
2004-05-01,59.39664329721691
2004-06-01,63.45849546044099
2004-07-01,49.1810844370861
2004-08-01,55.42146996035377
2004-09-01,69.9686512118019
2004-10-01,52.17855902777779
2004-11-01,47.37408759124087
2004-12-01,53.11921173559562
2005-01-01,54.207898069009175
2005-02-01,52.24340012722647
2005-03-01,58.52452153110048
2005-04-01,63.23431845597106
2005-05-01,65.3363076269386
2005-06-01,67.08469520103762
2005-07-01,53.03842439293599
2005-08-01,59.68465995730406
2005-09-01,69.9686512118019
2005-10-01,60.672743055555564
2005-11-01,53.447688564476884
2005-12-01,51.88388123011665
2006-01-01,49.782763532763525
2006-02-01,47.79715330788805
2006-03-01,52.95075757575758
2006-04-01,63.936921994370735
2006-05-01,59.39664329721691
2006-06-01,49.860246433203635
2006-07-01,54.967094370860934
2006-08-01,46.89508996645319
2006-09-01,51.55584826132772
2006-10-01,50.96510416666668
2006-11-01,58.30656934306569
2006-12-01,46.94255920820078
2007-01-01,50.88904716682494
2007-02-01,48.90871501272265
2007-03-01,48.30595427963849
2007-04-01,54.803075995174915
2007-05-01,54.19943700871043
2007-06-01,46.23404669260701
2007-07-01,52.07408940397352
2007-08-01,47.96088746569076
2007-09-01,46.6457674745346
2007-10-01,57.032378472222234
2007-11-01,46.15936739659367
2007-12-01,46.94255920820078
2008-01-01,42.038778094333644
2008-02-01,47.79715330788805
2008-03-01,49.23491493886231
2008-04-01,51.9926618415762
2008-05-01,46.77485659655832
2008-06-01,47.14059662775617
2008-07-01,47.25241445916115
2008-08-01,45.829292467215616
2008-09-01,44.19072708113804
2008-10-01,47.32473958333334
2008-11-01,47.37408759124087
2008-12-01,48.17788971367975
2009-01-01,50.88904716682494
2009-02-01,43.350906488549626
2009-03-01,49.23491493886231
2009-04-01,44.966626457579416
2009-05-01,46.77485659655832
2009-06-01,49.860246433203635
2009-07-01,46.28807947019868
2009-08-01,46.89508996645319
2009-09-01,47.87328767123288
2009-10-01,43.68437500000001
2009-11-01,51.01824817518248
2009-12-01,43.236567691763874
2010-01-01,42.038778094333644
2010-02-01,42.23934478371502
2010-03-01,45.51907230196704
2010-04-01,41.45360876558102
2010-05-01,46.03239855534311
2010-06-01,43.514396887159535
2010-07-01,39.53773454746137
2010-08-01,44.76349496797805
2010-09-01,35.59808570425009
2010-10-01,32.763281250000006
2010-11-01,35.226885644768856
2010-12-01,42.001237186284904
2011-01-01,39.826210826210826
2011-02-01,42.23934478371502
2011-03-01,43.661150983519406
2011-04-01,42.1562123039807
2011-05-01,46.77485659655832
2011-06-01,43.514396887159535
2011-07-01,42.43073951434879
2011-08-01,41.56610247026533
2011-09-01,39.280646294344926
2011-10-01,42.4709201388889
2011-11-01,41.30048661800487
2011-12-01,44.471898197242844
2012-01-01,45.35762899651788
2012-02-01,42.23934478371502
2012-03-01,40.87426900584796
2012-04-01,44.966626457579416
2012-05-01,45.2899405141279
2012-06-01,44.42094682230869
2012-07-01,46.28807947019868
2012-08-01,45.829292467215616
2012-09-01,40.508166491043205
2012-10-01,41.25746527777778
2012-11-01,43.72992700729927
2012-12-01,42.001237186284904
2013-01-01,46.463912630579294
2013-02-01,43.350906488549626
2013-03-01,41.803229665071775
2013-04-01,47.07443707277845
2013-05-01,46.77485659655832
2013-06-01,46.23404669260701
2013-07-01,45.323744481236204
2013-08-01,47.96088746569076
2013-09-01,44.19072708113804
2013-10-01,47.32473958333334
2013-11-01,47.37408759124087
2013-12-01,46.94255920820078
2014-01-01,48.67647989870211
2014-02-01,46.685591603053446
2014-03-01,49.23491493886231
2014-04-01,54.100472456775236
2014-05-01,54.94189504992565
2014-06-01,48.953696498054484
2014-07-01,51.10975441501104
2014-08-01,49.026684964928336
2014-09-01,51.55584826132772
2014-10-01,50.96510416666668
2014-11-01,53.447688564476884
2014-12-01,54.35454224107458
2015-01-01,53.10161443494776
2015-02-01,52.24340012722647
2015-03-01,52.95075757575758
2015-04-01,56.20828307197427
2015-05-01,61.62401742086255
2015-06-01,57.11264591439689
2015-07-01,62.68177428256071
2015-08-01,53.289874961878624
2015-09-01,58.920969441517386
2015-10-01,54.60546875000001
2015-11-01,59.521289537712896
2015-12-01,59.295864262990456
2016-01-01,59.73931623931623
2016-02-01,62.247455470737926
2016-03-01,61.31140350877194
2016-04-01,61.8291113791717
2016-05-01,65.3363076269386
2016-06-01,57.11264591439689
2016-07-01,54.00275938189846
2016-08-01,57.55306495882891
2016-09-01,56.465929048120834
2016-10-01,54.60546875000001
2016-11-01,61.9507299270073
2016-12-01,61.76652527394839
2017-01-01,60.845599873377644
2017-02-01,65.58214058524175
2017-03-01,71.52997076023392
2017-04-01,62.53171491757138
2017-05-01,63.108933503292974
2017-06-01,65.2715953307393
2017-07-01,60.75310430463577
2017-08-01,59.68465995730406
2017-09-01,58.920969441517386
2017-10-01,69.16692708333335
2017-11-01,66.8096107055961
2017-12-01,65.4725167903853
2018-01-01,60.845599873377644
2018-02-01,66.69370229007635
2018-03-01,61.31140350877194
2018-04-01,63.936921994370735
2018-05-01,60.881559379647335
2018-06-01,65.2715953307393
2018-07-01,63.64610927152319
2018-08-01,62.882052455016776
2018-09-01,56.465929048120834
2018-10-01,64.3131076388889
2018-11-01,58.30656934306569
2018-12-01,60.531194768469426
2019-01-01,61.95188350743906
2019-02-01,61.13589376590332
2019-03-01,60.38244284954812
2019-04-01,57.61349014877363
2019-05-01,56.426811132356065
2019-06-01,58.01919584954605
2019-07-01,57.86009933774835
2019-08-01,57.55306495882891
2019-09-01,60.148489638215665
2019-10-01,59.459288194444454
2019-11-01,53.447688564476884
2019-12-01,55.58987274655355
2020-01-01,57.52674897119341
2020-02-01,56.6896469465649
2020-03-01,43.661150983519406
2020-04-01,30.91455568958585
2020-05-01,39.350276184406205
2020-06-01,49.860246433203635
2020-07-01,58.82443432671082
2020-08-01,62.882052455016776
2020-09-01,60.148489638215665
2020-10-01,54.60546875000001
2020-11-01,51.01824817518248
2020-12-01,50.64855072463768
2021-01-01,49.782763532763525
2021-02-01,50.02027671755726
