date,rent relief
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.9329710144927537
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,1.2261904761904763
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.975378787878788
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,1.2032710280373833
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,1.15990990990991
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,1.2032710280373833
2010-02-01,1.2261904761904763
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,1.1195652173913044
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.6670984455958548
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,0.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,0.0
2012-10-01,0.0
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,0.0
2013-07-01,0.0
2013-08-01,0.0
2013-09-01,0.0
2013-10-01,0.0
2013-11-01,0.0
2013-12-01,0.0
2014-01-01,0.0
2014-02-01,0.0
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,0.0
2014-06-01,0.0
2014-07-01,0.0
2014-08-01,0.0
2014-09-01,0.0
2014-10-01,0.0
2014-11-01,0.0
2014-12-01,0.0
2015-01-01,0.0
2015-02-01,0.0
2015-03-01,0.0
2015-04-01,0.0
2015-05-01,0.0
2015-06-01,0.0
2015-07-01,0.0
2015-08-01,0.0
2015-09-01,0.0
2015-10-01,0.0
2015-11-01,0.0
2015-12-01,0.0
2016-01-01,0.0
2016-02-01,0.0
2016-03-01,0.0
2016-04-01,0.0
2016-05-01,0.0
2016-06-01,0.0
2016-07-01,0.0
2016-08-01,0.0
2016-09-01,0.0
2016-10-01,0.0
2016-11-01,0.0
2016-12-01,0.0
2017-01-01,0.0
2017-02-01,0.0
2017-03-01,0.0
2017-04-01,0.0
2017-05-01,0.0
2017-06-01,0.0
2017-07-01,0.0
2017-08-01,0.0
2017-09-01,0.975378787878788
2017-10-01,0.9329710144927537
2017-11-01,0.0
2017-12-01,0.0
2018-01-01,0.0
2018-02-01,0.0
2018-03-01,0.0
2018-04-01,0.0
2018-05-01,0.0
2018-06-01,0.0
2018-07-01,0.9397810218978102
2018-08-01,1.005859375
2018-09-01,0.975378787878788
2018-10-01,0.9329710144927537
2018-11-01,0.9329710144927537
2018-12-01,0.0
2019-01-01,1.2032710280373833
2019-02-01,0.0
2019-03-01,0.0
2019-04-01,1.1099137931034484
2019-05-01,0.0
2019-06-01,0.0
2019-07-01,0.0
2019-08-01,0.0
2019-09-01,0.0
2019-10-01,0.0
2019-11-01,0.0
2019-12-01,0.0
2020-01-01,0.0
2020-02-01,0.0
2020-03-01,10.006476683937823
2020-04-01,17.758620689655174
2020-05-01,13.91891891891892
2020-06-01,12.31521739130435
2020-07-01,32.89233576642336
2020-08-01,19.111328125
2020-09-01,10.729166666666668
2020-10-01,8.396739130434783
2020-11-01,8.396739130434783
2020-12-01,14.42
2021-01-01,21.6588785046729
2021-02-01,38.011904761904766
2021-03-01,23.34844559585492
2021-04-01,31.077586206896555
2021-05-01,37.11711711711712
2021-06-01,50.3804347826087
2021-07-01,48.86861313868613
2021-08-01,67.392578125
2021-09-01,81.93181818181819
2021-10-01,90.49818840579711
2021-11-01,93.29710144927536
2021-12-01,86.52
2022-01-01,75.80607476635515
2022-02-01,66.21428571428572
2022-03-01,39.35880829015544
2022-04-01,49.946120689655174
2022-05-01,48.71621621621622
2022-06-01,44.78260869565218
2022-07-01,31.01277372262774
2022-08-01,28.1640625
2022-09-01,21.458333333333336
2022-10-01,16.793478260869566
2022-11-01,14.927536231884059
2022-12-01,14.42
2023-01-01,16.845794392523366
2023-02-01,14.714285714285715
2023-03-01,52.033678756476675
2023-04-01,23.308189655172416
2023-05-01,18.55855855855856
2023-06-01,13.434782608695652
2023-07-01,8.458029197080291
2023-08-01,8.046875
2023-09-01,6.827651515151516
2023-10-01,6.530797101449275
2023-11-01,5.5978260869565215
2023-12-01,7.21
2024-01-01,7.2196261682243
2024-02-01,4.904761904761905
2024-03-01,2.0012953367875648
2024-04-01,3.329741379310345
2024-05-01,6.95945945945946
2024-06-01,4.478260869565218
2024-07-01,3.759124087591241
2024-08-01,3.017578125
2024-09-01,2.9261363636363638
2024-10-01,2.7989130434782608
2024-11-01,1.8659420289855073
2024-12-01,2.06
2025-01-01,3.60981308411215
2025-02-01,2.4523809523809526
2025-03-01,1.3341968911917097
2025-04-01,2.219827586206897
2025-05-01,2.31981981981982
2025-06-01,2.239130434782609
2025-07-01,2.8193430656934306
2025-08-01,2.01171875
2025-09-01,1.950757575757576
2025-10-01,1.8659420289855073
2025-11-01,2.7989130434782608
2025-12-01,4.12
