date,homeless assistance
2004-01-01,0.0
2004-02-01,45.60741945477076
2004-03-01,0.0
2004-04-01,53.701179177451834
2004-05-01,37.17132505175984
2004-06-01,43.32274130190797
2004-07-01,40.052464332036315
2004-08-01,36.63096148941597
2004-09-01,37.316186022343466
2004-10-01,37.88281838733987
2004-11-01,41.46362586605081
2004-12-01,0.0
2005-01-01,33.33730158730159
2005-02-01,33.37128252788104
2005-03-01,31.468231611893586
2005-04-01,0.0
2005-05-01,31.86113575865129
2005-06-01,32.240179573512904
2005-07-01,35.39520103761349
2005-08-01,30.22054322876817
2005-09-01,20.523902312288907
2005-10-01,42.39267771916604
2005-11-01,54.36342057993328
2005-12-01,40.10831863609641
2006-01-01,38.714285714285715
2006-02-01,32.25890644361834
2006-03-01,39.33528951486698
2006-04-01,42.341314351452404
2006-05-01,35.047249334516415
2006-06-01,36.27020202020202
2006-07-01,30.737937743190663
2006-08-01,33.88363937770977
2006-09-01,41.047804624577815
2006-10-01,37.88281838733987
2006-11-01,36.8565563253785
2006-12-01,37.9973544973545
2007-01-01,41.94047619047619
2007-02-01,33.37128252788104
2007-03-01,42.70688575899844
2007-04-01,41.30859936727064
2007-05-01,32.923173617273
2007-06-01,33.24768518518518
2007-07-01,38.18955901426719
2007-08-01,35.715187452180565
2007-09-01,31.718758118991946
2007-10-01,46.00056518462698
2007-11-01,44.227867590454196
2007-12-01,36.94187242798354
2008-01-01,45.166666666666664
2008-02-01,42.27029120198266
2008-03-01,41.58302034428795
2008-04-01,45.4394593039977
2008-05-01,48.853741496598644
2008-06-01,36.27020202020202
2008-07-01,36.326653696498056
2008-08-01,37.54673552665137
2008-09-01,40.114899974019224
2008-10-01,36.98084652097463
2008-11-01,45.14928149858866
2008-12-01,45.38572898295121
2009-01-01,44.09126984126984
2009-02-01,46.71979553903346
2009-03-01,61.812597809076685
2009-04-01,48.537604256543
2009-05-01,50.97781721384206
2009-06-01,41.30773007856341
2009-07-01,47.50408560311284
2009-08-01,41.209831675592966
2009-09-01,51.30975578072226
2009-10-01,52.31436824918362
2009-11-01,59.89190402874006
2009-12-01,58.05151381540271
2010-01-01,44.09126984126984
2010-02-01,55.61880421313508
2010-03-01,53.94553990610329
2010-04-01,48.537604256543
2010-05-01,54.163930789707194
2010-06-01,54.405303030303024
