date,housing authority
2004-01-01,60.6078963230862
2004-02-01,63.09103954081634
2004-03-01,66.6472602739726
2004-04-01,63.49922311995029
2004-05-01,62.87400000000001
2004-06-01,62.65852272727273
2004-07-01,61.13026607538803
2004-08-01,59.72450424929178
2004-09-01,60.42578125
2004-10-01,56.5491905354919
2004-11-01,61.41269284712483
2004-12-01,62.78506208911614
2005-01-01,59.63034960819771
2005-02-01,66.19387755102042
2005-03-01,65.63745330012453
2005-04-01,63.49922311995029
2005-05-01,59.88000000000001
2005-06-01,62.65852272727273
2005-07-01,56.635393569844794
2005-08-01,62.48101983002832
2005-09-01,68.22265625
2005-10-01,60.58841843088418
2005-11-01,61.41269284712483
2005-12-01,60.41581446311176
2006-01-01,59.63034960819771
2006-02-01,64.12531887755104
2006-03-01,64.62764632627646
2006-04-01,64.50714729645743
2006-05-01,63.87200000000001
2006-06-01,62.65852272727273
2006-07-01,62.92821507760532
2006-08-01,66.15637393767705
2006-09-01,62.375
2006-10-01,69.6766811955168
2006-11-01,64.82450911640954
2006-12-01,63.96968590211833
2007-01-01,63.540536467751664
2007-02-01,62.05676020408164
2007-03-01,63.61783935242839
2007-04-01,60.47545059042884
2007-05-01,67.864
2007-06-01,60.815625000000004
2007-07-01,61.13026607538803
2007-08-01,65.23753541076486
2007-09-01,62.375
2007-10-01,63.61783935242839
2007-11-01,63.68723702664797
2007-12-01,66.33893352812271
2008-01-01,64.51808318264015
2008-02-01,53.782525510204096
2008-03-01,62.608032378580326
2008-04-01,68.53884400248602
2008-05-01,60.87800000000001
2008-06-01,60.815625000000004
2008-07-01,64.72616407982262
2008-08-01,60.643342776203966
2008-09-01,66.2734375
2008-10-01,70.68648816936488
2008-11-01,61.41269284712483
2008-12-01,60.41581446311176
2009-01-01,67.45072332730561
2009-02-01,68.2624362244898
2009-03-01,76.7453300124533
2009-04-01,70.55469235550032
2009-05-01,69.86000000000001
2009-06-01,75.55880681818182
2009-07-01,75.51385809312639
2009-08-01,71.66940509915014
2009-09-01,71.146484375
2009-10-01,75.73552303860522
2009-11-01,73.9226858345021
2009-12-01,69.8928049671293
2010-01-01,73.31600361663654
2010-02-01,73.43383290816328
2010-03-01,79.77475093399751
2010-04-01,72.57054070851461
2010-05-01,72.85400000000001
2010-06-01,72.79446022727274
2010-07-01,69.22103658536587
2010-08-01,65.23753541076486
2010-09-01,70.171875
2010-10-01,65.63745330012453
2010-11-01,67.09905329593268
2010-12-01,67.5235573411249
2011-01-01,78.20373719107897
2011-02-01,68.2624362244898
2011-03-01,74.72571606475717
2011-04-01,77.61016159105034
2011-05-01,75.84800000000001
2011-06-01,75.55880681818182
2011-07-01,75.51385809312639
2011-08-01,79.02011331444758
2011-09-01,78.943359375
2011-10-01,73.7159090909091
2011-11-01,76.19723001402525
2011-12-01,78.18517165814463
2012-01-01,79.18128390596746
2012-02-01,78.60522959183675
2012-03-01,72.70610211706102
2012-04-01,78.6180857675575
2012-05-01,83.83200000000001
2012-06-01,79.24460227272728
2012-07-01,78.21078159645234
2012-08-01,77.18243626062322
2012-09-01,78.943359375
2012-10-01,75.73552303860522
2012-11-01,73.9226858345021
2012-12-01,66.33893352812271
2013-01-01,79.18128390596746
2013-02-01,77.57095025510206
2013-03-01,69.6766811955168
2013-04-01,77.61016159105034
2013-05-01,77.84400000000001
2013-06-01,73.7159090909091
2013-07-01,83.60462860310422
2013-08-01,75.34475920679887
2013-09-01,76.994140625
2013-10-01,76.7453300124533
2013-11-01,71.64814165497897
2013-12-01,77.00054784514244
2014-01-01,81.13637733574443
2014-02-01,77.57095025510206
2014-03-01,75.73552303860522
2014-04-01,81.64185829707894
2014-05-01,82.834
2014-06-01,77.40170454545455
2014-07-01,86.30155210643017
2014-08-01,75.34475920679887
2014-09-01,81.8671875
2014-10-01,81.79436488169365
2014-11-01,77.33450210378682
2014-12-01,80.554419284149
2015-01-01,80.15883062085594
2015-02-01,77.57095025510206
2015-03-01,78.76494396014944
2015-04-01,81.64185829707894
2015-05-01,79.84
2015-06-01,83.85184659090909
2015-07-01,81.80667960088692
2015-08-01,79.93895184135977
2015-09-01,78.943359375
2015-10-01,80.78455790784558
2015-11-01,79.60904628330997
2015-12-01,77.00054784514244
2016-01-01,67.45072332730561
2016-02-01,73.43383290816328
2016-03-01,73.7159090909091
2016-04-01,73.57846488502176
2016-05-01,73.852
2016-06-01,72.79446022727274
2016-07-01,67.42308758314856
2016-08-01,74.42592067988669
2016-09-01,78.943359375
2016-10-01,67.65706724782068
2016-11-01,69.37359747545582
2016-12-01,68.7081811541271
2017-01-01,70.38336347197107
2017-02-01,72.39955357142858
2017-03-01,75.73552303860522
2017-04-01,70.55469235550032
2017-05-01,74.85000000000001
2017-06-01,76.48025568181819
2017-07-01,74.61488359201775
2017-08-01,75.34475920679887
2017-09-01,70.171875
2017-10-01,74.72571606475717
2017-11-01,80.74631837307153
2017-12-01,78.18517165814463
2018-01-01,74.29355033152503
2018-02-01,72.39955357142858
2018-03-01,70.68648816936488
2018-04-01,76.6022374145432
2018-05-01,75.84800000000001
2018-06-01,76.48025568181819
2018-07-01,74.61488359201775
2018-08-01,79.93895184135977
2018-09-01,75.044921875
2018-10-01,77.75513698630137
2018-11-01,78.4717741935484
2018-12-01,80.554419284149
2019-01-01,78.20373719107897
2019-02-01,77.57095025510206
2019-03-01,71.69629514321295
2019-04-01,75.59431323803605
2019-05-01,76.846
2019-06-01,77.40170454545455
2019-07-01,80.90770509977828
2019-08-01,80.85779036827195
2019-09-01,80.892578125
2019-10-01,80.78455790784558
2019-11-01,78.4717741935484
2019-12-01,81.7390430971512
2020-01-01,82.11392405063292
2020-02-01,80.67378826530614
2020-03-01,70.68648816936488
2020-04-01,56.44375388440025
2020-05-01,57.88400000000001
2020-06-01,70.03011363636364
2020-07-01,67.42308758314856
2020-08-01,66.15637393767705
2020-09-01,67.248046875
2020-10-01,76.7453300124533
2020-11-01,72.78541374474054
2020-12-01,79.36979547114682
2021-01-01,71.36091018685956
2021-02-01,78.60522959183675
2021-03-01,77.75513698630137
2021-04-01,78.6180857675575
2021-05-01,76.846
2021-06-01,81.0875
2021-07-01,75.51385809312639
2021-08-01,81.77662889518413
2021-09-01,79.91796875
2021-10-01,78.76494396014944
2021-11-01,84.15813464235625
2021-12-01,82.92366691015339
2022-01-01,85.04656419529837
2022-02-01,94.11941964285717
2022-03-01,94.92185554171856
2022-04-01,85.67355500310752
2022-05-01,86.82600000000001
2022-06-01,88.45909090909092
2022-07-01,86.30155210643017
2022-08-01,91.88385269121812
2022-09-01,83.81640625
2022-10-01,83.81397882938978
2022-11-01,87.56995091164096
2022-12-01,87.66216216216216
2023-01-01,85.04656419529837
2023-02-01,87.91374362244899
2023-03-01,88.86301369863014
2023-04-01,82.64978247358609
2023-05-01,84.83000000000001
2023-06-01,84.77329545454546
2023-07-01,83.60462860310422
2023-08-01,87.28966005665723
2023-09-01,86.740234375
2023-10-01,88.86301369863014
2023-11-01,90.98176718092567
2023-12-01,84.10829072315559
2024-01-01,86.02411091018686
2024-02-01,84.81090561224491
2024-03-01,79.77475093399751
2024-04-01,86.68147917961467
2024-05-01,83.83200000000001
2024-06-01,78.32315340909092
2024-07-01,81.80667960088692
2024-08-01,78.1012747875354
2024-09-01,73.095703125
2024-10-01,73.7159090909091
2024-11-01,71.64814165497897
2024-12-01,72.26205259313367
2025-01-01,75.2710970464135
2025-02-01,69.2967155612245
2025-03-01,66.6472602739726
2025-04-01,74.5863890615289
2025-05-01,71.85600000000001
2025-06-01,68.18721590909091
2025-07-01,72.81693458980045
2025-08-01,67.99405099150141
2025-09-01,69.197265625
2025-10-01,67.65706724782068
2025-11-01,75.05995792426368
2025-12-01,75.81592403214025
