date,cost of living
2004-01-01,90.377593066212
2004-02-01,88.16969562647755
2004-03-01,90.59450323339212
2004-04-01,85.81565884476534
2004-05-01,91.66397849462366
2004-06-01,95.80128205128204
2004-07-01,93.97391802808828
2004-08-01,94.9483980283426
2004-09-01,90.462784728906
2004-10-01,82.87519747235388
2004-11-01,88.70048309178745
2004-12-01,87.87269681742045
2005-01-01,81.06031543052003
2005-02-01,82.35630910165484
2005-03-01,80.95679012345678
2005-04-01,84.82927196149217
2005-05-01,81.5910138248848
2005-06-01,84.07051282051282
2005-07-01,77.05861278303239
2005-08-01,82.827325939618
2005-09-01,78.8919634263715
2005-10-01,69.40797788309638
2005-11-01,73.9170692431562
2005-12-01,75.79020100502514
2006-01-01,72.67476555839727
2006-02-01,73.6362293144208
2006-03-01,73.24661963550852
2006-04-01,71.01985559566786
2006-05-01,69.50345622119816
2006-06-01,67.45192307692308
2006-07-01,72.35991688162797
2006-08-01,69.69616451016637
2006-09-01,63.113570741097206
2006-10-01,64.22827804107426
2006-11-01,63.35748792270532
2006-12-01,53.822026800670024
2007-01-01,66.1526712134129
2007-02-01,64.91614952718676
2007-03-01,69.39153439153439
2007-04-01,67.07430806257521
2007-05-01,72.52534562211983
2007-06-01,70.38461538461539
2007-07-01,65.7817426196618
2007-08-01,63.635628465804075
2007-09-01,57.85410651267244
2007-10-01,65.26421800947868
2007-11-01,61.24557165861514
2007-12-01,56.01884422110553
2008-01-01,60.56230463199773
2008-02-01,58.133865248226954
2008-03-01,55.89873603762493
2008-04-01,61.155986762936216
2008-05-01,57.41589861751152
2008-06-01,56.69871794871795
2008-07-01,53.565133276010314
2008-08-01,49.49437769562539
2008-09-01,54.69842797561758
2008-10-01,52.8329383886256
2008-11-01,45.40619967793881
2008-12-01,43.936348408710224
2009-01-01,40.99602159704462
2009-02-01,42.6315011820331
2009-03-01,41.44216637272193
2009-04-01,41.42824909747292
2009-05-01,41.29915514592934
2009-06-01,41.05769230769231
2009-07-01,39.469045571797075
2009-08-01,41.413662969809
2009-09-01,44.17949951876805
2009-10-01,47.65323854660348
2009-11-01,43.29428341384863
2009-12-01,42.83793969849247
2010-01-01,40.99602159704462
2010-02-01,41.66260342789598
2010-03-01,42.40593768371546
2010-04-01,41.42824909747292
2010-05-01,40.29185867895546
2010-06-01,41.05769230769231
2010-07-01,36.64982803095443
2010-08-01,39.393484288354905
2010-09-01,38.92003529034328
2010-10-01,41.43759873617694
2010-11-01,38.01449275362319
2010-12-01,39.5427135678392
2011-01-01,40.99602159704462
2011-02-01,42.6315011820331
2011-03-01,42.40593768371546
2011-04-01,43.401022864019254
2011-05-01,41.29915514592934
2011-06-01,40.080128205128204
2011-07-01,46.04721983376326
2011-08-01,45.4540203327172
