date,homeless shelter
2004-01-01,44.70955165692008
2004-02-01,37.91286089238845
2004-03-01,45.89084802686818
2004-04-01,40.6323488045007
2004-05-01,35.20186154741128
2004-06-01,43.96396396396396
2004-07-01,36.566391184573
2004-08-01,35.78666666666666
2004-09-01,43.55482993197279
2004-10-01,40.666666666666664
2004-11-01,56.27387387387387
2004-12-01,55.65943775100401
2005-01-01,36.148148148148145
2005-02-01,44.06089238845144
2005-03-01,39.33501259445844
2005-04-01,35.14149085794655
2005-05-01,36.337405468295515
2005-06-01,40.666666666666664
2005-07-01,38.71735537190082
2005-08-01,39.03999999999999
2005-09-01,41.43020408163265
2005-10-01,39.67479674796748
2005-11-01,44.550150150150145
2005-12-01,44.68433734939759
2006-01-01,35.19688109161793
2006-02-01,39.962204724409446
2006-03-01,38.24237335572348
2006-04-01,40.6323488045007
2006-05-01,38.608493310063984
2006-06-01,37.369369369369366
2006-07-01,38.71735537190082
2006-08-01,37.95555555555555
2006-09-01,37.180952380952384
2006-10-01,41.65853658536585
2006-11-01,46.89489489489489
2006-12-01,45.46827309236947
2007-01-01,39.00194931773879
2007-02-01,42.01154855643045
2007-03-01,41.52029107192835
2007-04-01,41.73052039381153
2007-05-01,42.015125072716685
2007-06-01,40.666666666666664
2007-07-01,37.641873278236915
2007-08-01,39.03999999999999
2007-09-01,39.305578231292515
2007-10-01,43.642276422764226
2007-11-01,48.45805805805806
2007-12-01,46.252208835341364
2008-01-01,42.807017543859644
2008-02-01,40.98687664041995
2008-03-01,39.33501259445844
2008-04-01,41.73052039381153
2008-05-01,42.015125072716685
2008-06-01,39.567567567567565
2008-07-01,38.71735537190082
2008-08-01,40.12444444444444
2008-09-01,44.61714285714286
2008-10-01,43.642276422764226
2008-11-01,53.92912912912912
2008-12-01,58.011244979919674
2009-01-01,44.70955165692008
2009-02-01,47.13490813648294
2009-03-01,48.07612650433809
2009-04-01,45.025035161744015
2009-05-01,48.8283885980221
2009-06-01,45.063063063063055
2009-07-01,41.94380165289256
2009-08-01,41.208888888888886
2009-09-01,44.61714285714286
2009-10-01,49.59349593495935
2009-11-01,51.58438438438438
2009-12-01,55.65943775100401
2010-01-01,47.563352826510716
2010-02-01,40.98687664041995
2010-03-01,43.70556954939826
2010-04-01,43.92686357243319
2010-05-01,42.015125072716685
2010-06-01,39.567567567567565
2010-07-01,40.868319559228645
2010-08-01,43.37777777777777
2010-09-01,43.55482993197279
2010-10-01,43.642276422764226
2010-11-01,48.45805805805806
2010-12-01,47.82008032128514
2011-01-01,52.31968810916179
2011-02-01,50.208923884514434
2011-03-01,54.63196193674783
2011-04-01,56.006751054852316
2011-05-01,53.37056428155904
2011-06-01,53.85585585585585
2011-07-01,48.39669421487603
2011-08-01,50.968888888888884
2011-09-01,50.991020408163266
2011-10-01,50.58536585365854
2011-11-01,50.02122122122122
2011-12-01,50.1718875502008
2012-01-01,47.563352826510716
2012-02-01,49.184251968503936
2012-03-01,48.07612650433809
2012-04-01,49.417721518987335
2012-05-01,48.8283885980221
2012-06-01,52.75675675675675
2012-07-01,53.77410468319559
2012-08-01,53.13777777777777
2012-09-01,52.053333333333335
2012-10-01,51.577235772357724
2012-11-01,50.02122122122122
2012-12-01,49.387951807228916
2013-01-01,46.6120857699805
2013-02-01,49.184251968503936
2013-03-01,49.168765743073045
2013-04-01,60.39943741209564
2013-05-01,51.099476439790564
2013-06-01,50.55855855855855
2013-07-01,51.623140495867766
2013-08-01,53.13777777777777
2013-09-01,50.991020408163266
2013-10-01,53.56097560975609
2013-11-01,54.71071071071071
2013-12-01,57.22730923694779
2014-01-01,58.027290448343074
2014-02-01,51.23359580052493
2014-03-01,53.539322698012874
2014-04-01,59.301265822784806
2014-05-01,59.04828388598021
2014-06-01,54.95495495495495
2014-07-01,58.076033057851234
2014-08-01,58.559999999999995
2014-09-01,54.17795918367347
2014-10-01,58.52032520325203
2014-11-01,53.92912912912912
2014-12-01,53.30763052208835
2015-01-01,54.22222222222222
2015-02-01,54.30761154855643
2015-03-01,56.81724041421774
2015-04-01,61.49760900140646
2015-05-01,60.18382780686444
2015-06-01,59.35135135135135
2015-07-01,55.92506887052341
2015-08-01,61.813333333333325
2015-09-01,59.48952380952381
2015-10-01,62.48780487804878
2015-11-01,62.526526526526524
2015-12-01,61.146987951807226
2016-01-01,64.68615984405457
2016-02-01,62.504986876640416
2016-03-01,59.00251889168766
2016-04-01,65.89029535864978
2016-05-01,70.40372309482257
2016-06-01,62.64864864864864
2016-07-01,63.453443526170794
2016-08-01,62.89777777777777
2016-09-01,74.36190476190477
2016-10-01,68.4390243902439
2016-11-01,63.3081081081081
2016-12-01,71.33815261044177
2017-01-01,72.29629629629629
2017-02-01,73.77637795275591
2017-03-01,75.39210747271201
2017-04-01,68.08663853727144
2017-05-01,73.81035485747526
2017-06-01,80.23423423423422
2017-07-01,81.73663911845729
2017-08-01,78.07999999999998
2017-09-01,70.11265306122449
2017-10-01,69.43089430894308
2017-11-01,72.68708708708708
2017-12-01,71.33815261044177
2018-01-01,78.9551656920078
