date,housing prices
2004-01-01,53.2967032967033
2004-02-01,48.55950920245399
2004-03-01,45.48651817116061
2004-04-01,47.945080091533185
2004-05-01,59.76413959085439
2004-06-01,59.692307692307686
2004-07-01,53.48370927318295
2004-08-01,49.204755614266844
2004-09-01,53.91825613079018
2004-10-01,45.772290809327856
2004-11-01,50.63262411347518
2004-12-01,52.47769784172662
2005-01-01,51.16483516483517
2005-02-01,59.03312883435582
2005-03-01,60.95193434935522
2005-04-01,55.93592677345538
2005-05-01,58.83032490974729
2005-06-01,69.47793190416141
2005-07-01,69.04260651629072
2005-08-01,70.73183619550859
2005-09-01,63.43324250681198
2005-10-01,62.803840877914965
2005-11-01,56.13617021276596
2005-12-01,52.47769784172662
2006-01-01,52.23076923076923
2006-02-01,53.320245398773004
2006-03-01,49.12543962485346
2006-04-01,53.27231121281465
2006-05-01,56.02888086642599
2006-06-01,56.756620428751575
2006-07-01,52.51127819548872
2006-08-01,60.480845442536335
2006-09-01,59.20435967302451
2006-10-01,60.67489711934157
2006-11-01,48.43120567375887
2006-12-01,42.42877697841727
2007-01-01,40.505494505494504
2007-02-01,38.08588957055215
2007-03-01,40.93786635404455
2007-04-01,40.8421052631579
2007-05-01,39.22021660649819
2007-06-01,38.16393442622951
2007-07-01,40.84210526315789
2007-08-01,51.2549537648613
2007-09-01,50.74659400544958
2007-10-01,48.96570644718794
2007-11-01,47.33049645390071
2007-12-01,50.24460431654676
2008-01-01,51.16483516483517
2008-02-01,48.55950920245399
2008-03-01,53.67409144196952
2008-04-01,45.28146453089245
2008-05-01,50.42599277978339
2008-06-01,45.99243379571248
2008-07-01,45.70426065162907
2008-08-01,33.82826948480846
2008-09-01,47.574931880108984
2008-10-01,60.67489711934157
2008-11-01,47.33049645390071
2008-12-01,46.89496402877698
2009-01-01,42.637362637362635
2009-02-01,54.272392638036806
2009-03-01,40.93786635404455
2009-04-01,35.51487414187643
2009-05-01,34.55114320096269
2009-06-01,32.29255989911727
2009-07-01,32.090225563909776
2009-08-01,31.778071334214005
2009-09-01,29.602179836512256
2009-10-01,29.80521262002744
2009-11-01,27.5177304964539
2009-12-01,25.68057553956835
2010-01-01,28.78021978021978
2010-02-01,27.612269938650304
2010-03-01,28.20164126611958
2010-04-01,27.524027459954233
2010-05-01,25.212996389891696
2010-06-01,23.485498108448926
2010-07-01,23.338345864661655
2010-08-01,26.652575957727876
2010-09-01,23.25885558583106
2010-10-01,23.418381344307274
2010-11-01,23.114893617021277
2010-12-01,24.564028776978418
2011-01-01,30.912087912087912
2011-02-01,28.56441717791411
2011-03-01,27.291910902696365
2011-04-01,25.748283752860413
2011-05-01,28.948255114320094
2011-06-01,29.35687263556116
2011-07-01,24.31077694235589
2011-08-01,26.652575957727876
2011-09-01,23.25885558583106
2011-10-01,23.418381344307274
2011-11-01,25.31631205673759
2011-12-01,21.214388489208634
2012-01-01,24.516483516483515
2012-02-01,25.707975460122697
2012-03-01,21.833528722157094
2012-04-01,22.19679633867277
2012-05-01,20.543922984356197
2012-06-01,19.571248423707438
2012-07-01,20.421052631578945
2012-08-01,20.50198150594452
2012-09-01,23.25885558583106
2012-10-01,22.35390946502058
2012-11-01,20.913475177304964
2012-12-01,20.097841726618707
2013-01-01,22.384615384615383
2013-02-01,20.94723926380368
2013-03-01,22.743259085580306
2013-04-01,24.8604118993135
2013-05-01,22.411552346570396
2013-06-01,21.528373266078184
2013-07-01,23.338345864661655
2013-08-01,21.527080581241744
2013-09-01,20.08719346049046
2013-10-01,20.224965706447193
2013-11-01,20.913475177304964
2013-12-01,21.214388489208634
2014-01-01,23.45054945054945
2014-02-01,21.899386503067483
2014-03-01,21.833528722157094
2014-04-01,22.19679633867277
2014-05-01,20.543922984356197
2014-06-01,20.54981084489281
2014-07-01,20.421052631578945
2014-08-01,19.476882430647294
2014-09-01,20.08719346049046
2014-10-01,20.224965706447193
2014-11-01,20.913475177304964
