date,moving costs
2004-01-01,75.51829268292683
2004-02-01,54.3686755952381
2004-03-01,60.87111208920188
2004-04-01,58.34229033970276
2004-05-01,47.960977062853736
2004-06-01,83.94023413431917
2004-07-01,68.87114712424533
2004-08-01,105.60346343178621
2004-09-01,77.03689502385822
2004-10-01,56.62569013112492
2004-11-01,53.014116575591984
2004-12-01,38.455028044871796
2005-01-01,59.78531504065041
2005-02-01,56.21168154761905
2005-03-01,68.13930457746478
2005-04-01,55.87712314225053
2005-05-01,82.08705689603813
2005-06-01,79.17090264941467
2005-07-01,61.984032411820785
2005-08-01,77.29738045007032
2005-09-01,53.820296523517385
2005-10-01,65.17296411318151
2005-11-01,57.525956284153004
2005-12-01,62.02423878205128
2006-01-01,55.58985433604336
2006-02-01,63.58370535714286
2006-03-01,49.06029929577465
2006-04-01,57.52056794055201
2006-05-01,57.1842418826333
2006-06-01,60.09357670979668
2006-07-01,68.87114712424533
2006-08-01,43.5478199718706
2006-09-01,39.04609747784595
2006-10-01,40.59955141476881
2006-11-01,48.502276867030965
2006-12-01,55.821814903846146
2007-01-01,59.78531504065041
2007-02-01,53.44717261904762
2007-03-01,49.06029929577465
2007-04-01,53.4119559447983
2007-05-01,55.33958891867739
2007-06-01,48.64718114602588
2007-07-01,55.09691769939626
2007-08-01,53.346079465541486
2007-09-01,47.48849693251534
2007-10-01,45.941597653554176
2007-11-01,45.1183970856102
2007-12-01,49.61939102564102
2008-01-01,57.68758468834689
2008-02-01,42.38913690476191
2008-03-01,48.151775234741784
2008-04-01,44.373009554140125
2008-05-01,44.27167113494191
2008-06-01,53.41651263093038
2008-07-01,42.306561804893555
2008-08-01,37.01564697609001
2008-09-01,36.935497614178594
2008-10-01,33.12068668046929
2008-11-01,38.350637522768665
2008-12-01,39.69551282051282
2009-01-01,34.612550813008134
2009-02-01,43.31063988095239
2009-03-01,37.249486502347416
2009-04-01,37.79923036093418
2009-05-01,35.97073279714031
2009-06-01,48.64718114602588
2009-07-01,49.19367651731809
2009-08-01,50.079992967651194
2009-09-01,37.990797546012274
2009-10-01,42.73636991028296
2009-11-01,41.73451730418943
2009-12-01,42.17648237179487
2010-01-01,44.052337398373986
2010-02-01,45.153645833333336
2010-03-01,47.24325117370892
2010-04-01,43.55128715498938
2010-05-01,41.50469168900804
2010-06-01,36.24691928527419
2010-07-01,43.29043533523991
2010-08-01,39.19303797468354
2010-09-01,37.990797546012274
2010-10-01,35.25750517598344
2010-11-01,39.478597449908925
2010-12-01,37.21454326923077
2011-01-01,38.80801151761518
2011-02-01,35.93861607142858
2011-03-01,39.97505868544601
2011-04-01,39.44267515923567
2011-05-01,47.03865058087578
2011-06-01,44.831715958102286
2011-07-01,45.258182395932636
2011-08-01,39.19303797468354
2011-09-01,39.04609747784595
2011-10-01,37.39432367149759
2011-11-01,33.83879781420765
2011-12-01,37.21454326923077
2012-01-01,39.85687669376694
2012-02-01,37.781622023809526
2012-03-01,43.609154929577464
2012-04-01,39.44267515923567
2012-05-01,44.27167113494191
2012-06-01,39.10851817621688
2012-07-01,36.403320622815386
2012-08-01,40.2817334739803
2012-09-01,34.82489775051125
2012-10-01,34.189095928226365
2012-11-01,32.71083788706739
2012-12-01,32.252604166666664
2013-01-01,38.80801151761518
2013-02-01,37.781622023809526
2013-03-01,37.249486502347416
2013-04-01,32.868895966029726
2013-05-01,40.58236520703009
2013-06-01,38.154651879235985
2013-07-01,41.32268827454719
2013-08-01,46.813906469760894
2013-09-01,34.82489775051125
2013-10-01,36.325914423740514
2013-11-01,33.83879781420765
2013-12-01,29.771634615384613
2014-01-01,37.75914634146341
2014-02-01,39.62462797619048
2014-03-01,39.97505868544601
2014-04-01,40.26439755838641
2014-05-01,40.58236520703009
2014-06-01,39.10851817621688
2014-07-01,42.306561804893555
2014-08-01,35.92695147679324
2014-09-01,40.10139740967962
2014-10-01,37.39432367149759
2014-11-01,39.478597449908925
2014-12-01,34.733573717948715
2015-01-01,37.75914634146341
2015-02-01,36.86011904761905
2015-03-01,37.249486502347416
2015-04-01,37.79923036093418
2015-05-01,41.50469168900804
2015-06-01,40.06238447319779
2015-07-01,44.27430886558628
2015-08-01,37.01564697609001
2015-09-01,37.990797546012274
2015-10-01,39.53114216701174
2015-11-01,33.83879781420765
2015-12-01,37.21454326923077
2016-01-01,39.85687669376694
2016-02-01,41.46763392857143
2016-03-01,42.7006308685446
2016-04-01,41.08611995753716
2016-05-01,42.427018170986
2016-06-01,39.10851817621688
2016-07-01,38.37106768350811
2016-08-01,34.83825597749648
2016-09-01,42.21199727334697
2016-10-01,36.325914423740514
2016-11-01,39.478597449908925
2016-12-01,44.65745192307692
2017-01-01,41.954607046070464
2017-02-01,46.07514880952381
2017-03-01,47.24325117370892
2017-04-01,43.55128715498938
2017-05-01,41.50469168900804
2017-06-01,41.01625077017869
2017-07-01,45.258182395932636
2017-08-01,44.636515471167364
2017-09-01,41.15669734151329
2017-10-01,51.28364389233955
2017-11-01,41.73451730418943
2017-12-01,40.93599759615384
2018-01-01,44.052337398373986
2018-02-01,45.153645833333336
2018-03-01,44.51767899061033
2018-04-01,43.55128715498938
2018-05-01,36.89305927911826
2018-06-01,38.154651879235985
2018-07-01,42.306561804893555
2018-08-01,38.10434247538677
2018-09-01,42.21199727334697
2018-10-01,41.667960662525886
2018-11-01,43.990437158469945
2018-12-01,37.21454326923077
2019-01-01,38.80801151761518
2019-02-01,42.38913690476191
2019-03-01,39.066534624413144
2019-04-01,55.05540074309979
2019-05-01,47.960977062853736
2019-06-01,37.20078558225509
2019-07-01,37.387194153161744
2019-08-01,37.01564697609001
2019-09-01,36.935497614178594
2019-10-01,35.25750517598344
2019-11-01,34.966757741347905
2019-12-01,39.69551282051282
2020-01-01,39.85687669376694
2020-02-01,36.86011904761905
2020-03-01,28.16424589201878
2020-04-01,32.868895966029726
2020-05-01,34.12607983318439
2020-06-01,38.154651879235985
2020-07-01,43.29043533523991
2020-08-01,41.37042897327707
2020-09-01,47.48849693251534
2020-10-01,45.941597653554176
2020-11-01,40.60655737704918
2020-12-01,43.4169671474359
2021-01-01,37.75914634146341
2021-02-01,45.153645833333336
2021-03-01,43.609154929577464
2021-04-01,40.26439755838641
2021-05-01,44.27167113494191
2021-06-01,38.154651879235985
2021-07-01,36.403320622815386
2021-08-01,37.01564697609001
2021-09-01,43.26729720518064
2021-10-01,42.73636991028296
2021-11-01,46.24635701275045
2021-12-01,40.93599759615384
2022-01-01,48.24779810298103
2022-02-01,49.76116071428572
2022-03-01,56.32849178403756
2022-04-01,55.05540074309979
2022-05-01,48.8833035448317
2022-06-01,43.87784966112138
2022-07-01,39.35494121385447
2022-08-01,42.45912447257383
2022-09-01,49.599096796182685
2022-10-01,50.21523464458247
2022-11-01,54.14207650273224
2022-12-01,45.89793669871794
2023-01-01,48.24779810298103
2023-02-01,51.60416666666667
2023-03-01,50.877347417840376
2023-04-01,50.125066348195325
2023-05-01,49.80563002680965
2023-06-01,41.01625077017869
2023-07-01,42.306561804893555
2023-08-01,39.19303797468354
2023-09-01,56.986196319018404
2023-10-01,59.830917874396135
2023-11-01,63.16575591985428
2023-12-01,55.821814903846146
2024-01-01,52.44325880758808
2024-02-01,61.74069940476191
2024-03-01,59.962588028169016
2024-04-01,63.27262473460722
2024-05-01,52.57260947274352
2024-06-01,45.785582255083185
2024-07-01,45.258182395932636
2024-08-01,44.636515471167364
2024-09-01,62.26269597818678
2024-10-01,68.37819185645273
2024-11-01,68.80555555555556
2024-12-01,63.26472355769231
2025-01-01,60.83418021680217
2025-02-01,65.42671130952381
2025-03-01,61.779636150234744
2025-04-01,66.5595143312102
2025-05-01,55.33958891867739
2025-06-01,58.185844115834875
2025-07-01,62.96790594216715
2025-08-01,67.49912095639944
2025-09-01,92.86639400136333
2025-10-01,96.15683229813665
2025-11-01,101.51639344262294
2025-12-01,124.04847756410255
