date,missed mortgage payment
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,94.02985074626866
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,84.53984575835476
2009-07-01,0.0
2009-08-01,60.17910447761194
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,0.0
2011-11-01,39.78947368421053
2011-12-01,0.0
2012-01-01,24.69886363636364
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,26.144092219020173
2012-06-01,27.20822622107969
2012-07-01,32.78571428571429
2012-08-01,0.0
2012-09-01,24.652173913043484
2012-10-01,23.441860465116285
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,22.551136363636367
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,26.208
2013-05-01,0.0
2013-06-01,20.40616966580977
2013-07-01,19.28571428571429
2013-08-01,0.0
2013-09-01,0.0
2013-10-01,0.0
2013-11-01,0.0
2013-12-01,18.173076923076923
2014-01-01,0.0
2014-02-01,25.42105263157895
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,21.786743515850144
2014-06-01,0.0
2014-07-01,0.0
2014-08-01,0.0
2014-09-01,0.0
2014-10-01,0.0
2014-11-01,0.0
2014-12-01,0.0
2015-01-01,0.0
2015-02-01,0.0
2015-03-01,0.0
2015-04-01,0.0
2015-05-01,0.0
2015-06-01,0.0
2015-07-01,22.17857142857143
2015-08-01,0.0
2015-09-01,27.391304347826093
2015-10-01,17.581395348837212
2015-11-01,0.0
2015-12-01,0.0
2016-01-01,31.142045454545457
2016-02-01,0.0
2016-03-01,21.058495821727025
2016-04-01,18.144
2016-05-01,28.32276657060519
2016-06-01,0.0
2016-07-01,18.321428571428573
2016-08-01,0.0
2016-09-01,0.0
2016-10-01,23.441860465116285
2016-11-01,25.130193905817173
2016-12-01,19.08173076923077
2017-01-01,20.403409090909093
2017-02-01,23.210526315789476
2017-03-01,24.217270194986078
2017-04-01,0.0
2017-05-01,0.0
2017-06-01,0.0
2017-07-01,15.42857142857143
2017-08-01,20.686567164179106
2017-09-01,18.260869565217394
2017-10-01,15.627906976744189
2017-11-01,0.0
2017-12-01,34.52884615384615
2018-01-01,21.47727272727273
2018-02-01,30.947368421052634
2018-03-01,18.952646239554323
2018-04-01,22.176000000000002
2018-05-01,15.250720461095101
2018-06-01,19.43444730077121
2018-07-01,27.96428571428572
2018-08-01,22.56716417910448
2018-09-01,27.391304347826093
2018-10-01,25.39534883720931
2018-11-01,24.083102493074794
2018-12-01,25.442307692307693
2019-01-01,21.47727272727273
2019-02-01,40.89473684210527
2019-03-01,30.534818941504188
2019-04-01,21.168
2019-05-01,34.85878962536023
2019-06-01,25.264781491002573
2019-07-01,30.85714285714286
2019-08-01,0.0
2019-09-01,25.56521739130435
2019-10-01,23.441860465116285
2019-11-01,34.554016620498615
2019-12-01,31.802884615384617
2020-01-01,33.289772727272734
2020-02-01,37.578947368421055
2020-03-01,46.328690807799454
2020-04-01,44.352000000000004
2020-05-01,39.21613832853026
2020-06-01,42.75578406169666
2020-07-01,35.67857142857143
2020-08-01,37.61194029850746
2020-09-01,36.52173913043479
2020-10-01,39.06976744186047
2020-11-01,23.03601108033241
2020-12-01,27.259615384615383
2021-01-01,32.21590909090909
2021-02-01,43.10526315789474
2021-03-01,37.905292479108645
2021-04-01,42.336
2021-05-01,31.59077809798271
2021-06-01,24.29305912596401
2021-07-01,24.10714285714286
2021-08-01,24.44776119402985
2021-09-01,44.739130434782616
2021-10-01,27.34883720930233
2021-11-01,28.27146814404432
2021-12-01,22.716346153846153
2022-01-01,55.84090909090909
2022-02-01,43.10526315789474
2022-03-01,52.64623955431757
2022-04-01,52.416
2022-05-01,35.94812680115274
2022-06-01,32.066838046272494
2022-07-01,36.642857142857146
2022-08-01,22.56716417910448
2022-09-01,39.2608695652174
2022-10-01,42.00000000000001
2022-11-01,39.78947368421053
2022-12-01,26.350961538461537
2023-01-01,26.84659090909091
2023-02-01,43.10526315789474
2023-03-01,41.0640668523677
2023-04-01,46.368
2023-05-01,49.02017291066282
2023-06-01,27.20822622107969
2023-07-01,24.10714285714286
2023-08-01,24.44776119402985
2023-09-01,42.913043478260875
2023-10-01,42.00000000000001
2023-11-01,27.224376731301938
2023-12-01,48.15865384615385
2024-01-01,48.32386363636364
2024-02-01,43.10526315789474
2024-03-01,52.64623955431757
2024-04-01,45.36
2024-05-01,43.57348703170029
2024-06-01,32.066838046272494
2024-07-01,27.000000000000004
2024-08-01,30.08955223880597
2024-09-01,49.30434782608697
2024-10-01,39.06976744186047
2024-11-01,58.637119113573405
2024-12-01,43.61538461538461
2025-01-01,39.73295454545455
2025-02-01,47.52631578947369
2025-03-01,52.64623955431757
2025-04-01,59.472
2025-05-01,52.288184438040346
2025-06-01,42.75578406169666
2025-07-01,63.64285714285715
2025-08-01,41.37313432835821
2025-09-01,42.00000000000001
2025-10-01,59.58139534883722
2025-11-01,77.48476454293629
2025-12-01,80.8701923076923
