date,lease agreement
2004-01-01,59.83581699346405
2004-02-01,56.63032679738562
2004-03-01,52.59576078728236
2004-04-01,48.224188790560476
2004-05-01,55.80178907721281
2004-06-01,67.11895250776743
2004-07-01,62.55612244897959
2004-08-01,60.640447154471545
2004-09-01,60.14716703458425
2004-10-01,59.50421455938697
2004-11-01,63.575555555555546
2004-12-01,60.22693781314471
2005-01-01,57.69882352941177
2005-02-01,53.42483660130719
2005-03-01,56.72091849608882
2005-04-01,59.27556538839725
2005-05-01,59.65018832391714
2005-06-01,64.39791389258767
2005-07-01,56.47427721088436
2005-08-01,57.31768292682927
2005-09-01,59.14471425067451
2005-10-01,58.460280970625796
2005-11-01,55.628611111111105
2005-12-01,54.204244031830235
2006-01-01,59.83581699346405
2006-02-01,52.356339869281044
2006-03-01,52.59576078728236
2006-04-01,53.24754178957719
2006-05-01,57.725988700564976
2006-06-01,58.955836662228144
2006-07-01,57.343112244897966
2006-08-01,65.62459349593496
2006-09-01,57.13980868285503
2006-10-01,55.32848020434227
2006-11-01,56.76388888888888
2006-12-01,55.408782788093134
2007-01-01,57.69882352941177
2007-02-01,57.69882352941177
2007-03-01,50.53318193287913
2007-04-01,59.27556538839725
2007-05-01,59.65018832391714
2007-06-01,59.86284953395473
2007-07-01,59.08078231292517
2007-08-01,65.62459349593496
2007-09-01,60.14716703458425
2007-10-01,63.67994891443167
2007-11-01,66.98138888888887
2007-12-01,59.02239905688182
2008-01-01,59.83581699346405
2008-02-01,56.63032679738562
2008-03-01,59.81478677769366
2008-04-01,58.27089478859391
2008-05-01,53.877589453860644
2008-06-01,58.04882379050156
2008-07-01,59.94961734693878
2008-08-01,58.979065040650404
2008-09-01,72.1766004415011
2008-10-01,68.89961685823755
2008-11-01,69.25194444444443
2008-12-01,72.27232537577365
2009-01-01,72.65777777777778
2009-02-01,70.52078431372549
2009-03-01,74.25283875851628
2009-04-01,74.3456243854474
2009-05-01,78.8921845574388
2009-06-01,87.07323568575234
2009-07-01,81.67049319727892
2009-08-01,83.0691056910569
2009-09-01,80.19622271277899
2009-10-01,79.3389527458493
2009-11-01,80.60472222222221
2009-12-01,83.1131741821397
2010-01-01,81.20575163398694
2010-02-01,76.93176470588236
2010-03-01,81.47186474892757
2010-04-01,83.38765978367748
2010-05-01,81.77848399246705
2010-06-01,87.98024855747893
2010-07-01,73.85097789115648
2010-08-01,68.94735772357724
2010-09-01,74.18150600932057
2010-10-01,68.89961685823755
2010-11-01,70.3872222222222
2010-12-01,71.06778661951076
2011-01-01,70.52078431372549
2011-02-01,71.58928104575163
2011-03-01,67.03381276810497
2011-04-01,65.30358898721731
2011-05-01,70.23328625235405
2011-06-01,71.65401686640035
2011-07-01,68.63796768707483
2011-08-01,69.77804878048781
2011-09-01,70.17169487368162
2011-10-01,66.8117496807152
2011-11-01,70.3872222222222
2011-12-01,68.65870910698497
2012-01-01,65.17830065359477
2012-02-01,66.24679738562092
2012-03-01,59.81478677769366
2012-04-01,64.29891838741396
2012-05-01,64.46068738229755
2012-06-01,64.39791389258767
2012-07-01,69.50680272108843
2012-08-01,69.77804878048781
2012-09-01,65.15943095413293
2012-10-01,66.8117496807152
2012-11-01,63.575555555555546
2012-12-01,62.6360153256705
2013-01-01,68.3837908496732
2013-02-01,64.10980392156863
2013-03-01,62.90865505929851
2013-04-01,69.32227138643069
2013-05-01,66.38488700564972
2013-06-01,61.6768752774079
2013-07-01,70.37563775510205
2013-08-01,68.11666666666666
2013-09-01,58.14226146676477
2013-10-01,62.6360153256705
2013-11-01,59.03444444444443
2013-12-01,56.613321544356026
2014-01-01,63.041307189542486
2014-02-01,59.83581699346405
2014-03-01,61.87736563209689
2014-04-01,62.289577187807275
2014-05-01,63.498587570621474
2014-06-01,58.955836662228144
2014-07-01,66.90029761904762
2014-08-01,57.31768292682927
2014-09-01,66.16188373804268
2014-10-01,59.50421455938697
2014-11-01,53.358055555555545
2014-12-01,61.43147656940761
2015-01-01,55.56183006535948
2015-02-01,56.63032679738562
2015-03-01,60.846076204895276
