date,housing market crash
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,3.5855923694779115
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,3.7055771725032427
2005-06-01,3.5855923694779115
2005-07-01,0.0
2005-08-01,4.1405797101449275
2005-09-01,2.976041666666667
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,4.058238636363637
2006-01-01,2.278309409888357
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,2.625919117647059
2006-05-01,3.7055771725032427
2006-06-01,2.868473895582329
2006-07-01,0.0
2006-08-01,4.1405797101449275
2006-09-01,3.968055555555556
2006-10-01,3.14647577092511
2006-11-01,2.5463458110516934
2006-12-01,0.0
2007-01-01,2.278309409888357
2007-02-01,2.311488673139159
2007-03-01,1.984027777777778
2007-04-01,1.7506127450980393
2007-05-01,1.8527885862516213
2007-06-01,2.1513554216867465
2007-07-01,2.5418149466192173
2007-08-01,5.175724637681159
2007-09-01,1.984027777777778
2007-10-01,3.14647577092511
2007-11-01,3.81951871657754
2007-12-01,4.058238636363637
2008-01-01,3.4174641148325358
2008-02-01,2.311488673139159
2008-03-01,1.984027777777778
2008-04-01,0.8753063725490197
2008-05-01,0.9263942931258107
2008-06-01,0.7171184738955823
2008-07-01,1.6945432977461448
2008-08-01,0.0
2008-09-01,2.976041666666667
2008-10-01,3.14647577092511
2008-11-01,3.81951871657754
2008-12-01,2.7054924242424243
2009-01-01,2.278309409888357
2009-02-01,3.467233009708738
2009-03-01,2.976041666666667
2009-04-01,1.7506127450980393
2009-05-01,0.9263942931258107
2009-06-01,0.7171184738955823
2009-07-01,0.8472716488730724
2009-08-01,0.0
2009-09-01,0.992013888888889
2009-10-01,2.0976505139500734
2009-11-01,0.0
2009-12-01,2.7054924242424243
2010-01-01,1.1391547049441786
2010-02-01,2.311488673139159
2010-03-01,1.984027777777778
2010-04-01,2.625919117647059
2010-05-01,1.8527885862516213
2010-06-01,0.7171184738955823
2010-07-01,0.8472716488730724
2010-08-01,2.0702898550724638
2010-09-01,0.992013888888889
2010-10-01,3.14647577092511
2010-11-01,2.5463458110516934
2010-12-01,2.7054924242424243
2011-01-01,2.278309409888357
2011-02-01,2.311488673139159
2011-03-01,1.984027777777778
2011-04-01,1.7506127450980393
2011-05-01,1.8527885862516213
2011-06-01,1.4342369477911645
2011-07-01,1.6945432977461448
2011-08-01,2.0702898550724638
2011-09-01,1.984027777777778
2011-10-01,3.14647577092511
2011-11-01,2.5463458110516934
2011-12-01,2.7054924242424243
2012-01-01,2.278309409888357
2012-02-01,2.311488673139159
2012-03-01,1.984027777777778
2012-04-01,2.625919117647059
2012-05-01,1.8527885862516213
2012-06-01,1.4342369477911645
2012-07-01,1.6945432977461448
2012-08-01,2.0702898550724638
2012-09-01,2.976041666666667
2012-10-01,3.14647577092511
2012-11-01,3.81951871657754
2012-12-01,2.7054924242424243
2013-01-01,2.278309409888357
2013-02-01,2.311488673139159
2013-03-01,1.984027777777778
2013-04-01,1.7506127450980393
2013-05-01,1.8527885862516213
2013-06-01,1.4342369477911645
2013-07-01,1.6945432977461448
2013-08-01,2.0702898550724638
2013-09-01,1.984027777777778
2013-10-01,3.14647577092511
2013-11-01,2.5463458110516934
2013-12-01,2.7054924242424243
2014-01-01,2.278309409888357
2014-02-01,2.311488673139159
2014-03-01,1.984027777777778
2014-04-01,2.625919117647059
2014-05-01,2.779182879377432
2014-06-01,1.4342369477911645
2014-07-01,1.6945432977461448
2014-08-01,2.0702898550724638
2014-09-01,1.984027777777778
2014-10-01,3.14647577092511
2014-11-01,2.5463458110516934
2014-12-01,2.7054924242424243
2015-01-01,3.4174641148325358
2015-02-01,3.467233009708738
2015-03-01,2.976041666666667
2015-04-01,3.5012254901960786
2015-05-01,2.779182879377432
2015-06-01,2.1513554216867465
2015-07-01,3.3890865954922895
2015-08-01,4.1405797101449275
2015-09-01,2.976041666666667
2015-10-01,3.14647577092511
2015-11-01,3.81951871657754
2015-12-01,5.410984848484849
2016-01-01,9.113237639553429
2016-02-01,6.934466019417476
2016-03-01,7.936111111111112
2016-04-01,7.877757352941177
2016-05-01,7.411154345006485
2016-06-01,5.0198293172690756
2016-07-01,8.472716488730724
2016-08-01,8.281159420289855
2016-09-01,7.936111111111112
2016-10-01,8.390602055800294
2016-11-01,11.45855614973262
2016-12-01,9.469223484848484
2017-01-01,9.113237639553429
2017-02-01,9.245954692556635
2017-03-01,8.928125000000001
2017-04-01,7.877757352941177
2017-05-01,8.337548638132295
2017-06-01,5.736947791164658
2017-07-01,6.778173190984579
2017-08-01,9.316304347826087
2017-09-01,6.944097222222223
2017-10-01,8.390602055800294
2017-11-01,8.912210338680927
2017-12-01,9.469223484848484
2018-01-01,9.113237639553429
2018-02-01,12.713187702265374
2018-03-01,8.928125000000001
2018-04-01,9.628370098039216
2018-05-01,9.263942931258107
2018-06-01,7.888303212851405
2018-07-01,12.709074733096086
2018-08-01,13.456884057971015
2018-09-01,10.912152777777779
2018-10-01,13.634728340675476
2018-11-01,12.731729055258468
2018-12-01,13.527462121212121
2019-01-01,10.252392344497608
2019-02-01,10.401699029126215
2019-03-01,9.92013888888889
2019-04-01,8.753063725490197
2019-05-01,9.263942931258107
2019-06-01,6.4540662650602405
2019-07-01,8.472716488730724
2019-08-01,12.421739130434784
2019-09-01,8.928125000000001
2019-10-01,9.43942731277533
2019-11-01,10.185383244206774
2019-12-01,10.821969696969697
2020-01-01,10.252392344497608
2020-02-01,13.868932038834952
2020-03-01,36.70451388888889
2020-04-01,31.511029411764707
2020-05-01,21.307068741893644
2020-06-01,11.473895582329316
2020-07-01,15.250889679715304
2020-08-01,19.667753623188407
2020-09-01,14.880208333333334
2020-10-01,17.830029368575623
2020-11-01,19.0975935828877
2020-12-01,21.643939393939394
2021-01-01,22.783094098883574
2021-02-01,24.27063106796117
2021-03-01,26.784375
2021-04-01,32.38633578431373
2021-05-01,37.05577172503243
2021-06-01,27.250502008032125
2021-07-01,35.58540925266904
2021-08-01,35.19492753623189
2021-09-01,31.744444444444447
2021-10-01,32.51358296622614
2021-11-01,36.922014260249554
2021-12-01,32.46590909090909
2022-01-01,46.70534290271132
2022-02-01,57.78721682847897
2022-03-01,52.57673611111112
2022-04-01,56.01960784313726
2022-05-01,59.28923476005188
2022-06-01,71.71184738955823
2022-07-01,72.01809015421115
2022-08-01,47.61666666666667
2022-09-01,62.496875
2022-10-01,66.07599118942731
2022-11-01,44.561051693404636
2022-12-01,47.34611742424242
2023-01-01,62.65350877192982
2023-02-01,40.45105177993528
2023-03-01,28.76840277777778
2023-04-01,23.633272058823533
2023-05-01,32.42380025940337
2023-06-01,55.21812248995983
2023-07-01,32.19632265717675
2023-08-01,30.019202898550724
2023-09-01,42.656597222222224
2023-10-01,25.17180616740088
2023-11-01,26.736631016042782
2023-12-01,27.054924242424242
2024-01-01,19.365629984051036
2024-02-01,18.49190938511327
2024-03-01,17.856250000000003
2024-04-01,16.630821078431374
2024-05-01,15.74870298313878
2024-06-01,14.342369477911646
2024-07-01,16.098161328588375
2024-08-01,20.702898550724637
2024-09-01,13.888194444444446
2024-10-01,12.58590308370044
2024-11-01,16.551247771836007
2024-12-01,13.527462121212121
2025-01-01,14.809011164274322
2025-02-01,20.80339805825243
2025-03-01,19.84027777777778
2025-04-01,21.88265931372549
2025-05-01,13.89591439688716
2025-06-01,10.756777108433734
2025-07-01,14.40361803084223
2025-08-01,13.456884057971015
2025-09-01,11.904166666666669
2025-10-01,13.634728340675476
2025-11-01,22.91711229946524
2025-12-01,20.291193181818183
