date,closing costs
2004-01-01,51.36821040594626
2004-02-01,54.306970849176174
2004-03-01,51.34472511144131
2004-04-01,49.30356703567036
2004-05-01,50.12006446414183
2004-06-01,49.7592
2004-07-01,49.956764866339334
2004-08-01,45.28575498575499
2004-09-01,48.77831247994867
2004-10-01,42.91826116146358
2004-11-01,49.4572504708098
2004-12-01,53.4779761904762
2005-01-01,44.453259005145796
2005-02-01,54.306970849176174
2005-03-01,46.21025260029718
2005-04-01,50.15362853628537
2005-05-01,48.26376578028472
2005-06-01,49.7592
2005-07-01,48.07160392798691
2005-08-01,48.2391737891738
2005-09-01,43.235322425409045
2005-10-01,41.758308157099705
2005-11-01,41.6482109227872
2005-12-01,43.87936507936509
2006-01-01,40.501858204688396
2006-02-01,43.79594423320659
2006-03-01,43.64301634472511
2006-04-01,39.95289052890529
2006-05-01,42.69486972871341
2006-06-01,42.38746666666667
2006-07-01,44.30128205128205
2006-08-01,42.332336182336185
2006-09-01,42.126724414501126
2006-10-01,38.27844914400806
2006-11-01,44.251224105461404
2006-12-01,45.250595238095244
2007-01-01,44.453259005145796
2007-02-01,41.1681875792142
2007-03-01,41.07578008915305
2007-04-01,42.50307503075031
2007-05-01,41.766720386784854
2007-06-01,42.38746666666667
2007-07-01,38.64579923622477
2007-08-01,35.44102564102565
2007-09-01,35.47513634905358
2007-10-01,34.798590130916416
2007-11-01,36.4421845574388
2007-12-01,37.02321428571429
2008-01-01,49.392510005717554
2008-02-01,42.04410646387833
2008-03-01,40.220034670629026
2008-04-01,39.10282902829029
2008-05-01,38.9822723609992
2008-06-01,32.251333333333335
2008-07-01,32.04773595199127
2008-08-01,28.549715099715105
2008-09-01,34.36653833814565
2008-10-01,30.158778113460897
2008-11-01,33.839171374764604
2008-12-01,57.591666666666676
2009-01-01,58.28316180674671
2009-02-01,48.17553865652725
2009-03-01,57.33494304110946
2009-04-01,58.654243542435424
2009-05-01,52.904512489927484
2009-06-01,53.44506666666667
2009-07-01,48.07160392798691
2009-08-01,55.130484330484336
2009-09-01,54.32130253448829
2009-10-01,52.19788519637463
2009-11-01,49.4572504708098
2009-12-01,47.993055555555564
2010-01-01,49.392510005717554
2010-02-01,48.17553865652725
2010-03-01,48.777488855869244
2010-04-01,49.30356703567036
2010-05-01,39.91042170292775
2010-06-01,40.544533333333334
2010-07-01,42.41612111292962
2010-08-01,47.25470085470086
2010-09-01,45.4525184472249
2010-10-01,46.398120174555224
2010-11-01,44.251224105461404
2010-12-01,37.02321428571429
2011-01-01,41.48970840480275
2011-02-01,42.92002534854246
2011-03-01,40.220034670629026
2011-04-01,40.8029520295203
2011-05-01,39.91042170292775
2011-06-01,42.38746666666667
2011-07-01,41.47354064375341
2011-08-01,48.2391737891738
2011-09-01,47.66971446904075
2011-10-01,49.877979187646865
2011-11-01,48.1557438794727
2011-12-01,45.250595238095244
2012-01-01,49.392510005717554
2012-02-01,46.42370088719898
2012-03-01,44.498761763249135
2012-04-01,42.50307503075031
2012-05-01,46.40746709642762
2012-06-01,48.83773333333333
2012-07-01,47.12902345881069
2012-08-01,48.2391737891738
2012-09-01,53.21270452358037
2012-10-01,48.71802618328299
2012-11-01,46.8542372881356
2012-12-01,46.62182539682541
2013-01-01,48.4046598056032
2013-02-01,49.05145754119138
2013-03-01,45.35450718177316
2013-04-01,45.90332103321033
2013-05-01,44.55116841257051
2013-06-01,44.2304
2013-07-01,46.18644298963448
2013-08-01,46.270227920227924
2013-09-01,41.0181264035932
2013-10-01,46.398120174555224
2013-11-01,45.5527306967985
2013-12-01,41.136904761904766
2014-01-01,41.48970840480275
2014-02-01,41.1681875792142
2014-03-01,37.652798415056964
2014-04-01,42.50307503075031
2014-05-01,43.62301907064196
2014-06-01,46.9948
2014-07-01,46.18644298963448
2014-08-01,42.332336182336185
2014-09-01,44.34392043631697
2014-10-01,45.238167170191346
2014-11-01,45.5527306967985
2014-12-01,45.250595238095244
2015-01-01,47.41680960548885
2015-02-01,43.79594423320659
2015-03-01,48.777488855869244
2015-04-01,50.15362853628537
2015-05-01,52.904512489927484
2015-06-01,50.68066666666667
2015-07-01,49.01418439716312
2015-08-01,55.130484330484336
2015-09-01,49.88691049085659
2015-10-01,53.357838200738506
2015-11-01,49.4572504708098
2015-12-01,50.735515873015885
2016-01-01,47.41680960548885
2016-02-01,52.555133079847906
2016-03-01,58.190688459633485
2016-04-01,62.05448954489545
2016-05-01,58.4734085414988
2016-06-01,52.5236
2016-07-01,53.72708674304419
2016-08-01,52.17706552706554
2016-09-01,52.104106512672445
2016-10-01,54.51779120510239
2016-11-01,52.060263653484
2016-12-01,50.735515873015885
2017-01-01,56.307461406518016
2017-02-01,56.93472750316857
2017-03-01,61.61367013372957
2017-04-01,61.20442804428045
2017-05-01,63.11415525114156
2017-06-01,60.8168
2017-07-01,62.210310965630114
2017-08-01,56.11495726495727
2017-09-01,52.104106512672445
2017-10-01,59.15760322255791
2017-11-01,58.5677966101695
2017-12-01,54.849206349206355
2018-01-01,57.29531160663236
2018-02-01,59.562484157160966
2018-03-01,62.469415552253594
2018-04-01,62.05448954489545
2018-05-01,60.329707225355904
2018-06-01,60.8168
2018-07-01,63.15289143480633
2018-08-01,56.11495726495727
2018-09-01,52.104106512672445
2018-10-01,56.83769721383015
2018-11-01,53.3617702448211
2018-12-01,50.735515873015885
2019-01-01,53.34391080617496
2019-02-01,57.8106463878327
2019-03-01,57.33494304110946
2019-04-01,61.20442804428045
2019-05-01,62.18600590921301
2019-06-01,65.42413333333333
2019-07-01,61.2677304964539
2019-08-01,66.94415954415955
2019-09-01,67.62447866538338
2019-10-01,67.27727425310508
2019-11-01,66.3768361581921
2019-12-01,60.334126984126996
2020-01-01,63.22241280731847
2020-02-01,68.32167300380227
2020-03-01,64.18090638930164
2020-04-01,56.95412054120541
2020-05-01,75.18009669621274
2020-06-01,84.77493333333334
2020-07-01,94.25804691762139
2020-08-01,91.55598290598292
2020-09-01,86.47064485081809
2020-10-01,86.99647532729105
2020-11-01,84.5979284369115
2020-12-01,90.50119047619049
2021-01-01,79.02801600914809
2021-02-01,72.70126742712294
2021-03-01,73.59410599306588
2021-04-01,70.55510455104552
2021-05-01,69.61120064464143
2021-06-01,65.42413333333333
2021-07-01,64.09547190398254
2021-08-01,66.94415954415955
2021-09-01,68.7330766762913
2021-10-01,70.75713326619672
2021-11-01,71.5828625235405
2021-12-01,64.44781746031747
2022-01-01,69.14951400800457
2022-02-01,68.32167300380227
2022-03-01,68.45963348192174
2022-04-01,64.60467404674047
2022-05-01,58.4734085414988
2022-06-01,56.209466666666664
2022-07-01,54.6696672122204
2022-08-01,59.068376068376075
2022-09-01,60.97289059993584
