date,foreclosure
2004-01-01,32.03742937853107
2004-02-01,28.20527476935419
2004-03-01,29.04521808723489
2004-04-01,33.45501474926254
2004-05-01,32.572780678851174
2004-06-01,33.127362542955325
2004-07-01,34.109022556390975
2004-08-01,33.8833760136577
2004-09-01,31.812762973352037
2004-10-01,29.691912108461903
2004-11-01,30.812173458725184
2004-12-01,33.63138385502471
2005-01-01,32.03742937853107
2005-02-01,31.844665062174087
2005-03-01,31.76820728291316
2005-04-01,31.54329962073325
2005-05-01,34.54688859878155
2005-06-01,35.07603092783505
2005-07-01,35.05649540517962
2005-08-01,32.91527955612463
2005-09-01,29.691912108461903
2005-10-01,28.631486676016834
2005-11-01,28.442006269592476
2005-12-01,28.64895661724327
2006-01-01,29.29136400322841
2006-02-01,27.295427196149216
2006-03-01,26.32222889155662
2006-04-01,28.67572692793932
2006-05-01,28.624564838990427
2006-06-01,31.1786941580756
2006-07-01,32.2140768588137
2006-08-01,35.81956892872386
2006-09-01,32.87318840579711
2006-10-01,32.87318840579711
2006-11-01,33.182340647857885
2006-12-01,34.87699066447007
2007-01-01,35.698849878934624
2007-02-01,34.574207781789006
2007-03-01,47.1984793917567
2007-04-01,43.969447956173624
2007-05-01,46.391536118363796
2007-06-01,46.7680412371134
2007-07-01,49.26858813700919
2007-08-01,60.990076824583866
2007-09-01,61.50467508181394
2007-10-01,57.26297335203367
2007-11-01,67.54976489028213
2007-12-01,62.28034047226798
2008-01-01,70.48234463276836
2008-02-01,70.96811070998797
2008-03-01,74.4283713485394
2008-04-01,76.46860514117152
2008-05-01,74.02904699738903
2008-06-01,80.86973797250859
2008-07-01,87.16750208855471
2008-08-01,76.4796201451131
2008-09-01,82.7131837307153
2008-10-01,89.0757363253857
2008-11-01,85.32601880877743
2008-12-01,85.94686985172982
2009-01-01,80.55125100887813
2009-02-01,90.07490974729241
2009-03-01,90.76630652260903
2009-04-01,73.60103244837758
2009-05-01,74.02904699738903
2009-06-01,72.10073024054982
2009-07-01,68.21804511278195
2009-08-01,69.70294494238156
2009-09-01,66.80680224403928
2009-10-01,65.74637681159422
2009-11-01,67.54976489028213
2009-12-01,66.01716090060405
2010-01-01,60.413438256658594
2010-02-01,63.689330124348174
2010-03-01,63.53641456582632
2010-04-01,61.174884112937214
2010-05-01,58.236183637946034
2010-06-01,64.30605670103093
2010-07-01,57.795843776106935
2010-08-01,60.990076824583866
2010-09-01,59.383824216923806
2010-10-01,78.47148200093503
2010-11-01,60.43926332288401
2010-12-01,56.05230642504118
2011-01-01,65.90556900726392
2011-02-01,64.59917769755315
2011-03-01,59.90576230492196
2011-04-01,60.219026548672566
2011-05-01,61.1973455178416
2011-06-01,61.38305412371134
2011-07-01,58.74331662489557
2011-08-01,57.11769099445156
2011-09-01,59.383824216923806
2011-10-01,56.2025479195886
2011-11-01,55.6989289446186
2011-12-01,57.29791323448654
2012-01-01,54.00595238095238
2012-02-01,57.32039711191336
2012-03-01,46.2908163265306
2012-04-01,45.88116308470291
2012-05-01,47.37859007832898
2012-06-01,43.845038659793815
2012-07-01,45.478696741854634
2012-08-01,43.56434058898848
2012-09-01,45.59829359513792
2012-10-01,42.417017297802715
2012-11-01,42.66300940438872
2012-12-01,42.350631521142226
2013-01-01,43.937046004842614
2013-02-01,38.2135980746089
2013-03-01,39.029511804721885
2013-04-01,48.74873577749684
2013-05-01,40.46921235857267
2013-06-01,37.02469931271477
2013-07-01,36.00396825396825
2013-08-01,34.85147247119078
2013-09-01,33.933613838242174
2013-10-01,32.87318840579711
2013-11-01,33.182340647857885
2013-12-01,32.38577704557935
2014-01-01,30.206719128329297
2014-02-01,30.934817488969113
2014-03-01,31.76820728291316
2014-04-01,30.587442056468607
2014-05-01,31.585726718885986
2014-06-01,31.1786941580756
2014-07-01,29.371658312447785
2014-08-01,29.042893725992318
2014-09-01,30.75233754090697
2014-10-01,31.812762973352037
2014-11-01,27.25692267502612
2014-12-01,29.89456342668863
2015-01-01,27.460653753026634
2015-02-01,25.475732049739268
2015-03-01,26.32222889155662
2015-04-01,27.719869363674675
2015-05-01,26.65045691906005
2015-06-01,27.281357388316152
