date,rent payment help
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,26.809156378600825
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,20.12550200803213
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,11.407723577235773
2010-11-01,14.931098696461824
2010-12-01,0.0
2011-01-01,13.274834437086092
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,14.076544943820224
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,10.311213991769549
2011-09-01,0.0
2011-10-01,8.96321138211382
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,10.440104166666666
2012-04-01,0.0
2012-05-01,7.507490636704119
2012-06-01,0.0
2012-07-01,13.081576305220883
2012-08-01,11.342335390946502
2012-09-01,13.222295514511874
2012-10-01,7.333536585365853
2012-11-01,11.198324022346368
2012-12-01,6.286514336917563
2013-01-01,13.274834437086092
2013-02-01,0.0
2013-03-01,8.120081018518517
2013-04-01,15.003742514970059
2013-05-01,15.953417602996254
2013-06-01,13.824137931034484
2013-07-01,11.06902610441767
2013-08-01,12.373456790123457
2013-09-01,7.933377308707124
2013-10-01,11.407723577235773
2013-11-01,17.730679702048416
2013-12-01,17.961469534050178
2014-01-01,11.062362030905078
2014-02-01,0.0
2014-03-01,0.0
2014-04-01,13.00324351297405
2014-05-01,0.0
2014-06-01,21.8882183908046
2014-07-01,19.119226907630523
2014-08-01,17.52906378600823
2014-09-01,14.985268249780123
2014-10-01,14.667073170731706
2014-11-01,10.265130353817504
2014-12-01,7.184587813620071
2015-01-01,13.274834437086092
2015-02-01,8.858270202020202
2015-03-01,0.0
2015-04-01,9.002245508982035
2015-05-01,11.26123595505618
2015-06-01,14.976149425287357
2015-07-01,13.081576305220883
2015-08-01,14.435699588477366
2015-09-01,8.814863676341249
2015-10-01,8.96321138211382
2015-11-01,11.198324022346368
2015-12-01,8.980734767025089
2016-01-01,14.3810706401766
2016-02-01,11.389204545454545
2016-03-01,12.760127314814813
2016-04-01,14.003493013972054
2016-05-01,12.199672284644194
2016-06-01,17.280172413793103
2016-07-01,10.062751004016064
2016-08-01,7.217849794238683
2016-09-01,12.34080914687775
2016-10-01,12.222560975609756
2016-11-01,10.265130353817504
2016-12-01,5.388440860215054
2017-01-01,8.849889624724062
2017-02-01,15.18560606060606
2017-03-01,13.920138888888888
2017-04-01,13.00324351297405
2017-05-01,14.076544943820224
2017-06-01,17.280172413793103
2017-07-01,17.106676706827308
2017-08-01,14.435699588477366
2017-09-01,13.222295514511874
2017-10-01,14.667073170731706
2017-11-01,16.79748603351955
2017-12-01,11.674955197132617
2018-01-01,15.487306843267108
2018-02-01,15.18560606060606
2018-03-01,15.080150462962962
2018-04-01,15.003742514970059
2018-05-01,15.953417602996254
2018-06-01,14.976149425287357
2018-07-01,17.106676706827308
2018-08-01,17.52906378600823
2018-09-01,15.866754617414248
2018-10-01,13.03739837398374
2018-11-01,13.064711359404097
2018-12-01,18.859543010752688
2019-01-01,18.80601545253863
2019-02-01,22.77840909090909
2019-03-01,22.040219907407405
2019-04-01,20.00499001996008
2019-05-01,21.584035580524343
2019-06-01,13.824137931034484
2019-07-01,16.100401606425702
2019-08-01,13.404578189300413
2019-09-01,14.103781882145999
2019-10-01,12.222560975609756
2019-11-01,13.99790502793296
2019-12-01,15.267249103942651
2020-01-01,23.230960264900663
2020-02-01,15.18560606060606
2020-03-01,39.44039351851851
2020-04-01,37.009231536926144
2020-05-01,23.460908239700373
2020-06-01,28.800287356321842
2020-07-01,27.169427710843372
2020-08-01,18.560185185185187
2020-09-01,16.748240985048373
2020-10-01,22.00060975609756
2020-11-01,16.79748603351955
2020-12-01,23.349910394265233
2021-01-01,38.71826710816777
2021-02-01,31.636679292929294
2021-03-01,24.360243055555554
2021-04-01,19.004740518962073
2021-05-01,21.584035580524343
2021-06-01,26.496264367816092
2021-07-01,18.112951807228914
2021-08-01,17.52906378600823
2021-09-01,17.629727352682497
2021-10-01,18.741260162601627
2021-11-01,19.597067039106143
2021-12-01,22.451836917562723
2022-01-01,25.443432671081677
2022-02-01,37.96401515151515
2022-03-01,33.640335648148145
2022-04-01,30.007485029940117
2022-05-01,34.72214419475655
2022-06-01,39.168390804597706
2022-07-01,32.200803212851405
2022-08-01,26.809156378600825
2022-09-01,34.37796833773087
2022-10-01,26.07479674796748
2022-11-01,25.196229050279328
2022-12-01,26.044130824372758
2023-01-01,34.29332229580574
2023-02-01,46.82228535353536
2023-03-01,39.44039351851851
2023-04-01,36.00898203592814
2023-05-01,38.47588951310861
2023-06-01,34.560344827586206
2023-07-01,31.1945281124498
2023-08-01,29.90252057613169
2023-09-01,37.022427440633244
2023-10-01,39.927032520325206
2023-11-01,43.860102420856606
2023-12-01,35.02486559139785
2024-01-01,47.568156732891836
2024-02-01,63.27335858585859
2024-03-01,55.68055555555555
2024-04-01,58.01447105788423
2024-05-01,50.675561797752806
2024-06-01,35.71235632183908
2024-07-01,32.200803212851405
2024-08-01,27.84027777777778
2024-09-01,52.00769569041337
2024-10-01,46.44573170731707
2024-11-01,40.12732774674115
2024-12-01,45.80174731182795
2025-01-01,56.41804635761589
2025-02-01,65.80429292929293
2025-03-01,59.16059027777777
2025-04-01,55.013722554890215
2025-05-01,52.552434456928836
2025-06-01,55.296551724137935
2025-07-01,56.351405622489956
2025-08-01,68.05401234567901
2025-09-01,75.80782761653474
2025-10-01,66.00182926829268
2025-11-01,69.05633147113593
2025-12-01,89.80734767025089
