date,pre foreclosure
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,18.97912026726058
2005-02-01,0.0
2005-03-01,13.992816091954023
2005-04-01,22.701631701631705
2005-05-01,18.614296636085626
2005-06-01,23.954643841007478
2005-07-01,25.07179633867277
2005-08-01,36.80650037792895
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,21.69042316258352
2006-02-01,15.258911084998042
2006-03-01,11.194252873563219
2006-04-01,13.242618492618494
2006-05-01,17.683581804281346
2006-06-01,16.289157811885087
2006-07-01,17.643115942028984
2006-08-01,18.403250188964474
2006-09-01,22.105382619974062
2006-10-01,26.477186761229312
2006-11-01,12.059187716691433
2006-12-01,17.809038662486937
2007-01-01,21.69042316258352
2007-02-01,20.981002741872306
2007-03-01,23.321360153256705
2007-04-01,21.75573038073038
2007-05-01,29.782874617737004
2007-06-01,16.289157811885087
2007-07-01,17.643115942028984
2007-08-01,28.52503779289493
2007-09-01,24.210657155209685
2007-10-01,28.77955082742317
2007-11-01,28.94205052005944
2007-12-01,29.257706374085686
2008-01-01,26.209261321455084
2008-02-01,37.19359576968273
2008-03-01,29.85134099616858
2008-04-01,36.890151515151516
2008-05-01,26.99073012232416
2008-06-01,33.53650137741047
2008-07-01,43.64349733028223
2008-08-01,39.56698790627362
2008-09-01,37.89494163424125
2008-10-01,47.198463356973996
2008-11-01,57.88410104011888
2008-12-01,48.33881922675026
2009-01-01,51.51475501113586
2009-02-01,50.545142969056016
2009-03-01,48.50842911877395
2009-04-01,50.13277000777001
2009-05-01,47.466456422018354
2009-06-01,45.03473042109406
2009-07-01,51.072177726926014
2009-08-01,43.24763794406651
2009-09-01,50.526588845655
2009-10-01,50.65200945626477
2009-11-01,42.20715700842001
2009-12-01,43.250522466039705
2010-01-01,38.862008166295475
2010-02-01,41.96200548374461
2010-03-01,40.11273946360153
2010-04-01,39.72785547785548
2010-05-01,46.535741590214066
2010-06-01,42.16017316017316
2010-07-01,34.3576468344775
2010-08-01,37.72666288737717
2010-09-01,36.84230436662343
2010-10-01,36.837825059101654
2010-11-01,27.736131748390296
2010-12-01,29.257706374085686
2011-01-01,37.95824053452116
2011-02-01,30.517822169996084
2011-03-01,34.51561302681992
2011-04-01,34.05244755244755
2011-05-01,31.644304281345565
2011-06-01,38.32743014561196
2011-07-01,31.57189168573608
2011-08-01,30.365362811791382
2011-09-01,29.473843493298748
2011-10-01,26.477186761229312
2011-11-01,28.94205052005944
2011-12-01,26.713557993730408
2012-01-01,30.72809948032665
2012-02-01,32.42518605562084
2012-03-01,31.717049808429117
2012-04-01,35.944250194250195
2012-05-01,28.852159785932724
2012-06-01,34.49468713105077
2012-07-01,32.50047673531655
2012-08-01,32.20568783068783
2012-09-01,37.89494163424125
2012-10-01,39.14018912529551
2012-11-01,37.38348192174344
2012-12-01,35.618077324973875
2013-01-01,33.43940237564959
2013-02-01,36.23991382687035
2013-03-01,48.50842911877395
2013-04-01,45.40326340326341
2013-05-01,47.466456422018354
2013-06-01,45.99291617473436
2013-07-01,42.71491228070175
2013-08-01,46.00812547241118
2013-09-01,49.47395157803718
2013-10-01,46.047281323877066
2013-11-01,47.030832095096585
2013-12-01,41.97844827586207
2014-01-01,41.57331106161841
2014-02-01,50.545142969056016
2014-03-01,53.172701149425286
2014-04-01,45.40326340326341
2014-05-01,44.674311926605505
2014-06-01,47.909287682014956
2014-07-01,42.71491228070175
2014-08-01,48.768613000755856
2014-09-01,46.31603977518375
2014-10-01,39.14018912529551
2014-11-01,41.00123823675087
2014-12-01,49.6108934169279
2015-01-01,40.6695434298441
2015-02-01,36.23991382687035
2015-03-01,39.17988505747126
2015-04-01,41.61965811965812
2015-05-01,37.22859327217125
2015-06-01,43.11835891381346
2015-07-01,40.85774218154081
2015-08-01,38.64682539682539
2015-09-01,35.78966709900562
2015-10-01,33.38427895981087
2015-11-01,32.559806835066865
2015-12-01,38.162225705329156
2016-01-01,37.054472902746845
2016-02-01,42.91568742655699
2016-03-01,41.045593869731796
2016-04-01,39.72785547785548
2016-05-01,38.15930810397553
2016-06-01,31.620129870129873
2016-07-01,34.3576468344775
2016-08-01,34.04601284958427
2016-09-01,40.00021616947687
2016-10-01,33.38427895981087
2016-11-01,36.1775631500743
2016-12-01,38.162225705329156
2017-01-01,38.862008166295475
2017-02-01,38.147277712495104
2017-03-01,40.11273946360153
2017-04-01,39.72785547785548
2017-05-01,40.0207377675841
2017-06-01,37.36924439197166
2017-07-01,38.07198703279939
2017-08-01,34.9661753590325
2017-09-01,37.89494163424125
2017-10-01,37.989007092198584
2017-11-01,42.20715700842001
2017-12-01,36.890151515151516
2018-01-01,38.862008166295475
2018-02-01,41.96200548374461
2018-03-01,41.978448275862064
2018-04-01,40.6737567987568
2018-05-01,43.743597094801224
2018-06-01,41.201987406532865
2018-07-01,43.64349733028223
2018-08-01,41.40731292517006
2018-09-01,43.158127972330306
2018-10-01,54.105555555555554
2018-11-01,61.501857355126305
2018-12-01,63.60370950888192
2019-01-01,70.49387527839643
2019-02-01,79.15560125342733
2019-03-01,83.95689655172413
2019-04-01,73.78030303030303
2019-05-01,79.11076070336392
2019-06-01,70.90574576938214
2019-07-01,70.57246376811594
2019-08-01,66.25170068027211
2019-09-01,67.36878512754
2019-10-01,72.52446808510638
2019-11-01,79.59063893016346
2019-12-01,63.60370950888192
2020-01-01,65.07126948775056
2020-02-01,71.52614571092832
2020-03-01,55.03840996168582
2020-04-01,61.48358585858586
2020-05-01,80.0414755351682
2020-06-01,88.15308933490752
2020-07-01,92.85850495804729
2020-08-01,89.25576341647769
2020-09-01,100.00054042369217
2020-10-01,86.3386524822695
2020-11-01,78.38472015849432
2020-12-01,82.6848223615465
2021-01-01,75.91648106904232
2021-02-01,59.12828045436741
2021-03-01,54.105555555555554
2021-04-01,55.80817793317794
2021-05-01,45.605026758409785
2021-06-01,44.07654466745376
2021-07-01,41.786327231121284
2021-08-01,37.72666288737717
2021-09-01,35.78966709900562
2021-10-01,34.5354609929078
2021-11-01,36.1775631500743
2021-12-01,38.162225705329156
2022-01-01,33.43940237564959
2022-02-01,37.19359576968273
2022-03-01,35.44846743295019
2022-04-01,32.16064491064491
2022-05-01,28.852159785932724
2022-06-01,31.620129870129873
2022-07-01,27.857551487414188
2022-08-01,29.445200302343157
2022-09-01,32.631755296152186
2022-10-01,32.23309692671395
2022-11-01,31.353888063397726
2022-12-01,30.529780564263323
2023-01-01,32.53563474387528
2023-02-01,33.378867998433215
2023-03-01,31.717049808429117
2023-04-01,29.32294094794095
2023-05-01,27.921444954128443
2023-06-01,30.661944116489572
2023-07-01,30.643306636155607
2023-08-01,29.445200302343157
2023-09-01,32.631755296152186
2023-10-01,33.38427895981087
2023-11-01,34.97164437840516
2023-12-01,36.890151515151516
2024-01-01,31.631867112100966
2024-02-01,30.517822169996084
2024-03-01,28.918486590038313
2024-04-01,26.485236985236988
2024-05-01,26.06001529051988
2024-06-01,24.91282959464778
2024-07-01,26.928966437833715
2024-08-01,23.924225245653815
2024-09-01,25.2632944228275
2024-10-01,26.477186761229312
2024-11-01,25.32429420505201
2024-12-01,29.257706374085686
2025-01-01,24.40172605790646
2025-02-01,25.749412455934195
2025-03-01,25.18706896551724
2025-04-01,25.539335664335667
2025-05-01,25.129300458715598
2025-06-01,23.954643841007478
2025-07-01,25.07179633867277
2025-08-01,24.844387755102037
2025-09-01,26.31593169044531
2025-10-01,26.477186761229312
2025-11-01,30.147969291728582
2025-12-01,31.80185475444096
