date,low income housing
2004-01-01,47.162095175148714
2004-02-01,44.620473537604454
2004-03-01,46.560374149659864
2004-04-01,48.246281271129135
2004-05-01,45.038659793814425
2004-06-01,48.415091264667524
2004-07-01,49.96936274509803
2004-08-01,52.63554216867469
2004-09-01,52.296270718232044
2004-10-01,50.2155172413793
2004-11-01,50.60328185328185
2004-12-01,57.36032958199356
2005-01-01,47.162095175148714
2005-02-01,53.747388579387184
2005-03-01,50.52295918367347
2005-04-01,54.15398918187964
2005-05-01,49.04209621993126
2005-06-01,50.31372229465449
2005-07-01,48.18474264705882
2005-08-01,49.86525047558655
2005-09-01,51.290573204419886
2005-10-01,50.2155172413793
2005-11-01,51.727799227799224
2005-12-01,55.01909163987137
2006-01-01,49.087078651685395
2006-02-01,49.69098189415042
2006-03-01,53.494897959183675
2006-04-01,49.23089925625422
2006-05-01,47.04037800687284
2006-06-01,46.516460234680565
2006-07-01,49.077052696078425
2006-08-01,51.71211160431198
2006-09-01,48.273480662983424
2006-10-01,53.353987068965516
2006-11-01,52.8523166023166
2006-12-01,46.82475884244372
2007-01-01,51.97455386649042
2007-02-01,46.64867688022284
2007-03-01,51.513605442176875
2007-04-01,50.2155172413793
2007-05-01,57.04896907216494
2007-06-01,49.364406779661
2007-07-01,51.75398284313725
2007-08-01,50.78868103994926
2007-09-01,48.273480662983424
2007-10-01,50.2155172413793
2007-11-01,49.478764478764475
2007-12-01,49.165996784565905
2008-01-01,54.86202908129545
2008-02-01,49.69098189415042
2008-03-01,50.52295918367347
2008-04-01,53.169371196754554
2008-05-01,51.04381443298968
2008-06-01,52.21235332464145
2008-07-01,52.64629289215686
2008-08-01,53.55897273303741
2008-09-01,54.307665745856355
2008-10-01,51.26167385057471
2008-11-01,55.10135135135135
2008-12-01,51.5072347266881
2009-01-01,51.97455386649042
2009-02-01,51.7191852367688
2009-03-01,54.48554421768708
2009-04-01,53.169371196754554
2009-05-01,49.04209621993126
2009-06-01,55.06029986962189
2009-07-01,49.96936274509803
2009-08-01,50.78868103994926
2009-09-01,51.290573204419886
2009-10-01,51.26167385057471
2009-11-01,51.727799227799224
2009-12-01,53.84847266881028
2010-01-01,52.93704560475876
2010-02-01,50.70508356545961
2010-03-01,52.50425170068027
2010-04-01,51.200135226504386
2010-05-01,51.04381443298968
2010-06-01,50.31372229465449
2010-07-01,52.64629289215686
2010-08-01,58.17612555485098
2010-09-01,58.33045580110497
2010-10-01,54.400143678160916
2010-11-01,57.350386100386096
2010-12-01,58.53094855305465
2011-01-01,56.78701255783213
2011-02-01,59.83199860724234
2011-03-01,62.410714285714285
2011-04-01,58.09246112237998
2011-05-01,60.05154639175257
2011-06-01,67.40140156453714
2011-07-01,63.35401348039215
2011-08-01,66.4870006341154
2011-09-01,64.3646408839779
2011-10-01,61.72323994252873
2011-11-01,59.599420849420845
2011-12-01,71.40775723472667
2012-01-01,76.99933906146728
2012-02-01,68.95891364902506
2012-03-01,68.3545918367347
2012-04-01,68.92325895875591
2012-05-01,72.06185567010307
2012-06-01,68.35071707953063
2012-07-01,69.6001838235294
2012-08-01,70.18072289156625
