date,down payment assistance
2004-01-01,41.70474516695958
2004-02-01,35.79623287671233
2004-03-01,38.151125401929264
2004-04-01,35.534591194968556
2004-05-01,39.50406504065041
2004-06-01,45.38152610441767
2004-07-01,38.07993730407524
2004-08-01,31.28355704697987
2004-09-01,40.881261595547315
2004-10-01,41.3960396039604
2004-11-01,36.98645598194131
2004-12-01,37.16199756394641
2005-01-01,34.75395430579965
2005-02-01,39.66609589041096
2005-03-01,30.884244372990356
2005-04-01,33.75786163522013
2005-05-01,44.09756097560976
2005-06-01,31.767068273092367
2005-07-01,36.308777429467085
2005-08-01,30.33557046979866
2005-09-01,34.591836734693885
2005-10-01,31.32673267326733
2005-11-01,38.261851015801355
2005-12-01,28.90377588306943
2006-01-01,31.77504393673111
2006-02-01,30.958904109589042
2006-03-01,29.067524115755628
2006-04-01,33.75786163522013
2006-05-01,44.09756097560976
2006-06-01,39.028112449799195
2006-07-01,36.308777429467085
2006-08-01,38.867449664429536
2006-09-01,33.54359925788498
2006-10-01,42.51485148514852
2006-11-01,38.261851015801355
2006-12-01,31.656516443361756
2007-01-01,31.77504393673111
2007-02-01,35.79623287671233
2007-03-01,36.334405144694536
2007-04-01,39.08805031446541
2007-05-01,34.91056910569106
2007-06-01,38.12048192771084
2007-07-01,38.96551724137931
2007-08-01,40.76342281879195
2007-09-01,37.7365491651206
2007-10-01,49.22772277227723
2007-11-01,44.638826185101586
2007-12-01,33.032886723507914
2008-01-01,44.68365553602812
2008-02-01,53.21061643835617
2008-03-01,57.226688102893895
2008-04-01,60.40880503144655
2008-05-01,58.79674796747968
2008-06-01,62.626506024096386
2008-07-01,79.70219435736678
2008-08-01,92.9026845637584
2008-09-01,87.00371057513917
2008-10-01,61.53465346534654
2008-11-01,52.29119638826186
2008-12-01,55.05481120584653
2009-01-01,53.62038664323374
2009-02-01,59.98287671232877
2009-03-01,59.043408360128616
2009-04-01,64.85062893081762
2009-05-01,65.22764227642277
2009-06-01,68.0722891566265
2009-07-01,60.21943573667712
2009-08-01,60.67114093959732
2009-09-01,54.50834879406309
2009-10-01,53.70297029702971
2009-11-01,57.39277652370204
2009-12-01,49.54933008526188
2010-01-01,44.68365553602812
2010-02-01,45.47089041095891
2010-03-01,46.326366559485535
2010-04-01,43.52987421383648
2010-05-01,37.66666666666667
2010-06-01,36.30522088353413
2010-07-01,33.65203761755486
2010-08-01,31.28355704697987
2010-09-01,32.49536178107607
2010-10-01,32.44554455445545
2010-11-01,29.33408577878104
2010-12-01,30.28014616321559
2011-01-01,37.73286467486819
2011-02-01,35.79623287671233
2011-03-01,38.151125401929264
2011-04-01,31.981132075471702
2011-05-01,35.82926829268293
2011-06-01,36.30522088353413
2011-07-01,34.53761755485893
2011-08-01,33.17953020134229
2011-09-01,33.54359925788498
2011-10-01,34.68316831683168
2011-11-01,31.88487584650113
2011-12-01,34.40925700365408
2012-01-01,35.746924428822496
2012-02-01,36.763698630136986
2012-03-01,33.60932475884245
2012-04-01,34.64622641509434
2012-05-01,34.91056910569106
2012-06-01,35.39759036144578
2012-07-01,32.76645768025078
2012-08-01,30.33557046979866
2012-09-01,32.49536178107607
2012-10-01,31.32673267326733
2012-11-01,33.160270880361175
2012-12-01,30.28014616321559
2013-01-01,34.75395430579965
2013-02-01,31.9263698630137
2013-03-01,34.51768488745981
2013-04-01,33.75786163522013
2013-05-01,35.82926829268293
2013-06-01,36.30522088353413
2013-07-01,32.76645768025078
2013-08-01,36.97147651006712
2013-09-01,35.64007421150279
2013-10-01,33.56435643564357
2013-11-01,35.71106094808127
2013-12-01,34.40925700365408
2014-01-01,35.746924428822496
2014-02-01,38.6986301369863
2014-03-01,38.151125401929264
2014-04-01,39.97641509433963
2014-05-01,40.42276422764228
2014-06-01,45.38152610441767
2014-07-01,38.96551724137931
2014-08-01,41.711409395973156
2014-09-01,39.83302411873841
2014-10-01,40.27722772277228
2014-11-01,35.71106094808127
2014-12-01,39.91473812423873
2015-01-01,49.64850615114236
2015-02-01,42.56849315068493
2015-03-01,44.50964630225081
2015-04-01,45.30660377358491
2015-05-01,43.178861788617894
2015-06-01,45.38152610441767
2015-07-01,43.393416927899686
2015-08-01,46.4513422818792
2015-09-01,44.02597402597404
2015-10-01,44.75247524752476
2015-11-01,45.91422121896163
2015-12-01,49.54933008526188
2016-01-01,52.6274165202109
2016-02-01,55.14554794520548
2016-03-01,53.59324758842444
2016-04-01,58.632075471698116
2016-05-01,55.121951219512205
2016-06-01,50.82730923694779
2016-07-01,47.82131661442006
2016-08-01,54.03523489932886
2016-09-01,51.363636363636374
2016-10-01,53.70297029702971
2016-11-01,56.11738148984199
2016-12-01,52.3020706455542
2017-01-01,56.59929701230229
2017-02-01,59.01541095890411
2017-03-01,55.40996784565917
2017-04-01,55.078616352201266
2017-05-01,54.20325203252033
2017-06-01,54.4578313253012
2017-07-01,54.02037617554859
2017-08-01,54.03523489932886
2017-09-01,48.21892393320965
2017-10-01,55.940594059405946
2017-11-01,58.66817155756208
2017-12-01,56.431181485992695
2018-01-01,58.58523725834798
2018-02-01,58.04794520547945
2018-03-01,56.31832797427653
2018-04-01,57.74371069182391
2018-05-01,53.28455284552846
2018-06-01,58.99598393574297
2018-07-01,56.677115987460816
2018-08-01,54.03523489932886
2018-09-01,53.46011131725418
2018-10-01,54.82178217821783
2018-11-01,56.11738148984199
2018-12-01,57.80755176613886
2019-01-01,62.55711775043937
2019-02-01,59.98287671232877
2019-03-01,57.226688102893895
2019-04-01,61.297169811320764
2019-05-01,57.87804878048781
2019-06-01,55.365461847389554
2019-07-01,56.677115987460816
2019-08-01,54.983221476510074
2019-09-01,53.46011131725418
2019-10-01,55.940594059405946
2019-11-01,54.841986455981946
2019-12-01,53.678440925700365
2020-01-01,56.59929701230229
2020-02-01,57.080479452054796
2020-03-01,47.234726688102896
2020-04-01,54.19025157232705
2020-05-01,66.14634146341464
2020-06-01,69.8875502008032
2020-07-01,82.358934169279
2020-08-01,71.0989932885906
2020-09-01,80.71428571428572
2020-10-01,71.60396039603961
2020-11-01,65.04514672686231
2020-12-01,77.07673568818514
2021-01-01,79.43760984182776
2021-02-01,72.55993150684932
2021-03-01,79.02733118971061
2021-04-01,83.50628930817611
2021-05-01,81.76422764227644
2021-06-01,63.53413654618473
2021-07-01,63.76175548589342
2021-08-01,65.41107382550337
2021-09-01,68.13543599257886
2021-10-01,71.60396039603961
2021-11-01,75.24830699774267
2021-12-01,86.71132764920829
2022-01-01,85.39543057996485
2022-02-01,83.20205479452055
2022-03-01,79.02733118971061
2022-04-01,63.962264150943405
2022-05-01,67.06504065040652
2022-06-01,65.34939759036145
2022-07-01,64.64733542319749
2022-08-01,66.35906040268458
2022-09-01,73.37662337662339
2022-10-01,66.00990099009901
2022-11-01,63.76975169300226
2022-12-01,70.19488428745433
2023-01-01,71.49384885764499
2023-02-01,72.55993150684932
2023-03-01,90.83601286173634
2023-04-01,79.06446540880503
2023-05-01,67.06504065040652
2023-06-01,69.8875502008032
2023-07-01,69.96081504702194
2023-08-01,65.41107382550337
2023-09-01,67.08719851576996
2023-10-01,64.8910891089109
2023-11-01,67.5959367945824
2023-12-01,70.19488428745433
2024-01-01,67.5219683655536
2024-02-01,63.8527397260274
2024-03-01,62.67684887459807
2024-04-01,61.297169811320764
2024-05-01,56.04065040650407
2024-06-01,58.088353413654616
2024-07-01,54.02037617554859
2024-08-01,65.41107382550337
2024-09-01,67.08719851576996
2024-10-01,66.00990099009901
2024-11-01,67.5959367945824
2024-12-01,61.93666260657734
2025-01-01,62.55711775043937
2025-02-01,61.917808219178085
2025-03-01,62.67684887459807
2025-04-01,58.632075471698116
2025-05-01,56.95934959349594
2025-06-01,63.53413654618473
2025-07-01,74.38871473354232
2025-08-01,64.46308724832215
2025-09-01,60.797773654916526
2025-10-01,72.72277227722773
2025-11-01,85.45146726862303
2025-12-01,89.46406820950061
