date,studio apartment
2004-01-01,34.19886637723106
2004-02-01,39.657032032032035
2004-03-01,41.495024875621894
2004-04-01,49.54375142791867
2004-05-01,41.86997991967872
2004-06-01,38.41019736842105
2004-07-01,45.70373242349049
2004-08-01,48.66209819462792
2004-09-01,41.83121141975308
2004-10-01,37.93164794007491
2004-11-01,39.1730407944176
2004-12-01,37.79325969980176
2005-01-01,39.22811143270622
2005-02-01,36.526213713713716
2005-03-01,43.4709784411277
2005-04-01,42.87440027416039
2005-05-01,42.8004239178938
2005-06-01,41.15378289473684
2005-07-01,47.428401571546736
2005-08-01,44.07133421400265
2005-09-01,41.83121141975308
2005-10-01,43.509831460674164
2005-11-01,40.292270531400966
2005-12-01,37.79325969980176
2006-01-01,44.25735648818138
2006-02-01,38.61342592592593
2006-03-01,47.42288557213931
2006-04-01,42.87440027416039
2006-05-01,44.66131191432397
2006-06-01,44.81189692982456
2006-07-01,48.29073614557486
2006-08-01,43.15318141787759
2006-09-01,38.613425925925924
2006-10-01,37.93164794007491
2006-11-01,39.1730407944176
2006-12-01,35.43118096856415
2007-01-01,39.22811143270622
2007-02-01,40.70063813813814
2007-03-01,41.495024875621894
2007-04-01,42.87440027416039
2007-05-01,44.66131191432397
2007-06-01,42.06831140350877
2007-07-01,43.116728701406124
2007-08-01,42.23502862175254
2007-09-01,43.97640174897119
2007-10-01,41.27855805243446
2007-11-01,41.41150026838432
2007-12-01,37.79325969980176
2008-01-01,44.25735648818138
2008-02-01,41.74424424424424
2008-03-01,40.50704809286899
2008-04-01,46.68545807630798
2008-05-01,45.59175591253905
2008-06-01,43.89736842105263
2008-07-01,42.254394127378006
2008-08-01,45.90763980625276
2008-09-01,45.04899691358025
2008-10-01,46.85674157303371
2008-11-01,44.76918947933441
2008-12-01,41.33637779665818
2009-01-01,44.25735648818138
2009-02-01,42.787850350350354
2009-03-01,48.41086235489221
2009-04-01,43.82716472469728
2009-05-01,41.86997991967872
2009-06-01,45.72642543859649
2009-07-01,48.29073614557486
2009-08-01,47.743945398502866
2009-09-01,41.83121141975308
2009-10-01,43.509831460674164
2009-11-01,43.649959742351044
2009-12-01,47.2415746247522
2010-01-01,49.28660154365654
2010-02-01,48.00588088088088
2010-03-01,49.39883913764511
2010-04-01,43.82716472469728
2010-05-01,42.8004239178938
2010-06-01,48.470010964912284
2010-07-01,45.70373242349049
2010-08-01,45.90763980625276
2010-09-01,42.90380658436214
2010-10-01,44.625468164794015
2010-11-01,43.649959742351044
2010-12-01,42.51741716227698
2011-01-01,52.30414857694163
2011-02-01,52.18030530530531
2011-03-01,56.31467661691543
2011-04-01,56.21310258167696
2011-05-01,54.896195894689875
2011-06-01,54.87171052631579
2011-07-01,55.18941273779984
2011-08-01,55.08916776750331
2011-09-01,52.55716306584362
2011-10-01,49.08801498127341
2011-11-01,51.48456790123457
2011-12-01,56.68988954970264
2012-01-01,59.34509165460685
2012-02-01,59.48554804804805
2012-03-01,55.326699834162525
2012-04-01,59.07139593328765
2012-05-01,59.54841588576529
2012-06-01,63.10246710526316
2012-07-01,62.08808933002482
2012-08-01,67.02515411712903
2012-09-01,63.283114711934154
2012-10-01,60.24438202247192
2012-11-01,59.31917606011809
2012-12-01,62.59508637779666
