date,eviction help
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,18.685745140388768
2006-08-01,20.07713651498335
2006-09-01,0.0
2006-10-01,18.35472578763127
2006-11-01,17.11850060459492
2006-12-01,0.0
2007-01-01,18.84426229508197
2007-02-01,0.0
2007-03-01,17.503709198813056
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,18.773241206030153
2007-07-01,22.932505399568033
2007-08-01,14.839622641509434
2007-09-01,12.071428571428571
2007-10-01,20.190198366394398
2007-11-01,15.216444981862152
2007-12-01,19.395807644882858
2008-01-01,23.80327868852459
2008-02-01,15.876552795031056
2008-03-01,18.670623145400594
2008-04-01,16.557894736842105
2008-05-01,24.82496413199426
2008-06-01,14.82097989949749
2008-07-01,15.288336933045354
2008-08-01,19.20421753607103
2008-09-01,21.357142857142858
2008-10-01,23.861143523920653
2008-11-01,30.432889963724303
2008-12-01,23.274969173859432
2009-01-01,20.827868852459016
2009-02-01,25.64673913043478
2009-03-01,23.338278931750743
2009-04-01,28.38496240601504
2009-05-01,22.568149210903876
2009-06-01,23.71356783919598
2009-07-01,24.631209503239738
2009-08-01,24.44173140954495
2009-09-01,22.285714285714285
2009-10-01,24.77887981330222
2009-11-01,20.92261185006046
2009-12-01,22.305178791615287
2010-01-01,15.868852459016393
2010-02-01,19.540372670807454
2010-03-01,16.33679525222552
2010-04-01,17.7406015037594
2010-05-01,16.926111908177905
2010-06-01,22.725502512562816
2010-07-01,28.877969762419003
2010-08-01,20.07713651498335
2010-09-01,21.357142857142858
2010-10-01,17.43698949824971
2010-11-01,18.069528415961305
2010-12-01,12.607274969173858
2011-01-01,22.811475409836067
2011-02-01,20.76164596273292
2011-03-01,19.837537091988132
2011-04-01,26.01954887218045
2011-05-01,31.59540889526542
2011-06-01,29.64195979899498
2011-07-01,27.179265658747298
2011-08-01,21.822974472807992
2011-09-01,27.857142857142858
2011-10-01,24.77887981330222
2011-11-01,23.77569528415961
2011-12-01,25.214549938347716
2012-01-01,21.81967213114754
2012-02-01,24.425465838509318
2012-03-01,25.672106824925816
2012-04-01,24.83684210526316
2012-05-01,27.08177905308465
2012-06-01,32.606155778894475
2012-07-01,32.27537796976242
2012-08-01,28.80632630410655
2012-09-01,32.5
2012-10-01,27.532088681446908
2012-11-01,29.48186215235792
2012-12-01,26.184340320591858
2013-01-01,29.75409836065574
2013-02-01,26.86801242236025
2013-03-01,23.338278931750743
2013-04-01,30.750375939849626
2013-05-01,39.49426111908178
2013-06-01,30.630025125628144
2013-07-01,24.631209503239738
2013-08-01,30.552164261931186
2013-09-01,31.571428571428573
2013-10-01,30.285297549591597
2013-11-01,29.48186215235792
2013-12-01,32.003082614056716
2014-01-01,39.67213114754098
2014-02-01,30.531832298136646
2014-03-01,31.506676557863504
2014-04-01,41.39473684210527
2014-05-01,36.1090387374462
2014-06-01,32.606155778894475
2014-07-01,38.22084233261339
2014-08-01,29.67924528301887
2014-09-01,35.285714285714285
2014-10-01,29.367561260210035
2014-11-01,31.383917775090687
2014-12-01,32.003082614056716
2015-01-01,29.75409836065574
2015-02-01,26.86801242236025
2015-03-01,32.67359050445104
2015-04-01,40.21203007518797
2015-05-01,37.23744619799139
2015-06-01,37.54648241206031
2015-07-01,32.27537796976242
2015-08-01,31.425083240843506
2015-09-01,33.42857142857143
2015-10-01,26.614352392065346
2015-11-01,29.48186215235792
2015-12-01,32.003082614056716
2016-01-01,38.68032786885246
2016-02-01,37.859472049689444
2016-03-01,38.50816023738872
2016-04-01,43.76015037593985
2016-05-01,33.85222381635581
2016-06-01,43.4748743718593
2016-07-01,37.371490280777536
2016-08-01,33.17092119866815
2016-09-01,33.42857142857143
2016-10-01,38.54492415402567
2016-11-01,37.090084643288996
2016-12-01,37.821824907521574
2017-01-01,44.631147540983605
2017-02-01,42.744565217391305
2017-03-01,42.00890207715133
2017-04-01,43.76015037593985
2017-05-01,48.52152080344333
2017-06-01,47.42713567839196
2017-07-01,46.714362850971916
2017-08-01,45.39178690344062
2017-09-01,39.92857142857143
2017-10-01,42.21586931155193
2017-11-01,38.992140266021764
2017-12-01,38.791615289765716
2018-01-01,45.622950819672134
2018-02-01,43.96583850931677
2018-03-01,43.175816023738875
2018-04-01,47.308270676691734
2018-05-01,51.90674318507891
2018-06-01,48.41520100502513
2018-07-01,45.015658747300215
2018-08-01,46.26470588235294
2018-09-01,45.5
2018-10-01,42.21586931155193
2018-11-01,40.89419588875453
2018-12-01,45.580147965474715
2019-01-01,45.622950819672134
2019-02-01,48.850931677018636
2019-03-01,44.34272997032641
2019-04-01,48.490977443609026
2019-05-01,53.03515064562411
2019-06-01,44.46293969849247
2019-07-01,40.768898488120946
2019-08-01,46.26470588235294
2019-09-01,43.642857142857146
2019-10-01,44.05134189031505
2019-11-01,45.64933494558645
2019-12-01,46.549938347718864
2020-01-01,49.59016393442623
2020-02-01,51.29347826086956
2020-03-01,51.34421364985163
2020-04-01,34.2984962406015
2020-05-01,33.85222381635581
2020-06-01,34.58228643216081
2020-07-01,39.919546436285096
2020-08-01,50.62930077691454
2020-09-01,57.57142857142858
2020-10-01,48.64002333722287
2020-11-01,40.89419588875453
2020-12-01,60.127003699136864
2021-01-01,62.48360655737705
2021-02-01,62.28493788819876
2021-03-01,59.512611275964396
2021-04-01,46.125563909774435
2021-05-01,49.64992826398852
2021-06-01,45.45100502512563
2021-07-01,44.16630669546436
2021-08-01,60.231409544950054
2021-09-01,52.92857142857143
2021-10-01,43.13360560093349
2021-11-01,51.35550181378476
2021-12-01,41.70098643649815
2022-01-01,61.49180327868852
2022-02-01,76.94021739130434
2022-03-01,72.3486646884273
2022-04-01,66.23157894736842
2022-05-01,65.44763271162124
2022-06-01,69.16457286432161
2022-07-01,67.09881209503239
2022-08-01,65.46892341842397
2022-09-01,63.142857142857146
2022-10-01,65.15927654609102
2022-11-01,69.42503022974607
2022-12-01,62.06658446362515
2023-01-01,70.41803278688525
2023-02-01,83.04658385093168
2023-03-01,78.18323442136499
2023-04-01,80.42406015037594
2023-05-01,73.34648493543759
2023-06-01,72.12876884422111
2023-07-01,64.55075593952483
2023-08-01,61.10432852386237
2023-09-01,65.92857142857143
2023-10-01,74.33663943990665
2023-11-01,70.37605804111246
2023-12-01,66.91553637484586
2024-01-01,74.38524590163934
2024-02-01,73.27639751552795
2024-03-01,77.01632047477744
2024-04-01,76.87593984962406
2024-05-01,72.2180774748924
2024-06-01,64.22424623115579
2024-07-01,66.24946004319654
2024-08-01,64.59600443951165
2024-09-01,67.78571428571429
2024-10-01,68.83022170361727
2024-11-01,63.71886336154776
2024-12-01,64.97595561035757
2025-01-01,70.41803278688525
2025-02-01,75.71894409937889
2025-03-01,71.18175074183976
2025-04-01,73.32781954887218
2025-05-01,68.83285509325681
2025-06-01,74.10489949748745
2025-07-01,69.64686825053995
2025-08-01,72.45227524972253
2025-09-01,78.92857142857143
2025-10-01,76.17211201866978
2025-11-01,82.73941958887545
2025-12-01,96.9790382244143
