date,rent control
2004-01-01,66.0766806722689
2004-02-01,53.863608562691134
2004-03-01,67.02663804071247
2004-04-01,56.398975344220304
2004-05-01,71.07909604519774
2004-06-01,60.85795954265612
2004-07-01,68.85992907801419
2004-08-01,63.540404040404034
2004-09-01,54.73282328232823
2004-10-01,53.83761261261261
2004-11-01,68.04166666666667
2004-12-01,54.54190751445086
2005-01-01,57.266456582633054
2005-02-01,60.596559633027525
2005-03-01,54.02146946564886
2005-04-01,49.34910342619276
2005-05-01,61.20699937225361
2005-06-01,62.702140134857814
2005-07-01,65.95035460992908
2005-08-01,51.89132996632996
2005-09-01,73.6062106210621
2005-10-01,48.170495495495494
2005-11-01,49.833333333333336
2005-12-01,50.905780346820805
2006-01-01,50.65878851540616
2006-02-01,48.09250764525994
2006-03-01,51.02027671755726
2006-04-01,56.398975344220304
2006-05-01,49.36048336472065
2006-06-01,58.09168865435357
2006-07-01,54.312056737588655
2006-08-01,49.7733164983165
2006-09-01,45.296129612961295
2006-10-01,49.11501501501502
2006-11-01,45.04166666666667
2006-12-01,43.63352601156069
2007-01-01,50.65878851540616
2007-02-01,43.283256880733944
2007-03-01,46.018288804071254
2007-04-01,47.33485430675633
2007-05-01,52.32211236660389
2007-06-01,48.87078569334506
2007-07-01,51.40248226950355
2007-08-01,58.24537037037037
2007-09-01,42.465121512151214
2007-10-01,42.50337837837838
2007-11-01,42.16666666666667
2007-12-01,47.26965317919075
2008-01-01,49.55751050420168
2008-02-01,41.35955657492355
2008-03-01,46.018288804071254
2008-04-01,51.363352545629205
2008-05-01,54.29653170119272
2008-06-01,55.32541776605102
2008-07-01,47.523049645390074
2008-08-01,38.124242424242425
2008-09-01,41.521452145214525
2008-10-01,35.89174174174174
2008-11-01,30.666666666666668
2008-12-01,39.99739884393063
2009-01-01,38.544730392156865
2009-02-01,34.62660550458716
2009-03-01,37.01471055979644
2009-04-01,37.26360870957413
2009-05-01,38.50117702448211
2009-06-01,36.88361184403401
2009-07-01,36.854609929078016
2009-08-01,37.06523569023569
2009-09-01,30.197419741974198
2009-10-01,34.002702702702706
2009-11-01,29.708333333333336
2009-12-01,35.149229287090556
2010-01-01,33.03834033613445
2010-02-01,34.62660550458716
2010-03-01,32.012722646310436
2010-04-01,30.21373679154659
2010-05-01,34.55233835530446
2010-06-01,33.19525065963061
2010-07-01,30.065602836879435
2010-08-01,29.65218855218855
2010-09-01,28.31008100810081
2010-10-01,29.280105105105104
2010-11-01,24.916666666666668
2010-12-01,30.30105973025048
2011-01-01,31.937062324929972
2011-02-01,31.741055045871562
2011-03-01,35.01391539440204
2011-04-01,37.26360870957413
2011-05-01,33.56512868801004
2011-06-01,46.10451480504251
2011-07-01,34.91489361702128
2011-08-01,37.06523569023569
2011-09-01,33.02842784278428
2011-10-01,31.169144144144145
2011-11-01,30.666666666666668
2011-12-01,33.93718689788054
2012-01-01,37.44345238095238
2012-02-01,36.55030581039755
2012-03-01,37.01471055979644
2012-04-01,39.277857829010564
2012-05-01,33.56512868801004
2012-06-01,31.351070067428907
2012-07-01,34.91489361702128
2012-08-01,34.94722222222222
2012-09-01,33.97209720972097
2012-10-01,33.05818318318318
2012-11-01,29.708333333333336
2012-12-01,36.361271676300575
2013-01-01,36.3421743697479
2013-02-01,36.55030581039755
2013-03-01,36.01431297709924
2013-04-01,35.249359590137686
2013-05-01,32.57791902071563
2013-06-01,34.11734095573146
2013-07-01,36.854609929078016
2013-08-01,37.06523569023569
2013-09-01,33.97209720972097
2013-10-01,35.89174174174174
2013-11-01,32.583333333333336
2013-12-01,33.93718689788054
2014-01-01,38.544730392156865
2014-02-01,37.51215596330275
2014-03-01,39.01550572519084
2014-04-01,40.284982388728785
2014-05-01,40.475596359070934
2014-06-01,35.03943125183231
2014-07-01,36.854609929078016
2014-08-01,36.00622895622895
2014-09-01,37.74677467746775
2014-10-01,35.89174174174174
2014-11-01,30.666666666666668
2014-12-01,35.149229287090556
2015-01-01,36.3421743697479
2015-02-01,37.51215596330275
2015-03-01,43.01709605597965
2015-04-01,40.284982388728785
2015-05-01,44.42443502824859
2015-06-01,53.481237173849316
2015-07-01,47.523049645390074
2015-08-01,47.65530303030303
2015-09-01,44.352460246024606
2015-10-01,44.39241741741742
2015-11-01,36.41666666666667
2015-12-01,39.99739884393063
2016-01-01,44.05112044817927
2016-02-01,47.13065749235474
2016-03-01,44.017493638676854
2016-04-01,54.38472622478386
2016-05-01,47.38606403013183
2016-06-01,41.49406332453826
2016-07-01,40.73404255319149
2016-08-01,42.360269360269356
2016-09-01,44.352460246024606
2016-10-01,43.447897897897896
2016-11-01,43.125
2016-12-01,44.84556840077071
2017-01-01,46.25367647058823
2017-02-01,48.09250764525994
2017-03-01,50.019879134860055
2017-04-01,51.363352545629205
