date,affordable housing
2004-01-01,57.96995263469509
2004-02-01,49.90978260869565
2004-03-01,55.037240022484546
2004-04-01,50.14710082833476
2004-05-01,50.668109668109665
2004-06-01,54.612940496822645
2004-07-01,58.340997770345595
2004-08-01,54.968937446443874
2004-09-01,52.769762548842806
2004-10-01,52.13101725703906
2004-11-01,52.344961240310084
2004-12-01,52.644230769230774
2005-01-01,52.97254292480758
2005-02-01,51.86702898550725
2005-03-01,55.98615795390669
2005-04-01,53.04020279920023
2005-05-01,53.59126984126984
2005-06-01,57.538633737723856
2005-07-01,49.87214325529543
2005-08-01,54.00457012282205
2005-09-01,54.799368800721375
2005-10-01,56.21972449288526
2005-11-01,50.163921188630496
2005-12-01,50.30448717948718
2006-01-01,49.97409709887508
2006-02-01,48.93115942028985
2006-03-01,54.088322091062395
2006-04-01,50.14710082833476
2006-05-01,54.56565656565657
2006-06-01,47.78632293471981
2006-07-01,47.04919175027871
2006-08-01,52.07583547557841
2006-09-01,50.74015629696424
2006-10-01,51.10884044807751
2006-11-01,45.80184108527132
2006-12-01,45.625
2007-01-01,51.97306098283008
2007-02-01,46.97391304347826
2007-03-01,51.241568296795954
2007-04-01,50.14710082833476
2007-05-01,51.64249639249639
2007-06-01,50.71201617562103
2007-07-01,47.990175585284284
2007-08-01,46.28963153384747
2007-09-01,44.65133754132852
2007-10-01,49.06448683015441
2007-11-01,49.0734011627907
2007-12-01,43.285256410256416
2008-01-01,47.97513321492007
2008-02-01,44.03804347826087
2008-03-01,44.59914277684092
2008-04-01,44.360896886603825
2008-05-01,42.87301587301587
2008-06-01,40.95970537261699
2008-07-01,43.28525641025641
2008-08-01,42.43216223936018
2008-09-01,46.68094379320709
2008-10-01,43.95360278534666
2008-11-01,38.16820090439277
2008-12-01,39.77564102564103
2009-01-01,39.97927767910006
2009-02-01,39.14492753623188
2009-03-01,44.59914277684092
2009-04-01,44.360896886603825
2009-05-01,38.97546897546897
2009-06-01,40.95970537261699
2009-07-01,39.521321070234116
2009-08-01,37.61032562125107
2009-09-01,40.592125037571385
2009-10-01,37.82054193157735
2009-11-01,38.16820090439277
2009-12-01,35.09615384615385
2010-01-01,37.98031379514506
2010-02-01,35.2304347826087
2010-03-01,37.956717256885895
2010-04-01,35.68159097400743
2010-05-01,35.077922077922075
2010-06-01,35.10831889081456
2010-07-01,33.87541806020067
2010-08-01,34.717223650385606
2010-09-01,35.51810940787497
2010-10-01,32.709657886769605
2010-11-01,31.62508074935401
2010-12-01,30.416666666666668
2011-01-01,35.98134991119005
2011-02-01,34.2518115942029
2011-03-01,37.00779932546374
2011-04-01,33.752856326763784
2011-05-01,34.10353535353535
2011-06-01,35.10831889081456
2011-07-01,34.81640189520624
2011-08-01,36.64595829762925
2011-09-01,33.4885031559964
2011-10-01,33.73183469573115
2011-11-01,34.89664082687339
2011-12-01,35.09615384615385
2012-01-01,34.98186796921255
2012-02-01,34.2518115942029
2012-03-01,32.26320966835301
2012-04-01,36.64595829762925
2012-05-01,34.10353535353535
2012-06-01,38.03401213171577
2012-07-01,33.87541806020067
2012-08-01,33.752856326763784
2012-09-01,35.51810940787497
2012-10-01,31.687481077808055
2012-11-01,30.534560723514215
2012-12-01,30.416666666666668
2013-01-01,34.98186796921255
2013-02-01,31.315942028985507
2013-03-01,31.314291736930862
2013-04-01,32.78848900314196
2013-05-01,34.10353535353535
2013-06-01,33.15785673021375
2013-07-01,33.87541806020067
2013-08-01,36.64595829762925
2013-09-01,34.50330628193568
2013-10-01,32.709657886769605
2013-11-01,37.077680878552975
2013-12-01,39.77564102564103
2014-01-01,37.98031379514506
2014-02-01,36.209057971014495
2014-03-01,37.00779932546374
2014-04-01,38.57469294487289
2014-05-01,41.89862914862915
2014-06-01,38.03401213171577
2014-07-01,41.40328874024526
2014-08-01,40.50342759211654
2014-09-01,42.621731289449954
2014-10-01,39.86489554950046
2014-11-01,38.16820090439277
2014-12-01,39.77564102564103
2015-01-01,38.97979573712256
2015-02-01,40.12355072463768
2015-03-01,39.854553119730184
2015-04-01,43.396529562982
2015-05-01,41.89862914862915
2015-06-01,45.835860774119006
2015-07-01,42.344272575250834
2015-08-01,42.43216223936018
2015-09-01,42.621731289449954
2015-10-01,39.86489554950046
2015-11-01,39.25872093023256
2015-12-01,39.77564102564103
2016-01-01,42.977723505032564
2016-02-01,46.97391304347826
2016-03-01,49.34373243395166
2016-04-01,49.182733504712935
2016-05-01,50.668109668109665
2016-06-01,47.78632293471981
2016-07-01,47.04919175027871
2016-08-01,48.21836618109111
2016-09-01,44.65133754132852
2016-10-01,48.04231002119286
2016-11-01,47.98288113695091
2016-12-01,44.455128205128204
2017-01-01,49.97409709887508
2017-02-01,47.95253623188406
2017-03-01,50.29265036537381
2017-04-01,49.182733504712935
2017-05-01,50.668109668109665
2017-06-01,50.71201617562103
2017-07-01,52.69509476031215
2017-08-01,50.14710082833476
2017-09-01,48.71055004508567
2017-10-01,53.15319406600061
2017-11-01,52.344961240310084
2017-12-01,49.13461538461539
2018-01-01,53.972024866785084
2018-02-01,51.86702898550725
2018-03-01,50.29265036537381
2018-04-01,54.968937446443874
2018-05-01,52.616883116883116
2018-06-01,52.66247833622184
2018-07-01,50.813127090301
2018-08-01,53.04020279920023
2018-09-01,52.769762548842806
2018-10-01,54.175370874962155
2018-11-01,53.43548126614987
2018-12-01,51.47435897435898
2019-01-01,53.972024866785084
2019-02-01,55.78152173913043
2019-03-01,53.13940415964025
2019-04-01,56.89767209368752
2019-05-01,52.616883116883116
2019-06-01,54.612940496822645
2019-07-01,54.5770624303233
2019-08-01,52.07583547557841
2019-09-01,53.78456567478209
2019-10-01,52.13101725703906
2019-11-01,51.25444121447029
2019-12-01,53.81410256410257
2020-01-01,57.96995263469509
2020-02-01,56.76014492753623
2020-03-01,38.90563518830804
2020-04-01,35.68159097400743
2020-05-01,40.92424242424242
2020-06-01,46.81109185441941
2020-07-01,50.813127090301
2020-08-01,46.28963153384747
2020-09-01,45.66614066726781
2020-10-01,45.997956403269754
2020-11-01,41.439760981912144
2020-12-01,42.11538461538462
2021-01-01,42.977723505032564
2021-02-01,46.97391304347826
