date,tenant rights
2004-01-01,99.40729166666667
2004-02-01,72.72696411251212
2004-03-01,59.56585637114713
2004-04-01,87.14872150338878
2004-05-01,77.61457443780245
2004-06-01,79.95636762052075
2004-07-01,85.93671205244578
2004-08-01,75.2080088265836
2004-09-01,78.21900363839912
2004-10-01,79.3325872873769
2004-11-01,75.21500329380765
2004-12-01,67.38475546305932
2005-01-01,61.87596726190476
2005-02-01,59.50387972841901
2005-03-01,76.89410549729902
2005-04-01,69.29898336414048
2005-05-01,79.55493879874751
2005-06-01,71.16995359628771
2005-07-01,67.03063540090771
2005-08-01,78.74720924195223
2005-09-01,76.31122306185279
2005-10-01,73.23008057296329
2005-11-01,63.98888339920949
2005-12-01,65.02037807839058
2006-01-01,61.87596726190476
2006-02-01,59.50387972841901
2006-03-01,63.8979186526851
2006-04-01,58.79913739987678
2006-05-01,68.88293481354967
2006-06-01,68.53402938901779
2006-07-01,65.31190115985879
2006-08-01,66.360007788162
2006-09-01,62.95675902602856
2006-10-01,64.07632050134288
2006-11-01,66.23410737812912
2006-12-01,55.56286853971558
2007-01-01,58.83288690476191
2007-02-01,66.11542192046556
2007-03-01,58.48284080076264
2007-04-01,62.99907578558226
2007-05-01,62.09165955024196
2007-06-01,60.62625676720805
2007-07-01,61.874432677760964
2007-08-01,59.281606957424714
2007-09-01,58.187307584662754
2007-10-01,57.97381378692928
2007-11-01,58.375823451910414
2007-12-01,55.56286853971558
2008-01-01,56.80416666666667
2008-02-01,57.300032331070156
2008-03-01,54.150778519224666
2008-04-01,52.49922982131855
2008-05-01,52.38983774551665
2008-06-01,51.839842742974994
2008-07-01,55.85886283408976
2008-08-01,51.318406022845274
2008-09-01,57.2334172963896
2008-10-01,57.97381378692928
2008-11-01,52.762763504611335
2008-12-01,63.8381893860562
2009-01-01,54.77544642857143
2009-02-01,56.19810863239573
2009-03-01,56.31680965999365
2009-04-01,58.79913739987678
2009-05-01,56.27056646740677
2009-06-01,64.14082237690127
2009-07-01,57.57759707513868
2009-08-01,61.936007268951194
2009-09-01,62.00286873775539
2009-10-01,61.02506714413608
2009-11-01,63.98888339920949
2009-12-01,56.74505723204996
2010-01-01,55.789806547619044
2010-02-01,53.99426123504688
2010-03-01,57.39982523037814
2010-04-01,57.74915280345041
2010-05-01,55.300384286934246
2010-06-01,58.86897396236144
2010-07-01,48.12455874936964
2010-08-01,55.742406542056074
2010-09-01,54.371746431570116
2010-10-01,50.8542226201134
2010-11-01,52.762763504611335
2010-12-01,56.74505723204996
2011-01-01,55.789806547619044
2011-02-01,58.40195602974458
2011-03-01,56.31680965999365
2011-04-01,53.54921441774492
2011-05-01,58.210930828351835
2011-06-01,52.7184841453983
2011-07-01,57.57759707513868
2011-08-01,60.166407061266874
2011-09-01,60.09508816120908
2011-10-01,60.00798269173381
2011-11-01,62.86627140974968
2011-12-01,57.92724592438433
2012-01-01,54.77544642857143
2012-02-01,52.89233753637245
2012-03-01,54.150778519224666
2012-04-01,55.64918361059766
2012-05-01,55.300384286934246
2012-06-01,52.7184841453983
2012-07-01,54.9994957135653
2012-08-01,52.203206126687434
2012-09-01,54.371746431570116
2012-10-01,58.99089823933154
2012-11-01,57.2532114624506
2012-12-01,49.65192507804371
2013-01-01,53.76108630952381
2013-02-01,52.89233753637245
2013-03-01,54.150778519224666
2013-04-01,53.54921441774492
2013-05-01,57.2407486478793
2013-06-01,57.11169115751483
2013-07-01,58.43696419566314
2013-08-01,56.627206645898234
2013-09-01,54.371746431570116
2013-10-01,53.9054759773202
2013-11-01,53.885375494071155
2013-12-01,56.74505723204996
2014-01-01,56.80416666666667
2014-02-01,55.096184933721304
2014-03-01,49.81871623768669
2014-04-01,54.59919901417129
2014-05-01,52.38983774551665
2014-06-01,52.7184841453983
2014-07-01,54.14012859304084
2014-08-01,48.664005711318794
2014-09-01,52.463965855023794
2014-10-01,51.87130707251567
2014-11-01,49.39492753623189
2014-12-01,47.28754769337496
2015-01-01,45.646205357142854
2015-02-01,46.280795344325895
2015-03-01,50.90173180807118
2015-04-01,47.249306839186694
2015-05-01,45.59856248220893
2015-06-01,45.689352926011864
2015-07-01,48.9839258698941
2015-08-01,46.894405503634474
2015-09-01,49.602294990204314
2015-10-01,47.80296926290659
2015-11-01,46.027091567852445
2015-12-01,42.55879292403747
2016-01-01,41.58876488095238
2016-02-01,41.87310054962819
2016-03-01,44.403638385764225
2016-04-01,43.04936845348121
2016-05-01,44.62838030173641
2016-06-01,47.44663573085847
2016-07-01,42.96835602622289
2016-08-01,41.58560488058151
2016-09-01,43.87895326056535
2016-10-01,44.75171590569979
2016-11-01,40.41403162055337
2016-12-01,42.55879292403747
2017-01-01,44.63184523809524
2017-02-01,47.38271904300032
2017-03-01,46.56966952653321
2017-04-01,44.099353049907585
2017-05-01,46.56874466268147
2017-06-01,44.81071152358856
2017-07-01,44.687090267271806
2017-08-01,44.24000519210799
2017-09-01,43.87895326056535
2017-10-01,42.71754700089525
2017-11-01,47.14970355731226
2017-12-01,44.92317030870621
2018-01-01,46.66056547619048
2018-02-01,44.07694794697704
2018-03-01,46.56966952653321
2018-04-01,46.199322242760324
2018-05-01,44.62838030173641
2018-06-01,43.05342871874195
2018-07-01,42.96835602622289
2018-08-01,43.35520508826583
2018-09-01,42.925062972292196
2018-10-01,42.71754700089525
2018-11-01,42.65925559947299
2018-12-01,41.37660423170309
2019-01-01,41.58876488095238
2019-02-01,46.280795344325895
2019-03-01,44.403638385764225
2019-04-01,41.99938385705484
2019-05-01,41.71783376031881
2019-06-01,42.17478731631864
2019-07-01,42.10898890569843
2019-08-01,42.47040498442367
2019-09-01,41.97117268401904
2019-10-01,43.734631453297524
2019-11-01,42.65925559947299
2019-12-01,42.55879292403747
2020-01-01,39.56004464285714
2020-02-01,41.87310054962819
2020-03-01,40.07157610422625
2020-04-01,36.74946087492298
2020-05-01,34.9265584970111
2020-06-01,36.90293890177881
2020-07-01,38.671520423600604
2020-08-01,38.04640446521287
2020-09-01,36.24783095438008
2020-10-01,35.59795583407938
2020-11-01,32.555747694334656
2020-12-01,35.46566077003122
2021-01-01,32.45952380952381
2021-02-01,39.66925315227934
2021-03-01,34.656498252303784
2021-04-01,34.64949168207024
2021-05-01,34.9265584970111
2021-06-01,32.509731889662284
2021-07-01,31.79658345940494
2021-08-01,34.50720404984423
2021-09-01,32.43226980128744
2021-10-01,35.59795583407938
2021-11-01,37.046195652173914
2021-12-01,36.6478494623656
2022-01-01,40.57440476190476
2022-02-01,45.17887164565147
2022-03-01,48.7357006673022
2022-04-01,44.099353049907585
2022-05-01,43.65819812126388
2022-06-01,44.81071152358856
2022-07-01,42.10898890569843
2022-08-01,46.009605399792314
2022-09-01,42.925062972292196
2022-10-01,42.71754700089525
2022-11-01,41.53664361001318
2022-12-01,46.10535900104059
2023-01-01,44.63184523809524
2023-02-01,48.48464274167475
2023-03-01,49.81871623768669
2023-04-01,47.249306839186694
2023-05-01,44.62838030173641
2023-06-01,41.29614591389534
2023-07-01,42.96835602622289
2023-08-01,44.24000519210799
2023-09-01,41.97117268401904
2023-10-01,42.71754700089525
2023-11-01,44.904479578392625
2023-12-01,44.92317030870621
2024-01-01,45.646205357142854
2024-02-01,46.280795344325895
2024-03-01,45.486653956148714
2024-04-01,44.099353049907585
2024-05-01,43.65819812126388
2024-06-01,39.53886310904873
2024-07-01,39.53088754412506
2024-08-01,40.70080477673935
2024-09-01,39.10950181919956
2024-10-01,41.700462548492986
2024-11-01,39.29141963109355
2024-12-01,41.37660423170309
2025-01-01,42.603125
2025-02-01,44.07694794697704
2025-03-01,43.32062281537973
2025-04-01,41.99938385705484
2025-05-01,35.896740677483635
2025-06-01,47.44663573085847
2025-07-01,52.42139435199193
2025-08-01,47.779205607476634
2025-09-01,50.55618527847748
2025-10-01,46.78588481050433
2025-11-01,65.11149538866931
2025-12-01,85.11758584807494
