date,emergency rental assistance
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,3.777415852334419
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,3.6126687435098646
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,4.216969696969697
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,3.831497797356828
2008-05-01,0.0
2008-06-01,1.8887079261672095
2008-07-01,2.4921203438395416
2008-08-01,3.351637764932563
2008-09-01,4.529947916666667
2008-10-01,2.7095015576323984
2008-11-01,0.0
2008-12-01,2.8799668874172184
2009-01-01,3.1627272727272726
2009-02-01,3.7328326180257507
2009-03-01,3.465139442231076
2009-04-01,2.554331864904552
2009-05-01,2.264973958333333
2009-06-01,1.8887079261672095
2009-07-01,4.153533906399236
2009-08-01,2.5137283236994223
2009-09-01,5.4359375
2009-10-01,4.515835929387331
2009-11-01,3.9714611872146115
2009-12-01,3.8399558498896247
2010-01-01,4.216969696969697
2010-02-01,4.977110157367668
2010-03-01,4.620185922974768
2010-04-01,3.831497797356828
2010-05-01,3.3974609374999996
2010-06-01,2.833061889250814
2010-07-01,4.984240687679083
2010-08-01,3.351637764932563
2010-09-01,3.6239583333333334
2010-10-01,3.6126687435098646
2010-11-01,3.9714611872146115
2010-12-01,2.8799668874172184
2011-01-01,4.216969696969697
2011-02-01,3.7328326180257507
2011-03-01,3.465139442231076
2011-04-01,5.108663729809104
2011-05-01,4.529947916666666
2011-06-01,5.666123778501628
2011-07-01,4.984240687679083
2011-08-01,3.351637764932563
2011-09-01,3.6239583333333334
2011-10-01,3.6126687435098646
2011-11-01,3.9714611872146115
2011-12-01,2.8799668874172184
2012-01-01,3.1627272727272726
2012-02-01,3.7328326180257507
2012-03-01,3.465139442231076
2012-04-01,3.831497797356828
2012-05-01,6.794921874999999
2012-06-01,4.721769815418024
2012-07-01,4.984240687679083
2012-08-01,5.027456647398845
2012-09-01,4.529947916666667
2012-10-01,4.515835929387331
2012-11-01,3.9714611872146115
2012-12-01,4.799944812362031
2013-01-01,4.216969696969697
2013-02-01,3.7328326180257507
2013-03-01,3.465139442231076
2013-04-01,5.108663729809104
2013-05-01,4.529947916666666
2013-06-01,4.721769815418024
2013-07-01,4.984240687679083
2013-08-01,5.027456647398845
2013-09-01,4.529947916666667
2013-10-01,3.6126687435098646
2013-11-01,4.964326484018264
2013-12-01,4.799944812362031
2014-01-01,5.2712121212121215
2014-02-01,3.7328326180257507
2014-03-01,3.465139442231076
2014-04-01,5.108663729809104
2014-05-01,5.662434895833332
2014-06-01,5.666123778501628
2014-07-01,5.81494746895893
2014-08-01,5.027456647398845
2014-09-01,5.4359375
2014-10-01,4.515835929387331
2014-11-01,3.9714611872146115
2014-12-01,3.8399558498896247
2015-01-01,3.1627272727272726
2015-02-01,4.977110157367668
2015-03-01,4.620185922974768
2015-04-01,3.831497797356828
2015-05-01,5.662434895833332
2015-06-01,4.721769815418024
2015-07-01,4.984240687679083
2015-08-01,5.027456647398845
2015-09-01,4.529947916666667
2015-10-01,4.515835929387331
2015-11-01,3.9714611872146115
2015-12-01,4.799944812362031
2016-01-01,4.216969696969697
2016-02-01,3.7328326180257507
2016-03-01,3.465139442231076
2016-04-01,5.108663729809104
2016-05-01,4.529947916666666
2016-06-01,4.721769815418024
2016-07-01,5.81494746895893
2016-08-01,5.027456647398845
2016-09-01,4.529947916666667
2016-10-01,4.515835929387331
2016-11-01,5.957191780821917
2016-12-01,4.799944812362031
2017-01-01,5.2712121212121215
2017-02-01,4.977110157367668
2017-03-01,4.620185922974768
2017-04-01,5.108663729809104
2017-05-01,6.794921874999999
2017-06-01,6.610477741585234
2017-07-01,4.984240687679083
2017-08-01,5.027456647398845
2017-09-01,4.529947916666667
2017-10-01,5.419003115264797
2017-11-01,4.964326484018264
2017-12-01,4.799944812362031
2018-01-01,6.325454545454545
2018-02-01,4.977110157367668
2018-03-01,3.465139442231076
2018-04-01,6.385829662261379
2018-05-01,6.794921874999999
2018-06-01,5.666123778501628
2018-07-01,4.984240687679083
2018-08-01,5.865366088631985
2018-09-01,4.529947916666667
2018-10-01,6.322170301142263
2018-11-01,5.957191780821917
2018-12-01,5.759933774834437
2019-01-01,5.2712121212121215
2019-02-01,6.221387696709585
2019-03-01,4.620185922974768
2019-04-01,6.385829662261379
2019-05-01,6.794921874999999
2019-06-01,6.610477741585234
2019-07-01,6.645654250238778
2019-08-01,6.703275529865126
2019-09-01,5.4359375
2019-10-01,6.322170301142263
2019-11-01,6.95005707762557
2019-12-01,6.7199227373068435
2020-01-01,6.325454545454545
2020-02-01,6.221387696709585
2020-03-01,9.240371845949536
2020-04-01,8.940161527165932
2020-05-01,12.457356770833332
2020-06-01,9.443539630836048
2020-07-01,21.598376313276027
2020-08-01,19.271917148362235
2020-09-01,15.401822916666667
2020-10-01,17.16017653167186
2020-11-01,16.8787100456621
2020-12-01,22.079746136865342
2021-01-01,33.735757575757575
2021-02-01,44.79399141630901
2021-03-01,75.07802124833998
2021-04-01,58.74963289280469
2021-05-01,63.41927083333333
2021-06-01,75.54831704668838
2021-07-01,71.44078319006687
2021-08-01,83.79094412331408
2021-09-01,85.16302083333333
2021-10-01,88.51038421599168
2021-11-01,90.35074200913242
2021-12-01,90.23896247240619
2022-01-01,92.77333333333333
2022-02-01,99.54220314735336
2022-03-01,85.47343957503321
2022-04-01,79.1842878120411
2022-05-01,75.87662760416666
2022-06-01,70.82654723127035
2022-07-01,66.45654250238778
2022-08-01,63.68111753371869
2022-09-01,64.32526041666667
2022-10-01,61.4153686396677
2022-11-01,57.58618721461187
2022-12-01,53.75938189845475
2023-01-01,50.60363636363636
2023-02-01,42.305436337625174
2023-03-01,39.27158034528553
2023-04-01,39.59214390602055
2023-05-01,38.504557291666664
2023-06-01,33.05238870792617
2023-07-01,28.244030563514805
2023-08-01,29.326830443159924
2023-09-01,30.803645833333334
2023-10-01,27.095015576323984
2023-11-01,29.785958904109584
2023-12-01,27.83967991169978
2024-01-01,29.518787878787876
2024-02-01,24.88555078683834
2024-03-01,19.635790172642764
2024-04-01,25.543318649045517
2024-05-01,22.64973958333333
2024-06-01,20.775787187839306
2024-07-01,19.936962750716333
2024-08-01,20.10982658959538
2024-09-01,19.931770833333335
2024-10-01,19.869678089304255
2024-11-01,21.84303652968036
2024-12-01,20.15976821192053
2025-01-01,24.247575757575756
2025-02-01,23.64127324749642
2025-03-01,18.48074369189907
2025-04-01,21.711820851688692
2025-05-01,19.252278645833332
2025-06-01,20.775787187839306
2025-07-01,22.429083094555875
2025-08-01,18.434007707129094
2025-09-01,19.02578125
2025-10-01,18.063343717549323
2025-11-01,20.85017123287671
2025-12-01,23.039735099337747
