date,storage unit rental
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,39.799632352941174
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,34.935993975903614
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,25.17935924369748
2007-06-01,0.0
2007-07-01,25.855799373040753
2007-08-01,19.734918793503482
2007-09-01,29.819481382978726
2007-10-01,27.73493543758967
2007-11-01,26.23119469026549
2007-12-01,27.218400000000003
2008-01-01,23.29066265060241
2008-02-01,21.261577424023155
2008-03-01,18.03189300411523
2008-04-01,20.50284090909091
2008-05-01,23.55488445378151
2008-06-01,30.754261363636363
2008-07-01,22.62382445141066
2008-08-01,21.529002320185615
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,21.669247787610622
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,25.456790123456795
2009-04-01,16.59753787878788
2009-05-01,13.808035714285714
2009-06-01,20.209943181818183
2009-07-01,20.19984326018809
2009-08-01,27.808294663573086
2009-09-01,20.565159574468087
2009-10-01,15.531563845050215
2009-11-01,18.247787610619472
2009-12-01,17.320800000000002
2010-01-01,19.79706325301205
2010-02-01,25.7376989869754
2010-03-01,21.213991769547327
2010-04-01,19.526515151515152
2010-05-01,21.118172268907564
2010-06-01,0.0
2010-07-01,16.967868338557995
2010-08-01,14.352668213457077
2010-09-01,14.39561170212766
2010-10-01,12.203371592539455
2010-11-01,25.090707964601773
2010-12-01,18.558
2011-01-01,31.44239457831325
2011-02-01,26.856729377713457
2011-03-01,31.820987654320994
2011-04-01,26.360795454545453
2011-05-01,21.930409663865547
2011-06-01,26.360795454545453
2011-07-01,12.927899686520377
2011-08-01,28.705336426914155
2011-09-01,32.90425531914894
2011-10-01,21.07855093256815
2011-11-01,28.512168141592927
2011-12-01,22.2696
2012-01-01,22.12612951807229
2012-02-01,31.3328509406657
2012-03-01,30.76028806584363
2012-04-01,30.266098484848484
2012-05-01,27.616071428571427
2012-06-01,26.360795454545453
2012-07-01,27.471786833855802
2012-08-01,26.014211136890953
2012-09-01,16.45212765957447
2012-10-01,25.516140602582496
2012-11-01,21.669247787610622
2012-12-01,25.9812
2013-01-01,32.60692771084337
2013-02-01,29.09479015918958
2013-03-01,19.092592592592595
2013-04-01,26.360795454545453
2013-05-01,25.17935924369748
2013-06-01,30.754261363636363
2013-07-01,21.815830721003135
2013-08-01,30.499419953596288
2013-09-01,31.875997340425535
2013-10-01,23.297345767575322
2013-11-01,33.07411504424779
2013-12-01,32.1672
2014-01-01,31.44239457831325
2014-02-01,27.975759768451518
2014-03-01,25.456790123456795
2014-04-01,39.053030303030305
2014-05-01,34.1139705882353
2014-06-01,43.934659090909086
2014-07-01,32.31974921630094
2014-08-01,31.396461716937356
2014-09-01,35.98902925531915
2014-10-01,28.844332855093256
2014-11-01,25.090707964601773
2014-12-01,29.692800000000002
2015-01-01,31.44239457831325
2015-02-01,24.618668596237338
2015-03-01,36.06378600823046
2015-04-01,40.02935606060606
2015-05-01,26.803834033613445
2015-06-01,37.783806818181816
2015-07-01,31.511755485893417
2015-08-01,39.469837587006964
2015-09-01,31.875997340425535
2015-10-01,36.610114777618364
2015-11-01,26.23119469026549
2015-12-01,29.692800000000002
2016-01-01,31.44239457831325
2016-02-01,30.21382054992764
2016-03-01,39.24588477366256
2016-04-01,34.171401515151516
2016-05-01,39.799632352941174
2016-06-01,33.39034090909091
2016-07-01,39.591692789968654
2016-08-01,33.19054524361949
2016-09-01,39.07380319148936
2016-10-01,41.04770444763271
2016-11-01,41.05752212389381
2016-12-01,43.302
2017-01-01,47.74585843373494
2017-02-01,58.18958031837916
2017-03-01,61.52057613168726
2017-04-01,60.53219696969697
2017-05-01,51.983193277310924
2017-06-01,57.11505681818181
2017-07-01,49.28761755485893
2017-08-01,45.74912993039443
2017-09-01,58.61070478723404
2017-10-01,53.251076040172165
2017-11-01,52.46238938053098
2017-12-01,54.436800000000005
2018-01-01,43.087725903614455
2018-02-01,55.951519536903035
2018-03-01,57.277777777777786
2018-04-01,54.67424242424242
2018-05-01,46.29753151260504
2018-06-01,52.72159090909091
2018-07-01,53.327586206896555
2018-08-01,44.85208816705337
2018-09-01,51.412898936170215
2018-10-01,54.36047345767575
2018-11-01,44.478982300884965
2018-12-01,45.7764
2019-01-01,51.2394578313253
2019-02-01,52.59442836468886
2019-03-01,48.79218106995886
2019-04-01,44.91098484848485
2019-05-01,45.48529411764706
2019-06-01,57.99375
2019-07-01,52.51959247648903
2019-08-01,52.028422273781906
2019-09-01,48.328125
2019-10-01,49.922883787661405
2019-11-01,43.338495575221245
2019-12-01,53.199600000000004
2020-01-01,54.73305722891566
2020-02-01,50.35636758321274
2020-03-01,44.549382716049394
2020-04-01,41.00568181818182
2020-05-01,47.922006302521005
2020-06-01,54.47897727272727
2020-07-01,56.559561128526646
2020-08-01,60.998839907192576
2020-09-01,56.554188829787236
2020-10-01,56.579268292682926
2020-11-01,49.04092920353983
2020-12-01,55.67400000000001
2021-01-01,57.0621234939759
2021-02-01,60.42764109985528
2021-03-01,63.64197530864199
2021-04-01,62.484848484848484
2021-05-01,60.105567226890756
2021-06-01,64.14460227272727
2021-07-01,63.023510971786834
2021-08-01,60.998839907192576
2021-09-01,69.92154255319149
2021-10-01,62.12625538020086
2021-11-01,59.30530973451329
2021-12-01,64.3344
2022-01-01,72.20105421686748
2022-02-01,83.92727930535456
2022-03-01,62.58127572016462
2022-04-01,67.36647727272727
2022-05-01,60.105567226890756
2022-06-01,65.90198863636364
2022-07-01,67.06347962382445
2022-08-01,55.61658932714617
2022-09-01,57.58244680851064
2022-10-01,65.45444763271162
2022-11-01,50.181415929203546
2022-12-01,54.436800000000005
2023-01-01,62.8847891566265
2023-02-01,66.02279305354558
2023-03-01,65.76337448559671
2023-04-01,60.53219696969697
2023-05-01,51.983193277310924
2023-06-01,54.47897727272727
2023-07-01,50.09561128526646
2023-08-01,51.131380510440835
2023-09-01,49.3563829787234
2023-10-01,52.14167862266858
2023-11-01,54.74336283185842
2023-12-01,50.7252
2024-01-01,58.22665662650602
2024-02-01,62.6657018813314
2024-03-01,62.58127572016462
2024-04-01,56.62689393939394
2024-05-01,50.35871848739496
2024-06-01,54.47897727272727
2024-07-01,49.28761755485893
2024-08-01,51.131380510440835
2024-09-01,47.2998670212766
2024-10-01,49.922883787661405
2024-11-01,54.74336283185842
2024-12-01,56.9112
2025-01-01,67.542921686747
2025-02-01,66.02279305354558
2025-03-01,59.399176954732525
2025-04-01,72.24810606060606
2025-05-01,60.105567226890756
2025-06-01,62.387215909090905
2025-07-01,80.79937304075236
2025-08-01,78.04263341067286
2025-09-01,81.23238031914894
2025-10-01,97.62697274031564
2025-11-01,98.08185840707966
2025-12-01,91.5528
