date,housing affordability
2004-01-01,0.0
2004-02-01,27.806318681318682
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,30.671212121212125
2004-06-01,38.46695402298851
2004-07-01,33.1231884057971
2004-08-01,31.41253644314869
2004-09-01,32.75235109717868
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,31.39423076923077
2005-03-01,35.84718100890208
2005-04-01,28.519578313253014
2005-05-01,25.724242424242426
2005-06-01,34.714080459770116
2005-07-01,39.74782608695652
2005-08-01,26.653061224489797
2005-09-01,22.517241379310345
2005-10-01,17.829351535836178
2005-11-01,28.692424242424245
2005-12-01,27.292569659442727
2006-01-01,21.85236220472441
2006-02-01,19.733516483516485
2006-03-01,23.252225519287837
2006-04-01,24.585843373493976
2006-05-01,25.724242424242426
2006-06-01,18.764367816091955
2006-07-01,18.92753623188406
2006-08-01,23.79737609329446
2006-09-01,18.42319749216301
2006-10-01,26.744027303754265
2006-11-01,12.862121212121213
2006-12-01,15.162538699690405
2007-01-01,30.850393700787407
2007-02-01,17.93956043956044
2007-03-01,11.626112759643918
2007-04-01,14.751506024096386
2007-05-01,16.81969696969697
2007-06-01,15.949712643678163
2007-07-01,12.302898550724638
2007-08-01,16.182215743440235
2007-09-01,17.399686520376175
2007-10-01,23.401023890784984
2007-11-01,15.830303030303032
2007-12-01,14.151702786377712
2008-01-01,23.137795275590555
2008-02-01,14.351648351648352
2008-03-01,12.594955489614245
2008-04-01,24.585843373493976
2008-05-01,15.830303030303032
2008-06-01,10.320402298850576
2008-07-01,10.410144927536232
2008-08-01,16.182215743440235
2008-09-01,18.42319749216301
2008-10-01,11.143344709897612
2008-11-01,14.840909090909092
2008-12-01,12.130030959752323
2009-01-01,16.710629921259844
2009-02-01,31.39423076923077
2009-03-01,50.37982195845698
2009-04-01,34.420180722891565
2009-05-01,20.77727272727273
2009-06-01,19.702586206896555
2009-07-01,12.302898550724638
2009-08-01,16.182215743440235
2009-09-01,7.1645768025078365
2009-10-01,10.02901023890785
2009-11-01,10.883333333333335
2009-12-01,8.086687306501549
2010-01-01,15.425196850393704
2010-02-01,10.763736263736265
2010-03-01,10.657270029673592
2010-04-01,9.83433734939759
2010-05-01,10.883333333333335
2010-06-01,10.320402298850576
2010-07-01,8.517391304347827
2010-08-01,8.567055393586006
2010-09-01,7.1645768025078365
2010-10-01,14.486348122866895
2010-11-01,9.893939393939394
2010-12-01,6.065015479876162
2011-01-01,12.854330708661418
2011-02-01,9.866758241758243
2011-03-01,7.750741839762612
2011-04-01,8.850903614457831
2011-05-01,7.915151515151516
2011-06-01,8.44396551724138
2011-07-01,6.62463768115942
2011-08-01,6.663265306122449
2011-09-01,6.141065830721002
2011-10-01,7.800341296928328
2011-11-01,8.904545454545456
2011-12-01,9.097523219814242
2012-01-01,10.283464566929135
2012-02-01,7.175824175824176
2012-03-01,6.781899109792286
2012-04-01,9.83433734939759
2012-05-01,5.936363636363637
2012-06-01,6.567528735632185
2012-07-01,5.678260869565218
2012-08-01,6.663265306122449
2012-09-01,7.1645768025078365
2012-10-01,6.686006825938566
2012-11-01,5.936363636363637
2012-12-01,5.054179566563468
2013-01-01,6.427165354330709
2013-02-01,5.381868131868132
2013-03-01,5.813056379821959
2013-04-01,5.900602409638554
2013-05-01,7.915151515151516
2013-06-01,5.629310344827587
2013-07-01,6.62463768115942
2013-08-01,6.663265306122449
2013-09-01,6.141065830721002
2013-10-01,6.686006825938566
2013-11-01,5.936363636363637
2013-12-01,7.075851393188856
2014-01-01,10.283464566929135
2014-02-01,9.866758241758243
2014-03-01,7.750741839762612
2014-04-01,8.850903614457831
2014-05-01,7.915151515151516
