date,first time home buyer
2004-01-01,20.29579207920792
2004-02-01,14.293632075471699
2004-03-01,20.26235584843493
2004-04-01,17.795341098169718
2004-05-01,18.1271186440678
2004-06-01,19.166666666666668
2004-07-01,19.13237924865832
2004-08-01,18.23011363636364
2004-09-01,19.6840490797546
2004-10-01,15.66213389121339
2004-11-01,15.72794117647059
2004-12-01,18.198298429319372
2005-01-01,16.76608910891089
2005-02-01,14.293632075471699
2005-03-01,17.619439868204285
2005-04-01,16.905574043261232
2005-05-01,20.14124293785311
2005-06-01,18.208333333333336
2005-07-01,18.175760286225405
2005-08-01,16.204545454545457
2005-09-01,15.309815950920246
2005-10-01,15.66213389121339
2005-11-01,14.518099547511314
2005-12-01,15.398560209424085
2006-01-01,16.76608910891089
2006-02-01,14.293632075471699
2006-03-01,15.857495881383857
2006-04-01,16.905574043261232
2006-05-01,17.120056497175142
2006-06-01,16.291666666666668
2006-07-01,17.21914132379249
2006-08-01,17.217329545454547
2006-09-01,15.309815950920246
2006-10-01,16.780857740585773
2006-11-01,16.937782805429865
2006-12-01,16.798429319371728
2007-01-01,18.530940594059405
2007-02-01,15.975235849056604
2007-03-01,17.619439868204285
2007-04-01,17.795341098169718
2007-05-01,18.1271186440678
2007-06-01,17.25
2007-07-01,17.21914132379249
2007-08-01,17.217329545454547
2007-09-01,14.216257668711657
2007-10-01,14.543410041841005
2007-11-01,13.308257918552037
2007-12-01,13.998691099476442
2008-01-01,15.883663366336634
2008-02-01,15.13443396226415
2008-03-01,16.738467874794072
2008-04-01,16.015806988352747
2008-05-01,16.112994350282488
2008-06-01,16.291666666666668
2008-07-01,19.13237924865832
2008-08-01,22.281250000000004
2008-09-01,25.151840490797547
2008-10-01,21.255753138075313
2008-11-01,21.777149321266972
2008-12-01,32.19698952879582
2009-01-01,36.179455445544555
2009-02-01,84.08018867924528
2009-03-01,63.42998352553543
2009-04-01,54.27579034941764
2009-05-01,60.42372881355933
2009-06-01,77.625
2009-07-01,72.70304114490162
2009-08-01,82.03551136363637
2009-09-01,86.39110429447852
2009-10-01,108.51621338912135
2009-11-01,104.04638009049775
2009-12-01,44.79581151832461
2010-01-01,41.4740099009901
2010-02-01,39.51768867924528
2010-03-01,44.929571663920925
2010-04-01,47.157653910149754
2010-05-01,31.218926553672322
2010-06-01,34.5
2010-07-01,24.872093023255815
2010-08-01,22.281250000000004
2010-09-01,21.87116564417178
2010-10-01,20.13702928870293
2010-11-01,19.35746606334842
2010-12-01,19.598167539267017
2011-01-01,23.82549504950495
2011-02-01,21.860849056603772
2011-03-01,21.143327841845142
2011-04-01,20.464642262895175
2011-05-01,20.14124293785311
2011-06-01,19.166666666666668
2011-07-01,20.088998211091237
2011-08-01,19.24289772727273
2011-09-01,19.6840490797546
2011-10-01,19.018305439330547
2011-11-01,19.35746606334842
2011-12-01,22.397905759162306
2012-01-01,22.060643564356436
2012-02-01,19.338443396226413
2012-03-01,18.5004118616145
2012-04-01,18.685108153078204
2012-05-01,19.134180790960453
2012-06-01,18.208333333333336
2012-07-01,19.13237924865832
2012-08-01,19.24289772727273
2012-09-01,18.590490797546014
2012-10-01,17.89958158995816
2012-11-01,19.35746606334842
2012-12-01,19.598167539267017
2013-01-01,22.943069306930692
2013-02-01,19.338443396226413
2013-03-01,16.738467874794072
2013-04-01,17.795341098169718
2013-05-01,18.1271186440678
2013-06-01,18.208333333333336
2013-07-01,20.088998211091237
2013-08-01,19.24289772727273
2013-09-01,17.496932515337424
2013-10-01,16.780857740585773
2013-11-01,16.937782805429865
2013-12-01,20.99803664921466
2014-01-01,22.060643564356436
2014-02-01,20.17924528301887
2014-03-01,20.26235584843493
2014-04-01,20.464642262895175
2014-05-01,20.14124293785311
2014-06-01,19.166666666666668
2014-07-01,19.13237924865832
2014-08-01,18.23011363636364
2014-09-01,18.590490797546014
2014-10-01,17.89958158995816
2014-11-01,18.147624434389144
2014-12-01,20.99803664921466
2015-01-01,22.943069306930692
