date,late rent
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,21.625521557719058
2004-05-01,0.0
2004-06-01,13.56784467713787
2004-07-01,14.153723616089207
2004-08-01,0.0
2004-09-01,16.93456162642948
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,13.34084084084084
2005-01-01,12.187928669410152
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,10.297867408437646
2005-05-01,12.531734837799718
2005-06-01,14.536976439790577
2005-07-01,10.615292712066905
2005-08-01,10.362065309584393
2005-09-01,14.112134688691233
2005-10-01,13.131537062301046
2005-11-01,13.480975723622784
2005-12-01,13.34084084084084
2006-01-01,12.187928669410152
2006-02-01,12.951895043731778
2006-03-01,13.796583850931679
2006-04-01,19.56594807603153
2006-05-01,13.576046074283028
2006-06-01,10.660449389179755
2006-07-01,18.576762246117084
2006-08-01,12.246077184054283
2006-09-01,13.171325709445151
2006-10-01,16.161891768985903
2006-11-01,14.517973856209151
2006-12-01,18.105426855426856
2007-01-01,14.219250114311844
2007-02-01,11.872570456754131
2007-03-01,12.646868530020704
2007-04-01,16.476587853500234
2007-05-01,18.797602256699577
2007-06-01,14.536976439790577
2007-07-01,14.153723616089207
2007-08-01,16.01410093299406
2007-09-01,16.93456162642948
2007-10-01,15.151773533424285
2007-11-01,17.628968253968257
2007-12-01,12.387923637923638
2008-01-01,20.31321444901692
2008-02-01,20.507167152575317
2008-03-01,17.245729813664596
2008-04-01,17.506374594344
2008-05-01,14.620357310766337
2008-06-01,13.56784467713787
2008-07-01,17.692154520111508
2008-08-01,21.666136556403732
2008-09-01,15.993752647183397
2008-10-01,20.202364711232377
2008-11-01,17.628968253968257
2008-12-01,17.152509652509654
2009-01-01,17.266232281664383
2009-02-01,20.507167152575317
2009-03-01,18.39544513457557
2009-04-01,18.536161335187764
2009-05-01,20.886224729666196
2009-06-01,21.32089877835951
2009-07-01,17.692154520111508
2009-08-01,22.608142493638677
2009-09-01,21.63860652265989
2009-10-01,20.202364711232377
2009-11-01,16.591970121381888
2009-12-01,17.152509652509654
2010-01-01,22.344535893918614
2010-02-01,19.42784256559767
2010-03-01,20.694875776397517
2010-04-01,20.595734816875293
2010-05-01,20.886224729666196
2010-06-01,18.413503490401396
2010-07-01,22.115193150139387
2010-08-01,21.666136556403732
2010-09-01,19.756988564167727
2010-10-01,21.212482946793997
2010-11-01,22.813958916900095
2010-12-01,18.105426855426856
2011-01-01,24.375857338820303
2011-02-01,22.665816326530614
2011-03-01,20.694875776397517
2011-04-01,20.595734816875293
2011-05-01,22.974847202632816
2011-06-01,26.166557591623036
2011-07-01,25.65362405416169
2011-08-01,25.43416030534351
2011-09-01,27.283460398136384
2011-10-01,25.252955889040475
2011-11-01,22.813958916900095
2011-12-01,21.91709566709567
2012-01-01,24.375857338820303
2012-02-01,22.665816326530614
2012-03-01,22.994306418219463
2012-04-01,23.685095039406587
2012-05-01,26.107780912082745
2012-06-01,28.10482111692845
2012-07-01,28.307447232178415
2012-08-01,27.318172179813402
2012-09-01,28.224269377382466
2012-10-01,27.273192360163712
2012-11-01,27.998949579831937
2012-12-01,23.822930072930074
2013-01-01,30.46982167352538
2013-02-01,26.983114674441204
2013-03-01,27.593167701863358
2013-04-01,25.744668521094116
2013-05-01,29.240714621532675
2013-06-01,28.10482111692845
2013-07-01,28.307447232178415
2013-08-01,31.08619592875318
2013-09-01,27.283460398136384
2013-10-01,27.273192360163712
2013-11-01,29.035947712418302
2013-12-01,27.634598884598887
2014-01-01,29.454160951074535
2014-02-01,31.300413022351798
2014-03-01,27.593167701863358
2014-04-01,27.804242002781645
2014-05-01,31.329337094499294
2014-06-01,31.012216404886562
2014-07-01,30.96127041019514
2014-08-01,30.144189991518235
2014-09-01,30.10588733587463
2014-10-01,30.30354706684857
2014-11-01,27.998949579831937
2014-12-01,29.540433290433292
2015-01-01,46.72039323273892
2015-02-01,55.045553935860056
2015-03-01,62.08462732919255
2015-04-01,45.310616597125644
2015-05-01,42.8167606958157
2015-06-01,34.888743455497384
2015-07-01,38.92273994424532
2015-08-01,33.912213740458014
2015-09-01,31.987505294366795
2015-10-01,33.33390177353343
2015-11-01,32.146942110177406
2015-12-01,31.446267696267697
2016-01-01,37.579446730681305
2016-02-01,38.85568513119534
2016-03-01,33.34174430641822
2016-04-01,35.012749188688
2016-05-01,35.506582040432534
2016-06-01,37.7961387434555
2016-07-01,35.384309040223016
2016-08-01,34.85421967769296
2016-09-01,33.86912325285896
2016-10-01,34.34402000909505
2016-11-01,30.07294584500467
2016-12-01,32.3991848991849
2017-01-01,37.579446730681305
2017-02-01,36.69703595724004
2017-03-01,37.94060559006211
2017-04-01,36.042535929531766
2017-05-01,37.59520451339915
2017-06-01,36.82700698080279
2017-07-01,37.15352449223417
2017-08-01,36.73823155216285
2017-09-01,33.86912325285896
2017-10-01,38.38449295134152
2017-11-01,35.25793650793651
2017-12-01,36.21085371085371
2018-01-01,42.657750342935536
2018-02-01,38.85568513119534
2018-03-01,39.09032091097309
2018-04-01,38.10210941121929
2018-05-01,38.63951574988246
2018-06-01,40.70353403141361
2018-07-01,38.92273994424532
2018-08-01,40.50625530110263
2018-09-01,38.57316814908937
2018-10-01,35.35413824465666
2018-11-01,39.40592903828198
2018-12-01,39.06960531960532
2019-01-01,40.62642889803384
2019-02-01,42.09365889212828
2019-03-01,40.24003623188406
2019-04-01,35.012749188688
2019-05-01,41.77244945933239
2019-06-01,44.580061082024436
2019-07-01,41.576563122262044
2019-08-01,41.44826123833757
2019-09-01,43.27721304531978
2019-10-01,39.39461118690314
2019-11-01,43.55392156862745
2019-12-01,40.02252252252252
2020-01-01,42.657750342935536
2020-02-01,43.17298347910593
2020-03-01,51.737189440993795
2020-04-01,58.69784422809458
2020-05-01,42.8167606958157
2020-06-01,37.7961387434555
2020-07-01,38.038132218239745
2020-08-01,41.44826123833757
2020-09-01,36.691550190597205
2020-10-01,41.414847658026375
2020-11-01,37.331932773109244
2020-12-01,40.97543972543973
2021-01-01,42.657750342935536
2021-02-01,43.17298347910593
2021-03-01,41.38975155279503
2021-04-01,36.042535929531766
2021-05-01,43.86107193229901
2021-06-01,41.67266579406632
2021-07-01,40.691955396256475
2021-08-01,46.1582909245123
2021-09-01,44.21802202456586
2021-10-01,49.49579354251933
2021-11-01,50.81290849673203
2021-12-01,46.69294294294294
2022-01-01,54.845679012345684
2022-02-01,57.20420310981535
2022-03-01,57.48576604554866
2022-04-01,54.57869726471952
2022-05-01,55.34849553361542
2022-06-01,54.27137870855148
2022-07-01,53.9610712863401
2022-08-01,53.69433842239186
2022-09-01,51.74449385853452
2022-10-01,53.536266484765804
2022-11-01,47.70191409897293
2022-12-01,49.55169455169455
2023-01-01,56.87700045724738
2023-02-01,58.283527696793
2023-03-01,59.78519668737061
2023-04-01,54.57869726471952
2023-05-01,58.48142924306535
2023-06-01,58.147905759162306
2023-07-01,57.499502190362406
2023-08-01,55.57835029686175
2023-09-01,60.21177467174926
2023-10-01,61.61721236925876
2023-11-01,58.071895424836605
2023-12-01,56.22211497211497
2024-01-01,61.95530406950161
2024-02-01,64.75947521865889
2024-03-01,66.68348861283644
2024-04-01,60.75741770978212
2024-05-01,64.74729666196521
2024-06-01,61.055301047120416
2024-07-01,57.499502190362406
2024-08-01,61.23038592027142
2024-09-01,61.152583650995346
2024-10-01,60.60709413369714
2024-11-01,62.21988795518208
2024-12-01,60.03378378378378
2025-01-01,69.06492912665753
2025-02-01,73.39407191448008
2025-03-01,68.98291925465838
2025-04-01,63.84677793231341
2025-05-01,67.88023037141514
2025-06-01,72.68488219895288
2025-07-01,72.53783353245719
2025-08-01,76.30248091603053
2025-09-01,73.38310038119441
2025-10-01,76.76898590268304
2025-11-01,93.32983193277312
2025-12-01,95.2917202917203
