date,security deposit
2004-01-01,18.644938271604936
2004-02-01,19.549585769980503
2004-03-01,17.359080459770112
2004-04-01,21.180946552427578
2004-05-01,22.529784142797837
2004-06-01,24.94261985654964
2004-07-01,24.370637464387464
2004-08-01,24.79447463768116
2004-09-01,26.793592862935924
2004-10-01,22.27134277134277
2004-11-01,22.473809523809525
2004-12-01,20.31348637015782
2005-01-01,18.644938271604936
2005-02-01,18.39961013645224
2005-03-01,19.528965517241375
2005-04-01,18.292635658914726
2005-05-01,21.55022831050228
2005-06-01,20.48858059645149
2005-07-01,24.370637464387464
2005-08-01,23.084510869565214
2005-09-01,23.922850770478505
2005-10-01,21.259009009009006
2005-11-01,17.97904761904762
2005-12-01,20.31348637015782
2006-01-01,23.306172839506168
2006-02-01,20.699561403508767
2006-03-01,20.61390804597701
2006-04-01,20.218176254589963
2006-05-01,19.591116645911164
2006-06-01,23.161004152510383
2006-07-01,20.168803418803417
2006-08-01,23.084510869565214
2006-09-01,20.095194647201943
2006-10-01,21.259009009009006
2006-11-01,20.22642857142857
2006-12-01,18.05643232902917
2007-01-01,20.97555555555555
2007-02-01,20.699561403508767
2007-03-01,20.61390804597701
2007-04-01,20.218176254589963
2007-05-01,21.55022831050228
2007-06-01,20.48858059645149
2007-07-01,26.05137108262108
2007-08-01,23.084510869565214
2007-09-01,23.922850770478505
2007-10-01,25.308344058344055
2007-11-01,22.473809523809525
2007-12-01,20.31348637015782
2008-01-01,20.97555555555555
2008-02-01,21.849537037037035
2008-03-01,21.69885057471264
2008-04-01,22.143716850265196
2008-05-01,24.488895807388957
2008-06-01,24.94261985654964
2008-07-01,25.211004273504273
2008-08-01,25.64945652173913
2008-09-01,27.750506893755066
2008-10-01,24.296010296010294
2008-11-01,23.5975
2008-12-01,22.570540411286466
2009-01-01,26.802098765432095
2009-02-01,24.149488304093563
2009-03-01,27.1235632183908
2009-04-01,24.06925744594043
2009-05-01,27.42756330427563
2009-06-01,28.505851264628163
2009-07-01,30.253205128205124
2009-08-01,31.634329710144925
2009-09-01,30.621248986212485
2009-10-01,29.357679107679104
2009-11-01,29.21595238095238
2009-12-01,27.084648493543757
2010-01-01,30.29802469135802
2010-02-01,31.049342105263154
2010-03-01,29.293448275862065
2010-04-01,27.9203386372909
2010-05-01,28.40711913657119
2010-06-01,32.95989052472631
2010-07-01,28.572471509971507
2010-08-01,27.35942028985507
2010-09-01,29.664334955393347
2010-10-01,26.32067782067782
2010-11-01,25.844880952380954
2010-12-01,25.956121472979433
2011-01-01,32.62864197530864
2011-02-01,31.049342105263154
2011-03-01,30.378390804597696
2011-04-01,28.88310893512852
2011-05-01,32.32534246575342
2011-06-01,32.95989052472631
2011-07-01,35.29540598290598
2011-08-01,32.489311594202896
2011-09-01,36.362733171127324
2011-10-01,34.41934791934791
2011-11-01,33.71071428571429
2011-12-01,31.598756575801048
2012-01-01,34.959259259259255
2012-02-01,33.349293372319686
2012-03-01,31.463333333333328
2012-04-01,29.845879232966134
2012-05-01,32.32534246575342
2012-06-01,33.850698376745946
