date,section 8 housing
2004-01-01,48.52555701179554
2004-02-01,48.14558303886926
2004-03-01,52.85584324702588
2004-04-01,56.727770177838565
2004-05-01,49.03973509933775
2004-06-01,49.245073891625616
2004-07-01,51.12976190476191
2004-08-01,50.06453595574677
2004-09-01,53.58881578947368
2004-10-01,54.095796002756714
2004-11-01,51.702870442203256
2004-12-01,49.00807102502017
2005-01-01,47.555045871559635
2005-02-01,48.14558303886926
2005-03-01,46.63750874737578
2005-04-01,44.57181942544459
2005-05-01,50.0205298013245
2005-06-01,42.86145320197044
2005-07-01,40.55119047619048
2005-08-01,44.60295021511985
2005-09-01,50.66578947368421
2005-10-01,45.930392832529286
2005-11-01,45.95810705973623
2005-12-01,44.226795803066985
2006-01-01,41.73197903014417
2006-02-01,40.81908127208481
2006-03-01,45.601119664100764
2006-04-01,44.57181942544459
2006-05-01,47.078145695364235
2006-06-01,45.59729064039409
2006-07-01,46.72202380952381
2006-08-01,51.88506453595574
2006-09-01,44.81973684210526
2006-10-01,47.97174362508614
2006-11-01,44.80915438324282
2006-12-01,46.617433414043575
2007-01-01,52.40760157273919
2007-02-01,51.28551236749117
2007-03-01,53.8922323303009
2007-04-01,55.71477428180574
2007-05-01,57.866887417218535
2007-06-01,51.06896551724138
2007-07-01,58.18214285714286
2007-08-01,55.52612169637369
2007-09-01,56.51184210526315
2007-10-01,56.13714679531357
2007-11-01,60.8944918541505
2007-12-01,53.78934624697336
2008-01-01,60.17169069462648
2008-02-01,57.565371024734986
2008-03-01,59.074177746675986
2008-04-01,63.81874145006839
2008-05-01,53.94370860927152
2008-06-01,55.62869458128079
2008-07-01,62.58988095238095
2008-08-01,62.80823601720959
2008-09-01,74.05
2008-10-01,76.55065472088214
2008-11-01,76.97982932505818
2008-12-01,75.3050847457627
2009-01-01,72.78833551769331
2009-02-01,78.49823321554771
2009-03-01,77.7291812456263
2009-04-01,73.94870041039671
2009-05-01,76.50198675496688
2009-06-01,82.07512315270937
