date,home appraisal
2004-01-01,82.85201793721974
2004-02-01,60.20491452991453
2004-03-01,75.50996810207337
2004-04-01,72.77467729688686
2004-05-01,68.59041353383459
2004-06-01,79.30735849056605
2004-07-01,70.1483644859813
2004-08-01,78.25578512396694
2004-09-01,71.50485212569318
2004-10-01,76.53313840155947
2004-11-01,68.97842920353982
2004-12-01,78.35803571428572
2005-01-01,80.78071748878925
2005-02-01,89.8138888888889
2005-03-01,78.27252791068581
2005-04-01,78.03549734244496
2005-05-01,76.4045112781955
2005-06-01,85.40792452830189
2005-07-01,86.33644859813084
2005-08-01,76.34710743801654
2005-09-01,78.97550831792978
2005-10-01,72.03118908382068
2005-11-01,79.19745575221239
2005-12-01,67.36041666666667
2006-01-01,74.56681614349776
2006-02-01,98.6965811965812
2006-03-01,84.71850079744817
2006-04-01,69.26746393318147
2006-05-01,79.87744360902256
2006-06-01,75.821320754717
2006-07-01,78.24240654205607
2006-08-01,75.39276859504133
2006-09-01,67.2359057301294
2006-10-01,70.90570175438597
2006-11-01,74.08794247787611
2006-12-01,68.73511904761905
2007-01-01,73.53116591928251
2007-02-01,66.1267094017094
2007-03-01,65.38058213716108
2007-04-01,59.62262718299165
2007-05-01,65.9857142857143
2007-06-01,62.74867924528302
2007-07-01,62.05432242990654
2007-08-01,57.2603305785124
2007-09-01,64.03419593345657
2007-10-01,60.7763157894737
2007-11-01,58.75940265486726
2007-12-01,53.61339285714286
2008-01-01,59.032062780269065
2008-02-01,54.28311965811966
2008-03-01,54.33034290271133
2008-04-01,50.854593773728176
2008-05-01,49.48928571428572
2008-06-01,46.190000000000005
2008-07-01,44.06756230529595
2008-08-01,41.99090909090909
2008-09-01,46.958410351201486
2008-10-01,43.894005847953224
2008-11-01,43.430862831858406
2008-12-01,65.9857142857143
2009-01-01,71.45986547085202
2009-02-01,56.257051282051286
2009-03-01,59.85546251993621
2009-04-01,62.253037205770696
2009-05-01,62.512781954887224
2009-06-01,63.62018867924529
2009-07-01,61.15498442367601
2009-08-01,54.39731404958678
2009-09-01,59.7652495378928
2009-10-01,60.7763157894737
2009-11-01,53.64988938053097
2009-12-01,59.11220238095238
2010-01-01,49.711210762331845
2010-02-01,48.361324786324786
2010-03-01,46.963516746411486
2010-04-01,50.854593773728176
2010-05-01,46.01635338345865
2010-06-01,47.93301886792453
2010-07-01,44.06756230529595
2010-08-01,49.62561983471075
2010-09-01,44.8239371534196
2010-10-01,45.01949317738792
2010-11-01,47.26299778761062
2010-12-01,41.24107142857143
2011-01-01,40.390358744394625
2011-02-01,40.465598290598294
2011-03-01,39.59669059011165
2011-04-01,36.82574031890661
2011-05-01,38.20225563909775
2011-06-01,39.21792452830189
2011-07-01,40.470210280373834
2011-08-01,46.76260330578513
2011-09-01,49.09288354898337
2011-10-01,46.14498050682262
2011-11-01,47.26299778761062
2011-12-01,45.36517857142857
2012-01-01,46.60426008968611
2012-02-01,46.38739316239317
2012-03-01,43.28010366826157
2012-04-01,42.963363705391046
2012-05-01,44.27988721804512
2012-06-01,47.061509433962264
2012-07-01,48.5642523364486
2012-08-01,49.62561983471075
2012-09-01,50.160120147874316
2012-10-01,49.52144249512671
2012-11-01,48.54037610619469
2012-12-01,45.36517857142857
2013-01-01,47.63991031390135
2013-02-01,47.37435897435898
2013-03-01,47.88437001594897
2013-04-01,50.854593773728176
2013-05-01,51.22575187969925
2013-06-01,47.93301886792453
2013-07-01,45.86623831775701
2013-08-01,44.85392561983471
2013-09-01,44.8239371534196
2013-10-01,41.64303118908383
2013-11-01,39.598727876106196
2013-12-01,37.11696428571429
2014-01-01,37.28340807174888
2014-02-01,38.49166666666667
2014-03-01,40.51754385964912
2014-04-01,42.086560364464695
2014-05-01,44.27988721804512
2014-06-01,46.190000000000005
2014-07-01,44.06756230529595
2014-08-01,41.03657024793389
2014-09-01,42.68946395563772
2014-10-01,43.894005847953224
2014-11-01,40.876106194690266
2014-12-01,39.86636904761905
2015-01-01,44.53295964125561
2015-02-01,42.43952991452991
2015-03-01,47.88437001594897
2015-04-01,51.73139711465452
