date,real estate listings
2004-01-01,84.49598524305557
2004-02-01,79.81680253623189
2004-03-01,86.38733159495871
2004-04-01,84.93364197530863
2004-05-01,80.14347430650295
2004-06-01,86.5118733509235
2004-07-01,83.51726726726727
2004-08-01,85.50417246175245
2004-09-01,80.94981060606061
2004-10-01,73.8795803782506
2004-11-01,79.73735408560313
2004-12-01,76.82941376959782
2005-01-01,71.1545138888889
2005-02-01,72.39198369565219
2005-03-01,70.35669274228596
2005-04-01,81.31944444444444
2005-05-01,82.93917689859026
2005-06-01,75.69788918205806
2005-07-01,72.08858858858859
2005-08-01,74.10361613351878
2005-09-01,65.42518939393939
2005-10-01,62.97931442080378
2005-11-01,63.7898832684825
2005-12-01,54.47903885480573
2006-01-01,54.255316840277786
2006-02-01,54.75803894927537
2006-03-01,51.65428074750108
2006-04-01,51.50231481481481
2006-05-01,50.322646657571624
2006-06-01,49.564094107299915
2006-07-01,56.26426426426426
2006-08-01,53.20259619842374
2006-09-01,54.33617424242424
2006-10-01,61.76817375886525
2006-11-01,61.131971465629064
2006-12-01,58.66973415132925
2007-01-01,54.255316840277786
2007-02-01,51.973731884057976
2007-03-01,52.544871794871796
2007-04-01,48.791666666666664
2007-05-01,51.25454752160073
2007-06-01,56.773416886543544
2007-07-01,50.989489489489486
2007-08-01,50.35245711636533
2007-09-01,46.57386363636363
2007-10-01,48.445626477541374
2007-11-01,47.842412451361874
2007-12-01,44.70074982958419
2008-01-01,39.13498263888889
2008-02-01,39.908401268115945
2008-03-01,40.07659713168188
2008-04-01,38.85262345679012
2008-05-01,41.00363801728058
2008-06-01,39.65127528583994
2008-07-01,39.56081081081081
2008-08-01,43.70213259156236
2008-09-01,57.66287878787879
2008-10-01,59.34589243498818
2008-11-01,59.80301556420234
2008-12-01,67.05112474437628
2009-01-01,63.1496310763889
2009-02-01,65.89526721014494
2009-03-01,69.46610169491525
2009-04-01,69.5733024691358
2009-05-01,75.48396998635744
2009-06-01,82.00604661389623
2009-07-01,85.27552552552552
