keyword,intercept,slope,r_squared,p_value,std_error,n_obs
career_change,-0.006315278464512068,0.006710477817233781,0.002992760964151762,0.3787391434154262,0.007610561566172301,261
CareerBuilder,-0.005444684727638054,-0.001620208762579393,0.00021185137474073068,0.8149626083855058,0.006916071006930717,261
work_flexibility,-0.00818868780313517,0.008283679962003139,0.007665235604069288,0.1584347195022681,0.005856521994854034,261
career_advice,-0.005332288793199778,0.0007520568158961776,5.594722703194615e-05,0.9042761278263546,0.0062474003480507915,261
LinkedIn_Jobs,-0.0026866817410526643,-0.010429493516197829,0.006679675288678952,0.18809272055323678,0.007902787818662122,261
apply_for_work,-0.022219965878742615,0.043994110943518225,0.08655828415326335,1.3131437728194499e-06,0.008880363946328263,261
Monster,-0.005323852619245343,0.0004554115816071911,2.5128389319095832e-05,0.9357629157682693,0.0056450319759088,261
Fiverr_gigs,-0.005528741584671155,0.0014333851199723807,0.0002666762018065418,0.7928789155802421,0.005453344871329516,261
SimplyHired,-0.0038607923747518754,-0.008916663413403645,0.007909360329574575,0.15193607343020918,0.006205224328588143,261
freelance,-0.005007476129366471,0.0021147438689852484,0.0002269531149624815,0.8086039055126516,0.008721486858310028,261
Glassdoor,-0.002503044174122686,-0.01965014396194681,0.022659840713532414,0.014927644232357127,0.008018816961423912,261
job_training,-0.003997917251293793,-0.011501406368139348,0.008477579539372842,0.13793882936554808,0.007728877058048009,261
ZipRecruiter,0.0004144915026821263,-0.020109097096000467,0.034933127539720395,0.002431040459049889,0.006567538967854124,261
full_time_work,-0.013145918543694912,0.025388559248804655,0.01671338838936184,0.03685839905136593,0.012100295723845028,261
job_interview_tips,-0.005873210901616213,-0.003407898597995689,0.0009860578501724407,0.6135607653130507,0.0067401778927365825,261
Fiverr,-0.009533342699260091,0.019091270956261123,0.0195308836590859,0.02394359156537056,0.00840506298280355,261
TaskRabbit,-0.004181878880002272,-0.004471443656802996,0.003027270172183809,0.3760003350202308,0.005042128729917445,261
Upwork_gigs,-0.004966614023550194,-0.0014816248550485612,0.0007650525624313977,0.656468249927353,0.003327181887853582,261
Upwork,-0.007635965802951254,0.009564307654359314,0.005140580713112012,0.24840161164127791,0.008267580312397275,261
telecommute,-0.004568893244623804,0.0030517479875468686,0.0013785602064442734,0.5503981304640353,0.005103714342968273,261
extra_income,-0.007733975323502859,0.010852062446214844,0.007996587559212856,0.14968738357064315,0.00751046171648366,261
AngelList,-0.005325355087950623,-0.00033607740149624803,9.27393269867222e-06,0.960949174224883,0.006857336237219247,261
career_development,-0.005395355211079135,-0.0027292366972181243,0.0008281416284721592,0.6435233054474253,0.00589059424733689,261
side_hustle,-0.00530806167140651,-0.0002280609962953275,2.9459840292914685e-06,0.9779843690672652,0.00825629688916173,261
Lyft_driver,-0.002704494504893652,-0.02239119142654054,0.03506291515837208,0.0023853070932515832,0.007298822618403505,261
part_time_work,-0.00921905855299227,0.014373918319014039,0.014365287243513061,0.053112590216714904,0.00739820103680393,261
online_teaching,-0.0053639846743295016,-0.002863857938718665,0.0007346518252723263,0.6629352058572583,0.006562982130723126,261
work_from_home,-0.0023811677494706587,-0.025113394109295417,0.05207304908343077,0.000200737719704384,0.006657887639719352,261
employment_benefits,-0.009791371491149375,0.046221918367599465,0.10315814642692038,1.125624469243203e-07,0.008468456342971064,261
remote_work,-0.00041657878946912454,-0.015372296856530458,0.008635817910592123,0.13430184507913134,0.010234196568362858,261
consulting_work,-0.004489643837142896,-0.003803382641761732,0.0009928092288973103,0.6123485042385595,0.00749672434960393,261
contract_work,-0.0068582995951417,0.006964574898785425,0.0015748258752758646,0.5232848606354954,0.01089647988879466,261
Indeed,0.00031246660492288,-0.03023579150785452,0.0490687697195244,0.00031046499488496845,0.008270722139336604,261
CV_template,-0.005384262980379785,0.0005292637879123993,2.663244869464405e-05,0.9338726546195351,0.006372516459613427,261
tutoring,-0.005168418404933113,-0.002219252013585103,0.0017092083798611304,0.506058025983221,0.0033326351179694346,261
LinkedIn_profile,-0.004942276026953359,-0.002341828871599434,0.00042266940244952464,0.7409615119706675,0.007076411312460814,261
resume_tips,-0.004601032539143715,0.0027657014900484772,0.0003453295238321981,0.7650903132460385,0.00924620602977181,261
We_Work_Remotely,-0.005405629276212249,0.00020128224243327875,2.3378971634036913e-06,0.9803871839576309,0.008179794073446963,261
skills_development,-0.005835862410101524,0.0021234498109741016,0.0004422503115020075,0.735248156278599,0.006272807934319234,261
Uber_driver,-0.0013992402605131835,-0.016168723312594672,0.025851389827459728,0.009267579309808947,0.006167320333592733,261
DoorDash,-0.039957793449272284,0.10260209193477347,0.2598978768083952,1.1379459907594927e-18,0.010758476927506762,261
temporary_work,-0.005068074079851632,-0.006436055429893663,0.0019990593241345465,0.4720063357515751,0.008935575482137102,261
FlexJobs,-0.005699163336340218,0.0014580271797466184,0.00014235342845763112,0.8478706717840463,0.007592780734528682,261
virtual_assistant,-0.00550941104975794,0.00291971415283249,0.0009713918180213501,0.6162121968034029,0.005818113575555224,261
Remote.co,-0.007117494526055826,0.013460766802957965,0.014649897245273531,0.05079475156563011,0.006859586110510884,261
gig_economy,-0.0023199935778724498,-0.014712623632875751,0.018688437015717426,0.027221663842792423,0.006624562636703062,261
work_at_home,-0.0052225068870348675,0.0009006268898512093,7.640311344392132e-05,0.8882347421456604,0.006402106697277295,261
Instacart,-0.01110727744616576,0.07138092444996491,0.3176390256996937,2.78763556560402e-23,0.006500884481385313,261
internship,-0.005485215819765979,-0.0035157032176578408,0.0025890499768023286,0.4130032063650504,0.004287747214060409,261
