date,cruise deals
2004-01-01,23.83468149646107
2004-02-01,27.537967289719628
2004-03-01,24.117374005305038
2004-04-01,28.818541996830426
2004-05-01,27.80504587155963
2004-06-01,29.203252032520325
2004-07-01,31.368493150684934
2004-08-01,27.760752688172044
2004-09-01,24.053571428571427
2004-10-01,25.738853503184714
2004-11-01,20.512690355329948
2004-12-01,23.370662460567825
2005-01-01,25.196663296258844
2005-02-01,25.177570093457945
2005-03-01,25.010610079575596
2005-04-01,23.481774960380346
2005-05-01,24.71559633027523
2005-06-01,23.727642276422763
2005-07-01,23.065068493150687
2005-08-01,24.13978494623656
2005-09-01,24.053571428571427
2005-10-01,21.449044585987263
2005-11-01,17.09390862944162
2005-12-01,21.246056782334385
2006-01-01,20.429726996966632
2006-02-01,19.66997663551402
2006-03-01,19.651193633952253
2006-04-01,21.347068145800314
2006-05-01,19.56651376146789
2006-06-01,22.815040650406505
2006-07-01,23.987671232876714
2006-08-01,22.932795698924732
2006-09-01,25.468487394957982
2006-10-01,30.028662420382165
2006-11-01,23.931472081218274
2006-12-01,23.370662460567825
2007-01-01,29.282608695652172
2007-02-01,27.537967289719628
2007-03-01,30.370026525198938
2007-04-01,29.88589540412044
2007-05-01,28.834862385321102
2007-06-01,29.203252032520325
2007-07-01,29.52328767123288
2007-08-01,31.381720430107528
2007-09-01,33.95798319327731
2007-10-01,34.318471337579616
2007-11-01,26.210659898477154
2007-12-01,27.6198738170347
2008-01-01,28.601617795753285
2008-02-01,29.89836448598131
2008-03-01,32.15649867374005
2008-04-01,33.08795562599049
2008-05-01,31.924311926605505
2008-06-01,31.028455284552845
2008-07-01,25.83287671232877
2008-08-01,28.967741935483872
2008-09-01,39.61764705882352
2008-10-01,40.038216560509554
2008-11-01,49.002538071065985
2008-12-01,63.738170347003155
2009-01-01,54.47927199191102
2009-02-01,61.37032710280374
2009-03-01,75.03183023872678
2009-04-01,82.18621236133121
2009-05-01,63.84862385321101
2009-06-01,76.65853658536585
2009-07-01,82.11164383561645
2009-08-01,92.93817204301075
2009-09-01,77.8203781512605
2009-10-01,78.64649681528662
2009-11-01,67.23604060913705
2009-12-01,59.48895899053628
2010-01-01,68.09908998988877
2010-02-01,62.94392523364486
2010-03-01,60.740053050397876
2010-04-01,58.704437400950866
2010-05-01,59.72935779816514
2010-06-01,52.93089430894309
2010-07-01,45.20753424657535
2010-08-01,45.865591397849464
2010-09-01,46.692226890756295
2010-10-01,44.32802547770701
2010-11-01,35.327411167512686
2010-12-01,31.869085173501578
2011-01-01,40.859453993933265
2011-02-01,42.48714953271028
2011-03-01,39.30238726790451
2011-04-01,40.5594294770206
2011-05-01,42.222477064220186
2011-06-01,39.24186991869919
2011-07-01,41.51712328767124
2011-08-01,41.03763440860215
2011-09-01,42.44747899159663
2011-10-01,42.898089171974526
2011-11-01,42.16497461928934
2011-12-01,44.616719242902214
2012-01-01,47.66936299292214
2012-02-01,42.48714953271028
2012-03-01,42.87533156498674
2012-04-01,51.232963549920754
2012-05-01,51.49082568807339
2012-06-01,45.63008130081301
2012-07-01,36.9041095890411
2012-08-01,38.623655913978496
2012-09-01,36.78781512605042
2012-10-01,30.028662420382165
2012-11-01,25.071065989847714
2012-12-01,27.6198738170347
2013-01-01,32.00657229524772
2013-02-01,29.89836448598131
2013-03-01,22.330901856763923
2013-04-01,26.68383518225039
2013-05-01,25.745412844036696
2013-06-01,24.640243902439025
2013-07-01,26.755479452054796
2013-08-01,28.967741935483872
2013-09-01,31.128151260504197
2013-10-01,28.598726114649683
2013-11-01,23.931472081218274
2013-12-01,28.68217665615142
2014-01-01,30.644590495449947
2014-02-01,26.751168224299064
2014-03-01,29.47679045092838
2014-04-01,26.68383518225039
2014-05-01,29.86467889908257
2014-06-01,29.203252032520325
2014-07-01,31.368493150684934
2014-08-01,32.58870967741936
2014-09-01,35.37289915966386
2014-10-01,31.45859872611465
2014-11-01,29.62944162436548
2014-12-01,33.99369085173502
2015-01-01,36.77350859453994
2015-02-01,33.83235981308411
2015-03-01,36.62267904509284
2015-04-01,32.020602218700475
2015-05-01,35.01376146788991
2015-06-01,31.941056910569106
2015-07-01,32.29109589041096
2015-08-01,28.967741935483872
2015-09-01,32.543067226890756
2015-10-01,31.45859872611465
2015-11-01,31.908629441624363
2015-12-01,30.80678233438486
2016-01-01,34.73053589484327
2016-02-01,59.79672897196262
2016-03-01,37.51591511936339
2016-04-01,35.22266244057052
2016-05-01,37.07339449541284
2016-06-01,28.290650406504064
2016-07-01,48.89794520547946
2016-08-01,42.24462365591398
2016-09-01,32.543067226890756
2016-10-01,31.45859872611465
2016-11-01,27.350253807106597
2016-12-01,50.99053627760253
2017-01-01,49.03134479271991
2017-02-01,28.324766355140188
2017-03-01,25.903846153846153
2017-04-01,25.616481774960377
2017-05-01,33.98394495412844
2017-06-01,45.63008130081301
2017-07-01,33.21369863013699
2017-08-01,25.346774193548388
2017-09-01,22.63865546218487
2017-10-01,31.45859872611465
2017-11-01,36.46700507614213
2017-12-01,31.869085173501578
2018-01-01,27.920626895854397
2018-02-01,25.964369158878505
2018-03-01,26.797082228116707
2018-04-01,28.818541996830426
2018-05-01,27.80504587155963
2018-06-01,31.941056910569106
2018-07-01,31.368493150684934
2018-08-01,31.381720430107528
2018-09-01,28.29831932773109
2018-10-01,28.598726114649683
2018-11-01,35.327411167512686
2018-12-01,27.6198738170347
2019-01-01,27.23963599595551
2019-02-01,29.89836448598131
2019-03-01,31.263262599469492
2019-04-01,33.08795562599049
2019-05-01,35.01376146788991
2019-06-01,34.67886178861789
2019-07-01,33.21369863013699
2019-08-01,35.00268817204301
2019-09-01,33.95798319327731
2019-10-01,34.318471337579616
2019-11-01,35.327411167512686
2019-12-01,38.2429022082019
2020-01-01,31.325581395348834
2020-02-01,26.751168224299064
2020-03-01,32.15649867374005
2020-04-01,10.673534072900157
2020-05-01,12.357798165137615
2020-06-01,10.038617886178862
2020-07-01,7.38082191780822
2020-08-01,8.448924731182796
2020-09-01,11.319327731092436
2020-10-01,11.439490445859873
2020-11-01,9.116751269035532
2020-12-01,8.498422712933754
2021-01-01,5.447927199191102
2021-02-01,6.294392523364486
2021-03-01,8.93236074270557
2021-04-01,10.673534072900157
2021-05-01,11.327981651376147
2021-06-01,10.951219512195122
2021-07-01,10.148630136986302
2021-08-01,9.655913978494624
2021-09-01,11.319327731092436
2021-10-01,14.299363057324841
2021-11-01,17.09390862944162
2021-12-01,9.560725552050474
2022-01-01,6.128918099089989
2022-02-01,11.01518691588785
2022-03-01,13.398541114058354
2022-04-01,14.94294770206022
2022-05-01,14.417431192660551
2022-06-01,13.689024390243903
2022-07-01,17.529452054794522
2022-08-01,18.10483870967742
2022-09-01,19.80882352941176
2022-10-01,21.449044585987263
2022-11-01,31.908629441624363
2022-12-01,23.370662460567825
2023-01-01,21.791708796764407
2023-02-01,23.603971962616825
2023-03-01,26.797082228116707
2023-04-01,25.616481774960377
2023-05-01,24.71559633027523
2023-06-01,23.727642276422763
2023-07-01,23.065068493150687
2023-08-01,19.311827956989248
2023-09-01,21.223739495798316
2023-10-01,21.449044585987263
2023-11-01,35.327411167512686
2023-12-01,19.12145110410095
2024-01-01,18.38675429726997
2024-02-01,16.522780373831775
2024-03-01,16.97148541114058
2024-04-01,18.145007923930265
2024-05-01,18.53669724770642
2024-06-01,20.077235772357724
2024-07-01,18.45205479452055
2024-08-01,19.311827956989248
2024-09-01,19.80882352941176
2024-10-01,18.589171974522294
2024-11-01,25.071065989847714
2024-12-01,22.308359621451107
2025-01-01,13.619817997977755
2025-02-01,15.735981308411215
2025-03-01,16.078249336870027
2025-04-01,16.010301109350237
2025-05-01,17.506880733944953
2025-06-01,18.2520325203252
2025-07-01,20.297260273972604
2025-08-01,20.518817204301076
2025-09-01,22.63865546218487
2025-10-01,21.449044585987263
2025-11-01,28.48984771573604
2025-12-01,25.495268138801265
