date,tourist attractions
2004-01-01,65.38249400479616
2004-02-01,70.30606657906263
2004-03-01,74.71888125238641
2004-04-01,70.36
2004-05-01,69.20837267862764
2004-06-01,51.58643204957946
2004-07-01,48.791902738432476
2004-08-01,43.70031232254401
2004-09-01,60.78964527908189
2004-10-01,61.17078825347759
2004-11-01,68.37356792144026
2004-12-01,62.21703452178834
2005-01-01,55.891486810551555
2005-02-01,60.675098554533506
2005-03-01,61.28627338678886
2005-04-01,59.470952380952376
2005-05-01,60.90336795719232
2005-06-01,48.66644532979194
2005-07-01,41.52502360717658
2005-08-01,41.203151618398635
2005-09-01,47.025952008346366
2005-10-01,54.37403400309119
2005-11-01,57.57774140752864
2005-12-01,47.284946236559136
2006-01-01,49.56414868105515
2006-02-01,52.9703241349102
2006-03-01,52.05135547919053
2006-04-01,50.25714285714285
2006-05-01,50.522112055398175
2006-06-01,39.90648517042939
2006-07-01,34.25814447592067
2006-08-01,36.20883021010789
2006-09-01,42.43805425143453
2006-10-01,45.31169500257599
2006-11-01,45.58237861429351
2006-12-01,43.55192416525184
2007-01-01,41.127697841726615
2007-02-01,39.48696890056942
2007-03-01,43.65597556319206
2007-04-01,41.88095238095238
2007-05-01,41.525023607176585
2007-06-01,38.93315626383355
2007-07-01,37.372521246458916
2007-08-01,36.20883021010789
2007-09-01,37.850156494522686
2007-10-01,43.04611025244719
2007-11-01,43.18330605564648
2007-12-01,37.330220713073004
2008-01-01,35.85491606714628
2008-02-01,35.63458169075777
2008-03-01,38.61874761359298
2008-04-01,35.18
2008-05-01,33.91210261252754
2008-06-01,29.199867197875164
2008-07-01,26.991265344664775
2008-08-01,29.96592844974446
2008-09-01,34.409233176838804
2008-10-01,37.38214837712519
2008-11-01,40.784233496999455
2008-12-01,41.06324278438031
2009-01-01,37.96402877697841
2009-02-01,40.45006570302233
2009-03-01,40.29782359679267
2009-04-01,41.88095238095238
2009-05-01,43.60127478753541
2009-06-01,47.6931164231961
2009-07-01,49.83002832861189
2009-08-01,48.69463373083475
2009-09-01,47.025952008346366
2009-10-01,47.57727975270479
2009-11-01,51.580060010911076
2009-12-01,51.01796830786644
2010-01-01,48.509592326139085
2010-02-01,46.22864651773981
2010-03-01,50.37227949599084
2010-04-01,51.0947619047619
2010-05-01,48.445860875039344
2010-06-01,48.66644532979194
2010-07-01,40.48689801699716
2010-08-01,37.45741056218058
2010-09-01,36.703182055294725
2010-10-01,35.116563626996395
2010-11-01,37.18562465902892
2010-12-01,34.84153933220147
2011-01-01,34.80035971223021
2011-02-01,35.63458169075777
2011-03-01,36.10013363879344
2011-04-01,36.01761904761905
2011-05-01,37.37252124645892
2011-06-01,41.85314298362107
2011-07-01,41.52502360717658
2011-08-01,41.203151618398635
2011-09-01,35.556207616066764
2011-10-01,33.98377125193199
2011-11-01,32.38747954173486
2011-12-01,33.5971986417657
2012-01-01,33.745803357314145
2012-02-01,34.67148488830486
2012-03-01,31.9024436807942
2012-04-01,35.18
2012-05-01,36.68043751967265
2012-06-01,36.013169544046036
2012-07-01,36.334395656279504
2012-08-01,33.71166950596252
2012-09-01,32.11528429838288
2012-10-01,31.718186501803196
2012-11-01,28.78887070376432
2012-12-01,28.619835880022634
2013-01-01,30.582134292565943
2013-02-01,28.89290407358738
2013-03-01,28.54429171439481
2013-04-01,30.99190476190476
2013-05-01,31.835851432168713
2013-06-01,33.09318282425852
2013-07-01,31.143767705382434
2013-08-01,34.960249858035205
2013-09-01,33.26225873761084
2013-10-01,32.85097887686759
2013-11-01,32.38747954173486
2013-12-01,32.35285795132994
2014-01-01,30.582134292565943
2014-02-01,29.856000876040294
2014-03-01,28.54429171439481
2014-04-01,30.99190476190476
2014-05-01,33.91210261252754
2014-06-01,35.0398406374502
2014-07-01,35.29627006610009
2014-08-01,36.20883021010789
2014-09-01,30.968309859154925
2014-10-01,30.585394126738795
2014-11-01,27.589334424440807
2014-12-01,28.619835880022634
2015-01-01,30.582134292565943
2015-02-01,28.89290407358738
2015-03-01,31.062905689194352
2015-04-01,30.99190476190476
2015-05-01,31.143767705382437
2015-06-01,32.11985391766268
2015-07-01,34.25814447592067
2015-08-01,34.960249858035205
2015-09-01,34.409233176838804
2015-10-01,32.85097887686759
2015-11-01,31.18794326241135
2015-12-01,31.10851726089417
2016-01-01,29.527577937649877
2016-02-01,28.89290407358738
2016-03-01,30.223367697594504
2016-04-01,29.316666666666666
2016-05-01,29.06751652502361
2016-06-01,32.11985391766268
2016-07-01,34.25814447592067
2016-08-01,33.71166950596252
2016-09-01,30.968309859154925
2016-10-01,30.585394126738795
2016-11-01,31.18794326241135
