date,hotel deals
2004-01-01,55.37476503759398
2004-02-01,49.51555555555556
2004-03-01,46.247797356828194
2004-04-01,48.206250000000004
2004-05-01,47.98103290676417
2004-06-01,48.23163507109005
2004-07-01,50.49401740391589
2004-08-01,48.73420387531593
2004-09-01,50.372257053291534
2004-10-01,49.46086711711712
2004-11-01,47.58399772209568
2004-12-01,49.79733560090703
2005-01-01,51.347509398496236
2005-02-01,53.32444444444445
2005-03-01,47.191629955947135
2005-04-01,40.7075
2005-05-01,46.02262340036563
2005-06-01,44.000789889415486
2005-07-01,47.3866932559826
2005-08-01,47.83171861836563
2005-09-01,43.655956112852664
2005-10-01,42.22269144144144
2005-11-01,40.26338268792711
2005-12-01,42.50992063492064
2006-01-01,44.29981203007518
2006-02-01,40.94555555555556
2006-03-01,39.640969162995596
2006-04-01,39.636250000000004
2006-05-01,37.209780621572214
2006-06-01,42.30845181674566
2006-07-01,39.61838288614939
2006-08-01,41.514321819713565
2006-09-01,42.53657262277952
2006-10-01,45.84177927927928
2006-11-01,45.14379271070616
2006-12-01,40.08078231292517
2007-01-01,48.327067669172926
2007-02-01,43.80222222222223
2007-03-01,45.30396475770925
2007-04-01,47.135000000000005
2007-05-01,47.0018281535649
2007-06-01,44.8469589257504
2007-07-01,48.163524292965924
2007-08-01,46.929233361415335
2007-09-01,43.655956112852664
2007-10-01,47.04814189189189
2007-11-01,40.26338268792711
2007-12-01,42.50992063492064
2008-01-01,45.30662593984962
2008-02-01,45.70666666666667
2008-03-01,44.360132158590304
2008-04-01,46.06375
2008-05-01,47.98103290676417
2008-06-01,44.8469589257504
2008-07-01,44.279369108049316
2008-08-01,51.44165964616681
2008-09-01,44.77533960292581
2008-10-01,49.46086711711712
2008-11-01,51.24430523917996
2008-12-01,60.728458049886626
2009-01-01,63.429276315789465
2009-02-01,62.84666666666667
2009-03-01,66.06828193832598
2009-04-01,68.56
2009-05-01,68.54433272394881
2009-06-01,79.53988941548184
2009-07-01,77.68310369833213
2009-08-01,76.71124684077506
2009-09-01,70.52115987460814
2009-10-01,65.14358108108108
2009-11-01,63.44533029612757
2009-12-01,65.58673469387756
2010-01-01,69.47015977443608
2010-02-01,63.7988888888889
2010-03-01,67.01211453744493
2010-04-01,61.06125
2010-05-01,65.606718464351
2010-06-01,66.84735387045814
2010-07-01,62.92331399564903
2010-08-01,66.78390901432182
2010-09-01,64.92424242424242
2010-10-01,55.49268018018018
2010-11-01,51.24430523917996
2010-12-01,55.87018140589569
2011-01-01,61.41564849624059
2011-02-01,65.70333333333333
2011-03-01,67.95594713656388
2011-04-01,72.845
2011-05-01,72.46115173674589
2011-06-01,73.61670616113744
2011-07-01,73.0221174764322
2011-08-01,71.29633529907329
2011-09-01,67.16300940438872
2011-10-01,66.34994369369369
2011-11-01,64.66543280182233
2011-12-01,68.01587301587301
2012-01-01,68.46334586466165
2012-02-01,67.60777777777778
2012-03-01,66.06828193832598
2012-04-01,68.56
2012-05-01,68.54433272394881
2012-06-01,64.3088467614534
2012-07-01,68.36113125453228
2012-08-01,69.4913647851727
2012-09-01,62.68547544409613
2012-10-01,61.52449324324324
2012-11-01,58.56492027334853
2012-12-01,59.51388888888889
2013-01-01,62.42246240601503
2013-02-01,62.84666666666667
2013-03-01,66.06828193832598
2013-04-01,65.34625
2013-05-01,68.54433272394881
2013-06-01,70.23203001579779
2013-07-01,66.03063814358231
2013-08-01,67.68639427127212
2013-09-01,61.56609195402299
2013-10-01,63.937218468468465
2013-11-01,58.56492027334853
2013-12-01,63.15759637188209
2014-01-01,63.429276315789465
2014-02-01,66.65555555555557
2014-03-01,63.23678414096916
2014-04-01,63.20375
2014-05-01,69.52353747714808
2014-06-01,67.69352290679305
2014-07-01,67.58430021754896
2014-08-01,68.5888795282224
2014-09-01,57.088557993730404
2014-10-01,55.49268018018018
2014-11-01,57.344817767653765
2014-12-01,63.15759637188209
2015-01-01,55.37476503759398
2015-02-01,57.13333333333334
2015-03-01,62.292951541850215
2015-04-01,58.91875
2015-05-01,57.77308043875686
2015-06-01,59.23183254344392
2015-07-01,63.70014503263235
2015-08-01,60.46651221566976
2015-09-01,60.44670846394984
2015-10-01,55.49268018018018
2015-11-01,54.90461275626424
2015-12-01,54.65561224489796
2016-01-01,64.4360902255639
2016-02-01,66.65555555555557
2016-03-01,67.95594713656388
2016-04-01,66.4175
2016-05-01,59.731489945155396
2016-06-01,55.84715639810427
2016-07-01,57.48549673676578
2016-08-01,56.85657118786858
2016-09-01,68.28239289446185
2016-10-01,74.79448198198197
2016-11-01,65.88553530751709
2016-12-01,58.29931972789116
2017-01-01,54.367951127819545
2017-02-01,58.08555555555556
2017-03-01,54.742290748898675
2017-04-01,57.847500000000004
2017-05-01,54.835466179159056
2017-06-01,55.84715639810427
2017-07-01,54.37817258883249
2017-08-01,48.73420387531593
2017-09-01,54.84979101358412
2017-10-01,60.31813063063063
2017-11-01,57.344817767653765
2017-12-01,48.5827664399093
2018-01-01,41.27937030075187
2018-02-01,44.754444444444445
2018-03-01,47.191629955947135
2018-04-01,48.206250000000004
2018-05-01,43.08500914076783
2018-06-01,43.15462085308057
2018-07-01,43.502538071066
2018-08-01,41.514321819713565
2018-09-01,42.53657262277952
2018-10-01,39.80996621621622
2018-11-01,47.58399772209568
2018-12-01,46.15362811791383
2019-01-01,39.265742481203006
2019-02-01,40.94555555555556
2019-03-01,43.41629955947136
2019-04-01,44.9925
2019-05-01,43.08500914076783
2019-06-01,42.30845181674566
2019-07-01,41.17204496011603
2019-08-01,42.41680707666386
2019-09-01,47.0141065830721
2019-10-01,45.84177927927928
2019-11-01,52.46440774487472
2019-12-01,64.37216553287982
