date,safari tour
2004-01-01,0.0
2004-02-01,64.19198895027624
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,48.525419545903254
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,35.56282722513089
2004-09-01,0.0
2004-10-01,35.44921875
2004-11-01,40.9440445026178
2004-12-01,34.28406084656085
2005-01-01,46.526937046004846
2005-02-01,26.664364640883978
2005-03-01,35.8274647887324
2005-04-01,0.0
2005-05-01,46.76085883514314
2005-06-01,28.21410386965377
2005-07-01,33.63575268817204
2005-08-01,30.88350785340314
2005-09-01,29.526683608640408
2005-10-01,21.484375
2005-11-01,49.13285340314136
2005-12-01,0.0
2006-01-01,34.624697336561745
2006-02-01,58.26657458563536
2006-03-01,46.47887323943662
2006-04-01,44.37788683602771
2006-05-01,30.87981243830207
2006-06-01,28.21410386965377
2006-07-01,37.640008960573475
2006-08-01,25.26832460732984
2006-09-01,32.93360864040661
2006-10-01,30.078125
2006-11-01,22.226767015706805
2006-12-01,29.555224867724867
2007-01-01,40.03480629539952
2007-02-01,21.726519337016576
2007-03-01,35.8274647887324
2007-04-01,21.672921478060047
2007-05-01,42.34945705824284
2007-06-01,30.034368635437886
2007-07-01,31.23319892473118
2007-08-01,38.37041884816754
2007-09-01,32.93360864040661
2007-10-01,31.15234375
2007-11-01,30.415575916230367
2007-12-01,37.83068783068783
2008-01-01,35.7067191283293
2008-02-01,26.664364640883978
2008-03-01,24.20774647887324
2008-04-01,44.37788683602771
2008-05-01,30.87981243830207
2008-06-01,30.034368635437886
2008-07-01,37.640008960573475
2008-08-01,28.07591623036649
2008-09-01,28.391041931385008
2008-10-01,24.70703125
2008-11-01,25.736256544502616
2008-12-01,30.73743386243386
2009-01-01,33.54267554479419
2009-02-01,34.56491712707182
2009-03-01,32.92253521126761
2009-04-01,37.15357967667437
2009-05-01,21.17472852912142
2009-06-01,32.764765784114054
2009-07-01,28.83064516129032
2009-08-01,33.69109947643979
2009-09-01,29.526683608640408
2009-10-01,27.9296875
2009-11-01,36.26472513089005
2009-12-01,34.28406084656085
2010-01-01,41.11682808716707
2010-02-01,32.58977900552486
2010-03-01,34.859154929577464
2010-04-01,39.217667436489606
2010-05-01,30.87981243830207
2010-06-01,36.40529531568228
2010-07-01,31.23319892473118
2010-08-01,25.26832460732984
2010-09-01,31.79796696315121
2010-10-01,25.78125
2010-11-01,38.60438481675393
2010-12-01,34.28406084656085
2011-01-01,37.87076271186441
2011-02-01,32.58977900552486
2011-03-01,31.954225352112676
2011-04-01,40.24971131639723
2011-05-01,33.52665350444225
2011-06-01,30.94450101832994
2011-07-01,33.63575268817204
2011-08-01,33.69109947643979
2011-09-01,28.391041931385008
2011-10-01,27.9296875
2011-11-01,31.585405759162303
2011-12-01,28.373015873015873
2012-01-01,34.624697336561745
2012-02-01,33.57734806629834
2012-03-01,35.8274647887324
2012-04-01,30.961316397228636
2012-05-01,28.232971372161895
2012-06-01,33.67489816700611
2012-07-01,30.432347670250895
2012-08-01,32.75523560209424
2012-09-01,32.93360864040661
2012-10-01,32.2265625
2012-11-01,28.07591623036649
2012-12-01,27.190806878306876
2013-01-01,35.7067191283293
2013-02-01,31.602209944751383
2013-03-01,33.890845070422536
2013-04-01,37.15357967667437
2013-05-01,34.40893385982231
2013-06-01,37.31542769857434
2013-07-01,35.23745519713262
2013-08-01,35.56282722513089
2013-09-01,32.93360864040661
2013-10-01,36.5234375
2013-11-01,37.43455497382199
2013-12-01,44.9239417989418
2014-01-01,38.95278450363196
2014-02-01,31.602209944751383
2014-03-01,35.8274647887324
2014-04-01,44.37788683602771
2014-05-01,33.52665350444225
2014-06-01,40.045824847250515
2014-07-01,40.04256272401434
2014-08-01,35.56282722513089
2014-09-01,38.61181702668361
2014-10-01,32.2265625
2014-11-01,36.26472513089005
2014-12-01,41.37731481481481
2015-01-01,36.788740920096856
2015-02-01,32.58977900552486
2015-03-01,43.57394366197183
2015-04-01,39.217667436489606
2015-05-01,39.702615992102665
2015-06-01,45.50661914460286
2015-07-01,44.046818996415766
2015-08-01,38.37041884816754
2015-09-01,47.696950444726816
2015-10-01,36.5234375
2015-11-01,36.26472513089005
2015-12-01,42.55952380952381
2016-01-01,43.28087167070218
2016-02-01,39.50276243093923
2016-03-01,45.510563380281695
2016-04-01,49.53810623556582
2016-05-01,40.584896347482726
2016-06-01,45.50661914460286
2016-07-01,46.44937275985663
2016-08-01,44.92146596858639
2016-09-01,47.696950444726816
2016-10-01,45.1171875
2016-11-01,45.62336387434555
2016-12-01,47.288359788359784
2017-01-01,47.6089588377724
2017-02-01,45.428176795580114
2017-03-01,47.44718309859155
2017-04-01,55.730369515011546
2017-05-01,49.407699901283316
2017-06-01,50.9674134419552
2017-07-01,53.65703405017921
2017-08-01,51.47251308900523
2017-09-01,46.56130876747142
2017-10-01,53.7109375
2017-11-01,44.45353403141361
2017-12-01,44.9239417989418
2018-01-01,50.85502421307506
2018-02-01,45.428176795580114
2018-03-01,56.16197183098592
2018-04-01,54.69832563510393
2018-05-01,53.819101678183614
2018-06-01,61.88900203665988
2018-07-01,57.66129032258064
2018-08-01,53.34424083769633
2018-09-01,59.053367217280815
2018-10-01,48.33984375
2018-11-01,46.79319371727749
2018-12-01,42.55952380952381
2019-01-01,48.69098062953995
2019-02-01,46.415745856353595
2019-03-01,48.41549295774648
2019-04-01,49.53810623556582
2019-05-01,53.819101678183614
2019-06-01,56.42820773930754
2019-07-01,56.05958781362007
2019-08-01,51.47251308900523
2019-09-01,52.239517153748416
2019-10-01,49.4140625
2019-11-01,45.62336387434555
2019-12-01,59.110449735449734
2020-01-01,50.85502421307506
2020-02-01,46.415745856353595
2020-03-01,31.954225352112676
2020-04-01,23.737009237875288
2020-05-01,26.468410661401776
2020-06-01,30.94450101832994
2020-07-01,31.23319892473118
2020-08-01,33.69109947643979
2020-09-01,43.15438373570521
2020-10-01,32.2265625
2020-11-01,24.56642670157068
2020-12-01,23.644179894179892
2021-01-01,27.050544794188863
2021-02-01,27.65193370165746
2021-03-01,38.732394366197184
2021-04-01,42.31379907621247
2021-05-01,37.93805528134255
2021-06-01,41.866089613034625
2021-07-01,39.241711469534046
2021-08-01,36.49869109947644
2021-09-01,39.74745870393901
2021-10-01,44.04296875
2021-11-01,39.77421465968586
2021-12-01,33.10185185185185
2022-01-01,42.198849878934624
2022-02-01,51.353591160221
2022-03-01,53.25704225352113
2022-04-01,56.76241339491917
2022-05-01,47.6431391905232
2022-06-01,52.78767820773931
2022-07-01,48.0510752688172
2022-08-01,50.53664921465968
2022-09-01,49.968233799237616
2022-10-01,48.33984375
2022-11-01,49.13285340314136
2022-12-01,44.9239417989418
2023-01-01,49.77300242130751
2023-02-01,49.37845303867404
2023-03-01,52.2887323943662
2023-04-01,55.730369515011546
2023-05-01,51.17226061204344
2023-06-01,58.248472505091655
2023-07-01,51.25448028673835
2023-08-01,53.34424083769633
2023-09-01,47.696950444726816
2023-10-01,47.265625
2023-11-01,46.79319371727749
2023-12-01,54.38161375661375
2024-01-01,62.75726392251816
2024-02-01,63.204419889502766
2024-03-01,73.59154929577466
2024-04-01,63.986720554272516
2024-05-01,54.701382033563675
2024-06-01,57.3383401221996
2024-07-01,46.44937275985663
2024-08-01,55.21596858638743
2024-09-01,65.86721728081322
2024-10-01,61.23046875
2024-11-01,52.64234293193717
2024-12-01,57.92824074074074
2025-01-01,55.183111380145284
2025-02-01,52.34116022099448
2025-03-01,55.19366197183099
2025-04-01,62.9546766743649
2025-05-01,57.34822309970385
2025-06-01,64.61939918533605
2025-07-01,80.08512544802868
2025-08-01,70.18979057591623
2025-09-01,76.08799237611183
2025-10-01,102.05078125
2025-11-01,85.39757853403141
2025-12-01,100.48776455026454
