date,travel vlog
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.0
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,0.0
2011-02-01,0.0
2011-03-01,0.0
2011-04-01,0.0
2011-05-01,0.0
2011-06-01,0.0
2011-07-01,0.0
2011-08-01,0.0
2011-09-01,0.0
2011-10-01,0.0
2011-11-01,0.0
2011-12-01,0.0
2012-01-01,0.0
2012-02-01,0.0
2012-03-01,0.0
2012-04-01,0.0
2012-05-01,0.0
2012-06-01,0.0
2012-07-01,0.0
2012-08-01,0.0
2012-09-01,0.0
2012-10-01,0.0
2012-11-01,0.0
2012-12-01,0.0
2013-01-01,0.0
2013-02-01,0.0
2013-03-01,0.0
2013-04-01,0.0
2013-05-01,0.0
2013-06-01,0.0
2013-07-01,0.0
2013-08-01,0.0
2013-09-01,0.0
2013-10-01,0.0
2013-11-01,0.0
2013-12-01,0.0
2014-01-01,0.0
2014-02-01,0.0
2014-03-01,0.0
2014-04-01,0.0
2014-05-01,0.0
2014-06-01,0.0
2014-07-01,0.0
2014-08-01,0.0
2014-09-01,0.0
2014-10-01,0.0
2014-11-01,0.0
2014-12-01,0.0
2015-01-01,0.0
2015-02-01,0.0
2015-03-01,0.0
2015-04-01,0.0
2015-05-01,0.0
2015-06-01,0.0
2015-07-01,0.0
2015-08-01,0.0
2015-09-01,0.0
2015-10-01,0.0
2015-11-01,5.439490445859872
2015-12-01,0.0
2016-01-01,3.5882352941176467
2016-02-01,3.4715447154471546
2016-03-01,3.162962962962963
2016-04-01,8.302777777777777
2016-05-01,6.62015503875969
2016-06-01,8.434567901234567
2016-07-01,5.016152716593245
2016-08-01,4.908045977011494
2016-09-01,7.693693693693692
2016-10-01,6.354166666666666
2016-11-01,6.346072186836517
2016-12-01,4.37948717948718
2017-01-01,9.568627450980392
2017-02-01,11.57181571815718
2017-03-01,12.651851851851852
2017-04-01,10.675
2017-05-01,12.136950904392766
2017-06-01,7.380246913580247
2017-07-01,7.524229074889868
2017-08-01,8.83448275862069
2017-09-01,8.975975975975976
2017-10-01,10.166666666666666
2017-11-01,9.9723991507431
2017-12-01,7.2991452991453
2018-01-01,15.549019607843137
2018-02-01,10.414634146341463
2018-03-01,13.706172839506172
2018-04-01,15.419444444444444
2018-05-01,15.447028423772611
2018-06-01,12.651851851851852
2018-07-01,11.286343612334802
2018-08-01,10.797701149425288
2018-09-01,11.540540540540539
2018-10-01,13.979166666666666
2018-11-01,8.159235668789808
2018-12-01,8.75897435897436
2019-01-01,15.549019607843137
2019-02-01,13.886178861788618
2019-03-01,17.923456790123456
2019-04-01,17.791666666666668
2019-05-01,16.550387596899224
2019-06-01,15.814814814814813
2019-07-01,8.778267254038179
2019-08-01,11.779310344827586
2019-09-01,16.669669669669666
2019-10-01,12.708333333333332
2019-11-01,11.78556263269639
2019-12-01,8.75897435897436
2020-01-01,20.333333333333332
2020-02-01,18.51490514905149
2020-03-01,11.59753086419753
2020-04-01,10.675
2020-05-01,13.24031007751938
2020-06-01,9.488888888888889
2020-07-01,8.151248164464024
2020-08-01,9.816091954022989
2020-09-01,11.540540540540539
2020-10-01,11.4375
2020-11-01,9.065817409766453
2020-12-01,7.2991452991453
2021-01-01,11.96078431372549
2021-02-01,12.728997289972899
2021-03-01,11.59753086419753
2021-04-01,11.86111111111111
2021-05-01,13.24031007751938
2021-06-01,12.651851851851852
2021-07-01,8.778267254038179
2021-08-01,12.760919540229885
2021-09-01,14.105105105105103
2021-10-01,13.979166666666666
2021-11-01,9.065817409766453
2021-12-01,5.83931623931624
2022-01-01,14.352941176470587
2022-02-01,17.35772357723577
2022-03-01,12.651851851851852
2022-04-01,16.605555555555554
2022-05-01,15.447028423772611
2022-06-01,14.760493827160493
2022-07-01,9.405286343612335
2022-08-01,14.724137931034482
2022-09-01,15.387387387387385
2022-10-01,15.25
2022-11-01,11.78556263269639
2022-12-01,9.48888888888889
2023-01-01,15.549019607843137
2023-02-01,17.35772357723577
2023-03-01,14.760493827160493
2023-04-01,15.419444444444444
2023-05-01,14.343669250645995
2023-06-01,16.869135802469135
2023-07-01,10.03230543318649
2023-08-01,12.760919540229885
2023-09-01,14.105105105105103
2023-10-01,15.25
2023-11-01,11.78556263269639
2023-12-01,12.40854700854701
2024-01-01,17.941176470588236
2024-02-01,17.35772357723577
2024-03-01,25.303703703703704
2024-04-01,17.791666666666668
2024-05-01,16.550387596899224
2024-06-01,15.814814814814813
2024-07-01,10.659324522760645
2024-08-01,18.650574712643678
2024-09-01,16.669669669669666
2024-10-01,15.25
2024-11-01,9.9723991507431
2024-12-01,11.67863247863248
2025-01-01,17.941176470588236
2025-02-01,19.67208672086721
2025-03-01,18.977777777777778
2025-04-01,17.791666666666668
2025-05-01,18.757105943152457
2025-06-01,28.466666666666665
2025-07-01,62.70190895741556
2025-08-01,37.301149425287356
2025-09-01,25.645645645645644
2025-10-01,27.958333333333332
2025-11-01,48.95541401273885
2025-12-01,66.42222222222223
