date,theme park tickets
2004-01-01,59.63692010309279
2004-02-01,54.96352380952382
2004-03-01,42.776914075560015
2004-04-01,51.59225195094761
2004-05-01,57.808397683397686
2004-06-01,54.10602250957855
2004-07-01,57.72212722298222
2004-08-01,62.677233676975945
2004-09-01,40.83375
2004-10-01,33.32749026154703
2004-11-01,32.85474137931035
2004-12-01,54.05886524822696
2005-01-01,54.959514604811005
2005-02-01,64.29695238095239
2005-03-01,61.890003343363425
2005-04-01,56.65031586770718
2005-05-01,52.553088803088805
2005-06-01,58.01730124521073
2005-07-01,50.89477884176927
2005-08-01,48.64501718213059
2005-09-01,42.346111111111114
2005-10-01,45.44657762938231
2005-11-01,48.49985632183908
2005-12-01,46.336170212765964
2006-01-01,52.62081185567011
2006-02-01,57.03761904761906
2006-03-01,55.51897358742895
2006-04-01,59.68515421776292
2006-05-01,56.05662805662806
2006-06-01,59.3210608237548
2006-07-01,50.27411080711355
2006-08-01,49.580498281786944
2006-09-01,52.932638888888896
2006-10-01,51.50612131329995
2006-11-01,46.93534482758621
2006-12-01,51.484633569739955
2007-01-01,63.14497422680413
2007-02-01,58.07466666666667
2007-03-01,60.979856235372786
2007-04-01,52.60386473429953
2007-05-01,65.691361003861
2007-06-01,64.53609913793105
2007-07-01,62.066803465572285
2007-08-01,64.54819587628866
2007-09-01,57.46972222222223
2007-10-01,53.02100723427936
2007-11-01,54.75790229885058
2007-12-01,57.92021276595745
2008-01-01,59.63692010309279
2008-02-01,50.81533333333334
2008-03-01,60.979856235372786
2008-04-01,54.627090301003356
2008-05-01,53.42897361647362
2008-06-01,52.80226293103449
2008-07-01,56.48079115367078
2008-08-01,53.32242268041237
2008-09-01,45.37083333333334
2008-10-01,40.90191986644408
2008-11-01,35.98376436781609
2008-12-01,45.04905437352246
2009-01-01,43.26600085910653
2009-02-01,47.70419047619048
2009-03-01,50.05809093948512
2009-04-01,49.569026384243784
2009-05-01,48.17366473616474
2009-06-01,46.28346503831418
2009-07-01,48.412106703146385
2009-08-01,41.16116838487972
2009-09-01,46.88319444444445
2009-10-01,39.387033945464665
2009-11-01,40.677298850574715
2009-12-01,37.32635933806147
2010-01-01,39.757946735395194
2010-02-01,46.66714285714286
2010-03-01,49.14794383149448
2010-04-01,43.4993496841323
2010-05-01,49.92543436293436
