date,wedding locations
2004-01-01,75.29850746268657
2004-02-01,75.57684824902724
2004-03-01,72.76442307692308
2004-04-01,69.17659279778394
2004-05-01,64.7220394736842
2004-06-01,82.19716646989374
2004-07-01,78.91946697566628
2004-08-01,81.55451127819549
2004-09-01,78.67715458276335
2004-10-01,68.99779411764706
2004-11-01,74.62759515570934
2004-12-01,87.31730769230768
2005-01-01,73.03955223880597
2005-02-01,76.55836575875486
2005-03-01,70.68543956043956
2005-04-01,76.51350415512465
2005-05-01,76.67072368421053
2005-06-01,75.0495867768595
2005-07-01,73.65816917728853
2005-08-01,77.76127819548873
2005-09-01,71.43057455540357
2005-10-01,80.12647058823529
2005-11-01,79.86461937716264
2005-12-01,72.13168896321069
2006-01-01,70.02761194029851
2006-02-01,64.78015564202335
2006-03-01,66.52747252747253
2006-04-01,64.98407202216066
2006-05-01,67.70921052631579
2006-06-01,71.47579693034238
2006-07-01,68.39687137891077
2006-08-01,68.2781954887218
2006-09-01,66.25444596443229
2006-10-01,75.675
2006-11-01,72.0090830449827
2006-12-01,70.86622073578594
2007-01-01,68.52164179104479
2007-02-01,66.7431906614786
2007-03-01,64.44848901098901
2007-04-01,69.17659279778394
2007-05-01,69.70065789473684
2007-06-01,68.79545454545455
2007-07-01,73.65816917728853
2007-08-01,71.12312030075188
2007-09-01,67.28967168262655
2007-10-01,71.2235294117647
2007-11-01,69.39057093425606
2007-12-01,64.5388795986622
2008-01-01,67.01567164179104
2008-02-01,63.798638132295714
2008-03-01,64.44848901098901
2008-04-01,60.791551246537395
2008-05-01,70.69638157894737
2008-06-01,68.79545454545455
2008-07-01,65.7662224797219
2008-08-01,62.588345864661655
2008-09-01,71.43057455540357
2008-10-01,70.11066176470588
2008-11-01,68.08131487889274
2008-12-01,74.6626254180602
2009-01-01,64.75671641791045
2009-02-01,67.72470817120622
2009-03-01,65.48798076923077
2009-04-01,63.93594182825485
2009-05-01,63.72631578947368
2009-06-01,67.90200708382527
2009-07-01,67.5199884125145
2009-08-01,70.17481203007519
2009-09-01,71.43057455540357
2009-10-01,66.7720588235294
2009-11-01,72.0090830449827
2009-12-01,67.0698160535117
2010-01-01,64.00373134328359
2010-02-01,60.854085603112836
2010-03-01,67.56696428571428
2010-04-01,63.93594182825485
2010-05-01,56.756249999999994
2010-06-01,55.39374262101535
2010-07-01,53.489860950173814
2010-08-01,53.10526315789474
2010-09-01,48.65560875512997
2010-10-01,47.85330882352941
2010-11-01,45.82396193771627
2010-12-01,44.29138795986622
2011-01-01,47.43805970149254
2011-02-01,48.0943579766537
2011-03-01,48.856112637362635
2011-04-01,50.310249307479225
2011-05-01,46.799013157894734
2011-06-01,43.77892561983471
2011-07-01,41.21349942062572
2011-08-01,47.41541353383459
2011-09-01,44.51470588235295
2011-10-01,44.51470588235294
2011-11-01,43.20544982698962
2011-12-01,43.025919732441466
2012-01-01,38.40223880597015
2012-02-01,39.260700389105054
2012-03-01,35.34271978021978
2012-04-01,37.732686980609415
2012-05-01,37.8375
2012-06-01,36.63134592680047
2012-07-01,35.952201622247976
2012-08-01,35.087406015037594
2012-09-01,35.197674418604656
2012-10-01,33.3860294117647
2012-11-01,34.04065743944637
2012-12-01,31.636705685618725
2013-01-01,30.872388059701493
2013-02-01,28.464007782101167
2013-03-01,29.10576923076923
2013-04-01,30.395775623268698
2013-05-01,28.875986842105263
2013-06-01,28.590318772136953
2013-07-01,28.060254924681345
2013-08-01,28.44924812030075
2013-09-01,28.986320109439127
2013-10-01,26.708823529411763
2013-11-01,27.49437716262976
2013-12-01,26.57483277591973
2014-01-01,24.095522388059702
2014-02-01,22.57490272373541
2014-03-01,24.947802197802197
2014-04-01,24.106994459833796
2014-05-01,25.888815789473682
2014-06-01,24.123081463990555
2014-07-01,24.552723059096177
2014-08-01,21.81109022556391
2014-09-01,23.810191518467857
2014-10-01,22.25735294117647
2014-11-01,20.94809688581315
2014-12-01,21.512959866220733
2015-01-01,19.577611940298507
2015-02-01,17.667315175097276
2015-03-01,20.789835164835164
2015-04-01,19.914473684210527
2015-05-01,19.914473684210524
2015-06-01,19.655844155844157
2015-07-01,20.168308227114718
2015-08-01,18.966165413533837
2015-09-01,20.704514363885092
2015-10-01,18.91875
2015-11-01,18.329584775086506
2015-12-01,18.982023411371237
2016-01-01,18.071641791044776
2016-02-01,20.611867704280154
2016-03-01,21.829326923076923
2016-04-01,20.962603878116344
2016-05-01,20.910197368421052
2016-06-01,16.975501770956317
2016-07-01,19.291425260718427
2016-08-01,18.017857142857142
2016-09-01,19.669288645690838
2016-10-01,18.91875
2016-11-01,18.329584775086506
2016-12-01,17.716555183946486
2017-01-01,17.318656716417912
2017-02-01,17.667315175097276
2017-03-01,18.71085164835165
2017-04-01,17.81821329639889
2017-05-01,16.927302631578947
2017-06-01,16.975501770956317
2017-07-01,16.66077636152955
2017-08-01,16.12124060150376
2017-09-01,17.598837209302328
2017-10-01,18.91875
2017-11-01,18.329584775086506
2017-12-01,20.247491638795985
