date,Disney tickets
2004-01-01,45.49281006590773
2004-02-01,48.06872327428223
2004-03-01,46.04457246816252
2004-04-01,52.777736131934034
2004-05-01,54.56114839671886
2004-06-01,46.68357487922705
2004-07-01,51.525704225352115
2004-08-01,51.75370531822145
2004-09-01,42.61599625818521
2004-10-01,45.18432385874246
2004-11-01,45.064092356687894
2004-12-01,44.283821478382144
2005-01-01,54.591372079089275
2005-02-01,48.912034208918755
2005-03-01,46.88174651303821
2005-04-01,47.60344827586207
2005-05-01,51.47278150633855
2005-06-01,52.39993098688751
2005-07-01,48.609154929577464
2005-08-01,45.73583260680035
2005-09-01,38.741814780168376
2005-10-01,38.04995693367786
2005-11-01,42.86584394904458
2005-12-01,41.39574616457461
2006-01-01,45.49281006590773
2006-02-01,45.53879047037263
2006-03-01,50.23044269254093
2006-04-01,50.70802098950525
2006-05-01,47.354958985831466
2006-06-01,46.68357487922705
2006-07-01,49.581338028169014
2006-08-01,54.16085440278989
2006-09-01,46.49017773620206
2006-10-01,51.129629629629626
2006-11-01,51.65883757961783
2006-12-01,52.94804741980474
2007-01-01,57.89994008388257
2007-02-01,56.50183262064753
2007-03-01,58.60218314129776
2007-04-01,63.12631184407796
2007-05-01,60.73788217747949
2007-06-01,63.83264320220842
2007-07-01,57.35880281690141
2007-08-01,58.97515257192676
2007-09-01,58.11272217025257
2007-10-01,55.88587424633936
2007-11-01,51.65883757961783
2007-12-01,51.98535564853556
2008-01-01,48.80137807070102
2008-02-01,50.598656078191816
2008-03-01,51.067616737416614
2008-04-01,55.882308845577214
2008-05-01,55.59060402684563
2008-06-01,51.4472049689441
2008-07-01,51.525704225352115
2008-08-01,66.19659982563208
2008-09-01,55.52993451824134
2008-10-01,54.696813092161925
2008-11-01,62.65007961783439
2008-12-01,58.7241980474198
2009-01-01,59.55422408627921
2009-02-01,61.56169822846671
2009-03-01,67.81109763493026
2009-04-01,62.09145427286357
2009-05-01,60.73788217747949
2009-06-01,71.4544513457557
2009-07-01,62.219718309859154
2009-08-01,63.78945074106364
2009-09-01,65.86108512628624
2009-10-01,60.64211886304909
2009-11-01,54.956210191082796
2009-12-01,70.27649930264992
2010-01-01,72.78849610545237
2010-02-01,70.83811850946854
2010-03-01,76.18283808368709
2010-04-01,60.02173913043478
2010-05-01,63.8262490678598
2010-06-01,62.87991718426501
2010-07-01,58.33098591549296
