date,Disney Cruise
2004-01-01,29.767660488853075
2004-02-01,29.12840136054422
2004-03-01,28.520877565463554
2004-04-01,30.096312319736302
2004-05-01,31.09567901234568
2004-06-01,29.656414941128705
2004-07-01,29.21109240553685
2004-08-01,36.17003916449086
2004-09-01,36.0485918744229
2004-10-01,29.330422125181954
2004-11-01,30.552523047064533
2004-12-01,27.010723860589817
2005-01-01,31.797273704002148
2005-02-01,29.98511904761905
2005-03-01,29.41215498938429
2005-04-01,31.13411619283066
2005-05-01,30.02341421881652
2005-06-01,29.656414941128705
2005-07-01,27.32650579872802
2005-08-01,29.5936684073107
2005-09-01,25.582871652816248
2005-10-01,28.108321203299372
2005-11-01,25.664119359534208
2005-12-01,23.63438337801609
2006-01-01,27.06150953532098
2006-02-01,24.844812925170068
2006-03-01,30.303432413305025
2006-04-01,28.020704573547594
2006-05-01,25.734355044699875
2006-06-01,26.58850994721884
2006-07-01,29.21109240553685
2006-08-01,27.401544821583983
2006-09-01,31.397160664819943
2006-10-01,31.774623968947115
2006-11-01,31.774623968947115
2006-12-01,27.010723860589817
2007-01-01,29.767660488853075
2007-02-01,30.841836734693878
2007-03-01,30.303432413305025
2007-04-01,33.20972393901937
2007-05-01,33.240208599404
2007-06-01,32.72431993503857
2007-07-01,30.153385708941265
2007-08-01,31.78579199303742
2007-09-01,37.211449676823634
2007-10-01,31.774623968947115
2007-11-01,30.552523047064533
2007-12-01,30.387064343163544
2008-01-01,29.767660488853075
2008-02-01,29.98511904761905
2008-03-01,31.194709837225762
2008-04-01,29.058508446641948
2008-05-01,31.09567901234568
2008-06-01,30.67904993909866
2008-07-01,29.21109240553685
2008-08-01,29.5936684073107
2008-09-01,26.74572945521699
2008-10-01,28.108321203299372
2008-11-01,29.330422125181954
2008-12-01,28.136170688114394
2009-01-01,29.091122750470053
2009-02-01,29.12840136054422
2009-03-01,29.41215498938429
2009-04-01,30.096312319736302
2009-05-01,30.02341421881652
2009-06-01,28.63377994315875
2009-07-01,31.09567901234568
2009-08-01,29.5936684073107
2009-09-01,34.88573407202216
2009-10-01,31.774623968947115
2009-11-01,35.44092673459486
2009-12-01,31.51251117068812
2010-01-01,35.17996239591727
2010-02-01,31.69855442176871
2010-03-01,33.86854210898797
2010-04-01,32.171920065925015
2010-05-01,35.38473818646233
2010-06-01,30.67904993909866
2010-07-01,28.268799102132437
2010-08-01,28.497606614447342
2010-09-01,26.74572945521699
2010-10-01,31.774623968947115
2010-11-01,35.44092673459486
2010-12-01,30.387064343163544
2011-01-01,67.65377383830244
2011-02-01,59.9702380952381
2011-03-01,55.25920028308563
2011-04-01,53.96580140090647
2011-05-01,48.25191570881226
2011-06-01,43.97330491270808
2011-07-01,41.46090534979424
2011-08-01,39.45822454308094
2011-09-01,39.53716528162511
2011-10-01,41.55143134400777
2011-11-01,42.773532265890346
2011-12-01,40.51608579088472
2012-01-01,51.41686811710986
2012-02-01,49.689625850340136
2012-03-01,49.91153573956122
2012-04-01,53.96580140090647
2012-05-01,51.46871008939975
2012-06-01,50.109114900527814
2012-07-01,50.88383838383839
2012-08-01,49.322780678851174
2012-09-01,46.51431209602954
2012-10-01,48.88403687530325
2012-11-01,42.773532265890346
2012-12-01,47.26876675603218
2013-01-01,57.50570776255708
2013-02-01,56.54336734693878
2013-03-01,43.672593772116066
2013-04-01,45.663370416151636
2013-05-01,49.32418050234142
2013-06-01,47.04120990661795
2013-07-01,45.230078563411894
2013-08-01,47.130657093124455
2013-09-01,45.351454293628805
2013-10-01,43.99563318777293
2013-11-01,45.21773410965551
2013-12-01,50.64510723860591
2014-01-01,51.41686811710986
2014-02-01,45.406037414965986
2014-03-01,49.91153573956122
2014-04-01,45.663370416151636
2014-05-01,43.96285653469562
2014-06-01,42.95066991473813
2014-07-01,45.230078563411894
2014-08-01,42.74640992167102
2014-09-01,41.86288088642659
2014-10-01,43.99563318777293
2014-11-01,41.55143134400777
2014-12-01,42.76697944593388
2015-01-01,44.651490733279616
2015-02-01,47.11947278911565
2015-03-01,48.12898089171975
2015-04-01,47.738978162340345
2015-05-01,51.46871008939975
2015-06-01,46.01857490864799
2015-07-01,45.230078563411894
2015-08-01,48.226718885987815
2015-09-01,46.51431209602954
2015-10-01,48.88403687530325
2015-11-01,45.21773410965551
2015-12-01,46.1433199285076
2016-01-01,44.651490733279616
2016-02-01,44.54931972789116
2016-03-01,39.21620665251238
2016-04-01,44.625566543057275
2016-05-01,43.96285653469562
2016-06-01,39.88276492082826
2016-07-01,38.634025439580995
2016-08-01,46.034595300261095
2016-09-01,40.70002308402585
2016-10-01,45.21773410965551
2016-11-01,37.885128578360025
2016-12-01,40.51608579088472
2017-01-01,41.94533977974751
2017-02-01,49.689625850340136
2017-03-01,40.107484076433124
2017-04-01,39.4365471775855
2017-05-01,43.96285653469562
2017-06-01,41.92803491676817
2017-07-01,41.46090534979424
2017-08-01,41.65034812880766
2017-09-01,38.37430747922437
2017-10-01,42.773532265890346
2017-11-01,37.885128578360025
2017-12-01,41.6415326184093
2018-01-01,39.915726564598444
2018-02-01,36.83886054421769
2018-03-01,40.99876150035386
2018-04-01,41.51215492377421
2018-05-01,39.67379736057897
2018-06-01,40.90539991879822
2018-07-01,47.114665170220725
2018-08-01,46.034595300261095
2018-09-01,43.025738688827325
2018-10-01,45.21773410965551
2018-11-01,37.885128578360025
2018-12-01,40.51608579088472
2019-01-01,37.20957561106634
2019-02-01,35.98214285714286
2019-03-01,37.433651804670916
2019-04-01,37.36093943139679
2019-05-01,37.52926777352065
2019-06-01,41.92803491676817
2019-07-01,40.518612046389826
2019-08-01,41.65034812880766
2019-09-01,40.70002308402585
2019-10-01,40.32933042212518
2019-11-01,37.885128578360025
2019-12-01,41.6415326184093
2020-01-01,35.8565001343003
2020-02-01,35.12542517006803
2020-03-01,32.0859872611465
2020-04-01,16.604861969509685
2020-05-01,16.08397190293742
2020-06-01,13.29425497360942
2020-07-01,10.36522633744856
2020-08-01,10.960617928633594
2020-09-01,10.465720221606647
2020-10-01,10.998908296943233
2020-11-01,8.554706453178069
2020-12-01,10.12902144772118
2021-01-01,8.794990598979318
2021-02-01,10.28061224489796
2021-03-01,15.151716206652512
2021-04-01,18.680469715698393
2021-05-01,23.58982545764155
2021-06-01,22.49796995533902
2021-07-01,27.32650579872802
2021-08-01,28.497606614447342
2021-09-01,24.420013850415508
2021-10-01,28.108321203299372
2021-11-01,35.44092673459486
2021-12-01,27.010723860589817
2022-01-01,19.61959441310771
2022-02-01,29.98511904761905
2022-03-01,35.65109695682944
2022-04-01,38.39874330449115
2022-05-01,37.52926777352065
2022-06-01,41.92803491676817
2022-07-01,49.94154508043397
2022-08-01,48.226718885987815
2022-09-01,59.30574792243767
2022-10-01,48.88403687530325
2022-11-01,51.328238719068416
2022-12-01,51.77055406613048
2023-01-01,45.32802847166264
2023-02-01,45.406037414965986
2023-03-01,49.02025831564048
2023-04-01,49.814585908529054
2023-05-01,47.1796509152831
2023-06-01,47.04120990661795
2023-07-01,42.40319865319865
2023-08-01,40.5542863359443
2023-09-01,45.351454293628805
2023-10-01,48.88403687530325
2023-11-01,45.21773410965551
2023-12-01,46.1433199285076
2024-01-01,38.56265108783239
2024-02-01,39.409013605442176
2024-03-01,42.78131634819533
2024-04-01,42.549958796868566
2024-05-01,39.67379736057897
2024-06-01,44.99593991067804
2024-07-01,38.634025439580995
2024-08-01,41.65034812880766
2024-09-01,43.025738688827325
2024-10-01,41.55143134400777
2024-11-01,51.328238719068416
2024-12-01,55.14689454870421
2025-01-01,42.62187751813054
2025-02-01,47.97619047619048
2025-03-01,47.23770346779901
2025-04-01,49.814585908529054
2025-05-01,49.32418050234142
2025-06-01,66.4712748680471
2025-07-01,70.67199775533109
2025-08-01,54.803089643167965
2025-09-01,55.81717451523545
2025-10-01,47.661935953420674
2025-11-01,59.88294517224649
2025-12-01,59.64868185880251
