date,ski vacation
2004-01-01,42.51666666666666
2004-02-01,42.02228682170542
2004-03-01,42.215130023640654
2004-04-01,29.73193473193473
2004-05-01,35.890692640692635
2004-06-01,39.990924092409244
2004-07-01,49.3367463026166
2004-08-01,44.072154471544714
2004-09-01,58.21352893235533
2004-10-01,53.14583333333333
2004-11-01,55.908766564729866
2004-12-01,54.438753734528376
2005-01-01,50.81260162601625
2005-02-01,46.96608527131782
2005-03-01,45.230496453900706
2005-04-01,35.67832167832168
2005-05-01,33.12987012987013
2005-06-01,42.0957095709571
2005-07-01,39.179180887372006
2005-08-01,42.77591463414634
2005-09-01,43.6601466992665
2005-10-01,57.23397435897436
2005-11-01,53.308358817533126
2005-12-01,53.34997865983781
2006-01-01,43.03516260162601
2006-02-01,41.19832041343669
2006-03-01,37.69208037825059
2006-04-01,32.705128205128204
2006-05-01,33.12987012987013
2006-06-01,33.67656765676568
2006-07-01,42.08134243458475
2006-08-01,47.96087398373984
2006-09-01,46.778728606356964
2006-10-01,47.422435897435896
2006-11-01,40.30632008154944
2006-12-01,40.82906530089628
2007-01-01,38.36869918699187
2007-02-01,34.60658914728682
2007-03-01,34.67671394799054
2007-04-01,35.67832167832168
2007-05-01,41.41233766233766
2007-06-01,33.67656765676568
2007-07-01,30.472696245733783
2007-08-01,37.59095528455284
2007-09-01,36.383455582722085
2007-10-01,40.881410256410255
2007-11-01,37.055810397553515
2007-12-01,35.92957746478873
2008-01-01,36.81321138211382
2008-02-01,30.486757105943152
2008-03-01,31.661347517730494
2008-04-01,29.73193473193473
2008-05-01,27.608225108225106
2008-06-01,25.257425742574256
2008-07-01,29.021615472127415
2008-08-01,27.22103658536585
2008-09-01,28.06723716381418
2008-10-01,28.61698717948718
2008-11-01,29.904689092762485
2008-12-01,31.030089628681175
2009-01-01,27.480284552845525
2009-02-01,26.36692506459948
2009-03-01,24.122931442080375
2009-04-01,23.785547785547784
2009-05-01,22.086580086580085
2009-06-01,21.04785478547855
2009-07-01,23.21729237770193
2009-08-01,25.924796747967477
2009-09-01,27.027709861450692
2009-10-01,31.8875
2009-11-01,30.55479102956167
2009-12-01,27.219376867264188
2010-01-01,24.887804878048776
2010-02-01,29.662790697674417
2010-03-01,24.122931442080375
2010-04-01,20.812354312354312
2010-05-01,22.086580086580085
2010-06-01,21.04785478547855
2010-07-01,17.412969283276446
2010-08-01,18.147357723577233
2010-09-01,19.751018744906276
2010-10-01,17.170192307692307
2010-11-01,20.803261977573904
2010-12-01,19.597951344430214
2011-01-01,21.25833333333333
2011-02-01,20.599160206718345
2011-03-01,19.599881796690305
2011-04-01,20.812354312354312
2011-05-01,19.325757575757574
2011-06-01,18.943069306930692
2011-07-01,20.31513083048919
2011-08-01,19.443597560975608
2011-09-01,19.751018744906276
2011-10-01,17.987820512820512
2011-11-01,18.85295616717635
2011-12-01,17.42040119504908
2012-01-01,15.036382113821137
2012-02-01,14.831395348837209
2012-03-01,15.076832151300234
2012-04-01,17.83916083916084
2012-05-01,16.564935064935064
2012-06-01,16.83828382838284
2012-07-01,15.961888509670077
2012-08-01,15.554878048780488
2012-09-01,15.592909535452321
2012-10-01,13.082051282051282
2012-11-01,13.652140672782874
2012-12-01,15.242851045667946
2013-01-01,15.554878048780486
2013-02-01,14.831395348837209
2013-03-01,16.584515366430256
2013-04-01,11.892773892773892
2013-05-01,11.043290043290042
2013-06-01,14.733498349834983
2013-07-01,14.510807736063708
2013-08-01,14.258638211382113
2013-09-01,13.513854930725346
2013-10-01,13.899679487179487
2013-11-01,15.602446483180428
2013-12-01,15.242851045667946
2014-01-01,13.480894308943087
2014-02-01,14.007428940568474
2014-03-01,13.569148936170212
2014-04-01,14.865967365967364
2014-05-01,11.043290043290042
2014-06-01,12.628712871287128
2014-07-01,13.059726962457336
