date,mountain vacation
2004-01-01,60.00603621730383
2004-02-01,58.18640873015873
2004-03-01,59.646
2004-04-01,52.00822122571002
2004-05-01,57.86734068627451
2004-06-01,59.79908565928778
2004-07-01,76.63428923835956
2004-08-01,59.10452627541235
2004-09-01,62.565734265734264
2004-10-01,61.71585482330468
2004-11-01,66.4632282712512
2004-12-01,57.94624352331606
2005-01-01,61.67287055667338
2005-02-01,64.10367063492063
2005-03-01,62.959666666666664
2005-04-01,66.8677130044843
2005-05-01,61.928206699346404
2005-06-01,64.5830125120308
2005-07-01,59.00840271353686
2005-08-01,62.91772151898734
2005-09-01,60.24848484848484
2005-10-01,62.902698185291314
2005-11-01,70.02375835721108
2005-12-01,68.67702936096718
2006-01-01,67.50679074446681
2006-02-01,53.25535714285714
2006-03-01,65.16877777777778
2006-04-01,56.961385151968116
2006-05-01,60.91299019607843
2006-06-01,59.00176451716394
2006-07-01,62.840117175454836
2006-08-01,65.77761795166859
2006-09-01,57.93123543123543
2006-10-01,62.902698185291314
2006-11-01,52.22110792741166
2006-12-01,55.80008635578584
2007-01-01,53.33869885982563
2007-02-01,55.22777777777778
2007-03-01,59.646
2007-04-01,58.19967613353264
2007-05-01,61.928206699346404
2007-06-01,57.40712223291627
2007-07-01,56.70937403638607
2007-08-01,61.011123897199845
2007-09-01,63.72435897435897
2007-10-01,59.342168099331424
2007-11-01,55.78163801337154
2007-12-01,56.873164939550946
2008-01-01,51.671864520456076
2008-02-01,55.22777777777778
2008-03-01,50.809555555555555
2008-04-01,60.676258096661684
2008-05-01,47.71517565359477
2008-06-01,51.028553095925574
2008-07-01,53.64400246685169
2008-08-01,53.38473341004986
2008-09-01,52.13811188811189
2008-10-01,46.28689111747851
2008-11-01,55.78163801337154
2008-12-01,52.5808506044905
2009-01-01,45.837944332662644
2009-02-01,47.33809523809524
2009-03-01,48.60044444444444
2009-04-01,45.8167663178874
2009-05-01,46.6999591503268
2009-06-01,48.63658966955406
2009-07-01,46.74691643539933
2009-08-01,46.711641733793634
2009-09-01,46.344988344988344
2009-10-01,51.034264565425026
2009-11-01,52.22110792741166
2009-12-01,51.50777202072538
2010-01-01,48.338195841716974
2010-02-01,50.29672619047619
2010-03-01,44.18222222222222
2010-04-01,40.8636023916293
2010-05-01,43.654309640522875
2010-06-01,43.85266281681104
2010-07-01,40.616173296330565
2010-08-01,38.1319524357499
2010-09-01,39.39324009324009
2010-10-01,39.16583094555874
2010-11-01,37.97898758357211
2010-12-01,38.63082901554404
2011-01-01,41.67085848423877
2011-02-01,43.39325396825397
2011-03-01,37.55488888888889
2011-04-01,39.625311410064775
2011-05-01,41.62387663398693
2011-06-01,42.258020532563364
2011-07-01,38.31714461917978
2011-08-01,38.1319524357499
2011-09-01,35.91736596736597
2011-10-01,37.97898758357211
2011-11-01,37.97898758357211
2011-12-01,37.55775043177893
2012-01-01,38.33718980549967
2012-02-01,37.475992063492065
2012-03-01,36.45033333333333
2012-04-01,37.148729446935725
2012-05-01,36.54779411764706
2012-06-01,35.879451395572666
2012-07-01,32.95274437249461
2012-08-01,34.318757192174914
2012-09-01,35.91736596736597
2012-10-01,34.41845749761223
2012-11-01,34.41845749761223
2012-12-01,35.4115932642487
2013-01-01,36.67035546613012
