date,Airbnb
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,0.0
2008-02-01,0.0
2008-03-01,0.0
2008-04-01,0.0
2008-05-01,0.0
2008-06-01,0.0
2008-07-01,0.0
2008-08-01,0.0
2008-09-01,0.0
2008-10-01,0.0
2008-11-01,0.0
2008-12-01,0.0
2009-01-01,0.0
2009-02-01,0.0
2009-03-01,0.0
2009-04-01,0.0
2009-05-01,0.0
2009-06-01,0.0
2009-07-01,0.0
2009-08-01,0.0
2009-09-01,0.0
2009-10-01,0.0
2009-11-01,0.0
2009-12-01,0.0
2010-01-01,0.0
2010-02-01,0.0
2010-03-01,0.0
2010-04-01,0.0
2010-05-01,0.0
2010-06-01,0.0
2010-07-01,0.8070276497695853
2010-08-01,0.0
2010-09-01,0.0
2010-10-01,0.0
2010-11-01,0.0
2010-12-01,0.0
2011-01-01,1.0050215208034432
2011-02-01,1.0035816618911175
2011-03-01,0.999286733238231
2011-04-01,1.0424107142857142
2011-05-01,0.9073834196891191
2011-06-01,1.646298472385429
2011-07-01,1.6140552995391706
2011-08-01,2.790836653386454
2011-09-01,2.206299212598425
2011-10-01,2.31953642384106
2011-11-01,2.5152603231597848
2011-12-01,2.342809364548495
2012-01-01,2.0100430416068864
2012-02-01,2.007163323782235
2012-03-01,2.997860199714693
2012-04-01,3.1272321428571423
2012-05-01,3.6295336787564763
2012-06-01,3.292596944770858
2012-07-01,4.035138248847926
2012-08-01,4.651394422310757
2012-09-01,4.41259842519685
2012-10-01,4.63907284768212
2012-11-01,5.0305206463195695
2012-12-01,4.68561872909699
2013-01-01,5.025107604017216
2013-02-01,5.017908309455588
2013-03-01,6.9950071326676175
2013-04-01,6.254464285714285
2013-05-01,7.2590673575129525
2013-06-01,6.585193889541716
2013-07-01,7.263248847926268
2013-08-01,8.372509960159363
2013-09-01,8.8251968503937
2013-10-01,9.27814569536424
2013-11-01,10.061041292639139
2013-12-01,8.199832775919733
2014-01-01,11.055236728837876
2014-02-01,10.035816618911175
2014-03-01,11.991440798858772
2014-04-01,15.636160714285714
2014-05-01,13.610751295336787
2014-06-01,13.170387779083432
2014-07-01,17.754608294930875
2014-08-01,17.675298804780876
2014-09-01,16.54724409448819
2014-10-01,18.55629139072848
2014-11-01,17.60682226211849
2014-12-01,17.571070234113712
2015-01-01,17.085365853658534
2015-02-01,18.064469914040117
2015-03-01,19.98573466476462
2015-04-01,23.975446428571427
2015-05-01,25.406735751295333
2015-06-01,26.340775558166865
2015-07-01,26.631912442396313
2015-08-01,30.699203187250994
2015-09-01,28.681889763779527
2015-10-01,27.83443708609272
2015-11-01,30.183123877917417
2015-12-01,28.113712374581937
2016-01-01,28.14060258249641
2016-02-01,31.111031518624642
2016-03-01,31.977175463623393
2016-04-01,33.357142857142854
2016-05-01,37.20272020725388
2016-06-01,40.334312573443015
2016-07-01,34.70218894009217
2016-08-01,37.211155378486055
2016-09-01,36.40393700787401
2016-10-01,38.272350993377486
2016-11-01,40.244165170556556
2016-12-01,37.48494983277592
2017-01-01,43.21592539454806
2017-02-01,46.164756446991404
2017-03-01,47.96576319543509
2017-04-01,50.03571428571428
2017-05-01,47.18393782383419
2017-06-01,46.096357226792016
2017-07-01,49.228686635944705
2017-08-01,51.16533864541832
2017-09-01,49.64173228346456
2017-10-01,48.71026490066226
2017-11-01,54.07809694793537
2017-12-01,52.71321070234114
2018-01-01,60.301291248206596
2018-02-01,57.2041547277937
2018-03-01,57.9586305278174
2018-04-01,59.41741071428571
2018-05-01,53.53562176165803
2018-06-01,55.15099882491187
2018-07-01,56.49193548387097
2018-08-01,56.74701195219123
2018-09-01,56.26062992125984
2018-10-01,55.66887417218544
2018-11-01,54.07809694793537
2018-12-01,53.88461538461538
2019-01-01,62.31133428981348
2019-02-01,62.222063037249285
2019-03-01,60.95649072753209
2019-04-01,61.50223214285714
2019-05-01,62.60945595854921
2019-06-01,66.67508813160988
2019-07-01,64.56221198156682
2019-08-01,66.9800796812749
2019-09-01,65.08582677165354
2019-10-01,69.5860927152318
2019-11-01,61.623877917414724
2019-12-01,62.08444816053511
2020-01-01,78.39167862266856
2020-02-01,70.25071633237823
2020-03-01,48.965049928673324
2020-04-01,31.272321428571427
2020-05-01,60.794689119170975
2020-06-01,70.79083431257345
2020-07-01,66.17626728110599
2020-08-01,71.63147410358566
2020-09-01,67.29212598425197
2020-10-01,64.94701986754967
2020-11-01,55.33572710951526
2020-12-01,78.48411371237458
2021-01-01,68.34146341463413
2021-02-01,71.25429799426935
2021-03-01,84.93937232524964
2021-04-01,83.39285714285714
2021-05-01,73.49805699481864
2021-06-01,70.79083431257345
2021-07-01,66.17626728110599
2021-08-01,56.74701195219123
2021-09-01,67.29212598425197
2021-10-01,66.1067880794702
2021-11-01,70.42728904847397
2021-12-01,70.28428093645485
2022-01-01,87.43687230989956
2022-02-01,89.31876790830945
2022-03-01,90.93509272467902
2022-04-01,95.90178571428571
2022-05-01,83.47927461139895
2022-06-01,78.19917743830788
2022-07-01,80.70276497695853
2022-08-01,80.00398406374502
2022-09-01,79.4267716535433
2022-10-01,77.70447019867551
2022-11-01,77.97307001795333
2022-12-01,73.79849498327759
2023-01-01,83.41678622668579
2023-02-01,83.29727793696276
2023-03-01,82.94079885877318
2023-04-01,82.35044642857142
2023-05-01,78.94235751295336
2023-06-01,79.84547591069331
2023-07-01,78.28168202764978
2023-08-01,76.2828685258964
2023-09-01,79.4267716535433
2023-10-01,78.86423841059603
2023-11-01,80.48833034111311
2023-12-01,74.96989966555184
2024-01-01,78.39167862266856
2024-02-01,83.29727793696276
2024-03-01,79.94293865905848
2024-04-01,80.26562499999999
2024-05-01,79.84974093264248
2024-06-01,72.43713278495888
2024-07-01,73.43951612903226
2024-08-01,71.63147410358566
2024-09-01,72.80787401574803
2024-10-01,70.74586092715232
2024-11-01,69.16965888689408
2024-12-01,66.7700668896321
2025-01-01,74.3715925394548
2025-02-01,70.25071633237823
2025-03-01,70.9493580599144
2025-04-01,72.96875
2025-05-01,72.59067357512953
2025-06-01,69.14453584018801
2025-07-01,72.63248847926268
2025-08-01,67.91035856573704
2025-09-01,66.18897637795276
2025-10-01,67.26655629139074
2025-11-01,71.68491921005386
2025-12-01,69.1128762541806
