date,travel blog
2004-01-01,0.0
2004-02-01,3.972916666666667
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,3.3194081810269798
2004-07-01,4.149260226283725
2004-08-01,5.140161725067386
2004-09-01,6.088761174968072
2004-10-01,6.705344585091421
2004-11-01,0.0
2004-12-01,6.2565616797900265
2005-01-01,7.9707419017763845
2005-02-01,5.9593750000000005
2005-03-01,7.99022346368715
2005-04-01,11.317507418397627
2005-05-01,9.159462055715657
2005-06-01,9.95822454308094
2005-07-01,9.95822454308094
2005-08-01,8.566936208445643
2005-09-01,10.959770114942529
2005-10-01,10.728551336146273
2005-11-01,15.631147540983605
2005-12-01,13.76443569553806
2006-01-01,11.956112852664576
2006-02-01,12.911979166666667
2006-03-01,12.429236499068901
2006-04-01,12.26063303659743
2006-05-01,15.571085494716618
2006-06-01,10.788076588337685
2006-07-01,13.277632724107919
2006-08-01,12.850404312668463
2006-09-01,13.395274584929757
2006-10-01,14.751758087201125
2006-11-01,15.631147540983605
2006-12-01,13.76443569553806
2007-01-01,14.945141065830722
2007-02-01,14.8984375
2007-03-01,12.429236499068901
2007-04-01,14.146884272997033
2007-05-01,14.655139289145053
2007-06-01,14.937336814621409
2007-07-01,14.937336814621409
2007-08-01,15.420485175202156
2007-09-01,19.48403575989783
2007-10-01,18.77496483825598
2007-11-01,19.538934426229506
2007-12-01,17.518372703412076
2008-01-01,16.937826541274816
2008-02-01,15.891666666666667
2008-03-01,17.756052141527
2008-04-01,15.090009891196836
2008-05-01,16.487031700288185
2008-06-01,15.767188859878154
2008-07-01,15.767188859878154
2008-08-01,13.707097933513028
2008-09-01,18.266283524904214
2008-10-01,20.116033755274263
2008-11-01,16.933743169398905
2008-12-01,18.76968503937008
2009-01-01,17.934169278996865
2009-02-01,16.884895833333335
2009-03-01,15.9804469273743
2009-04-01,15.090009891196836
2009-05-01,16.487031700288185
2009-06-01,16.5970409051349
2009-07-01,15.767188859878154
2009-08-01,16.27717879604672
2009-09-01,18.266283524904214
2009-10-01,20.116033755274263
2009-11-01,19.538934426229506
2009-12-01,17.518372703412076
2010-01-01,19.92685475444096
2010-02-01,15.891666666666667
2010-03-01,15.092644320297952
2010-04-01,15.090009891196836
2010-05-01,16.487031700288185
2010-06-01,14.937336814621409
2010-07-01,13.277632724107919
2010-08-01,12.850404312668463
2010-09-01,17.0485312899106
2010-10-01,17.433895921237692
2010-11-01,15.631147540983605
2010-12-01,15.015748031496065
2011-01-01,14.945141065830722
2011-02-01,14.8984375
2011-03-01,12.429236499068901
2011-04-01,14.146884272997033
2011-05-01,13.739193083573488
2011-06-01,14.107484769364664
2011-07-01,14.107484769364664
2011-08-01,11.9937106918239
2011-09-01,15.830779054916986
2011-10-01,17.433895921237692
2011-11-01,14.328551912568305
2011-12-01,15.015748031496065
2012-01-01,14.945141065830722
2012-02-01,13.905208333333334
2012-03-01,13.31703910614525
2012-04-01,13.20375865479723
2012-05-01,12.823246878001921
2012-06-01,12.447780678851174
2012-07-01,11.61792863359443
2012-08-01,11.9937106918239
2012-09-01,15.830779054916986
2012-10-01,14.751758087201125
2012-11-01,13.025956284153004
2012-12-01,12.513123359580053
2013-01-01,12.952455590386625
2013-02-01,11.918750000000001
2013-03-01,11.54143389199255
2013-04-01,12.26063303659743
2013-05-01,12.823246878001921
2013-06-01,11.61792863359443
2013-07-01,11.61792863359443
2013-08-01,11.137017070979335
