date,Mediterranean cruise
2004-01-01,36.11801506316812
2004-02-01,32.812553925798106
2004-03-01,34.984077380952385
2004-04-01,30.354299122010296
2004-05-01,38.91277056277056
2004-06-01,31.240210843373493
2004-07-01,40.53327586206897
2004-08-01,44.98113453031486
2004-09-01,28.389826642335763
2004-10-01,39.90037338764427
2004-11-01,43.6621699196326
2004-12-01,32.782093362509116
2005-01-01,44.51755344995141
2005-02-01,55.68190969226345
2005-03-01,39.099851190476194
2005-04-01,50.24159854677566
2005-05-01,37.915007215007215
2005-06-01,32.107994477911646
2005-07-01,50.070517241379314
2005-08-01,39.583398386677075
2005-09-01,38.90457725060827
2005-10-01,45.76807535641549
2005-11-01,37.04668962877918
2005-12-01,42.868891320204234
2006-01-01,51.23718415937803
2006-02-01,46.73303134886397
2006-03-01,44.24456845238095
2006-04-01,51.288298516500156
2006-05-01,40.90829725829726
2006-06-01,39.05026355421686
2006-07-01,41.3280459770115
2006-08-01,31.486794171220403
2006-09-01,32.595726885644766
2006-10-01,36.37975220638154
2006-11-01,39.69288174512055
2006-12-01,39.08634208606856
2007-01-01,44.51755344995141
2007-02-01,33.80687374173138
2007-03-01,49.38928571428572
2007-04-01,53.38169845594914
2007-05-01,51.88369408369408
2007-06-01,47.72809989959839
2007-07-01,46.09666666666667
2007-08-01,49.47924798334635
2007-09-01,44.16195255474452
2007-10-01,39.90037338764427
2007-11-01,41.015977803291236
2007-12-01,44.12974106491612
2008-01-01,49.55727648202138
2008-02-01,44.74439171699741
2008-03-01,43.215625
2008-04-01,46.05479866787769
2008-05-01,40.90829725829726
2008-06-01,41.653614457831324
2008-07-01,41.3280459770115
2008-08-01,47.68000260213375
2008-09-01,44.16195255474452
2008-10-01,49.28869653767821
2008-11-01,38.36978568694987
2008-12-01,40.34719183078045
2009-01-01,41.157738095238095
2009-02-01,41.761432269197584
2009-03-01,45.273511904761904
2009-04-01,46.05479866787769
2009-05-01,45.897113997114
2009-06-01,55.53815261044176
2009-07-01,48.480977011494254
2009-08-01,50.37887067395264
2009-09-01,48.367852798053526
2009-10-01,55.156398506449435
2009-11-01,59.539322617680824
