date,destination wedding
2004-01-01,11.489635157545605
2004-02-01,9.025075987841944
2004-03-01,8.486602357984994
2004-04-01,7.775813692480359
2004-05-01,8.121025641025641
2004-06-01,10.787465940054494
2004-07-01,10.828774617067834
2004-08-01,13.234479465138492
2004-09-01,14.524633123689728
2004-10-01,13.746527777777777
2004-11-01,16.81928104575163
2004-12-01,12.640485312899106
2005-01-01,12.310323383084578
2005-02-01,14.039007092198581
2005-03-01,12.729903536977492
2005-04-01,12.219135802469136
2005-05-01,16.242051282051282
2005-06-01,15.2822434150772
2005-07-01,14.438366156090446
2005-08-01,14.179799426934098
2005-09-01,13.48715932914046
2005-10-01,12.600983796296296
2005-11-01,12.937908496732025
2005-12-01,13.904533844189016
2006-01-01,16.413764510779437
2006-02-01,15.041793313069908
2006-03-01,15.912379421221864
2006-04-01,15.551627384960717
2006-05-01,16.242051282051282
2006-06-01,17.080154405086283
2006-07-01,12.9945295404814
2006-08-01,17.015759312320917
2006-09-01,14.524633123689728
2006-10-01,17.18315972222222
2006-11-01,15.52549019607843
2006-12-01,15.168582375478927
2007-01-01,16.413764510779437
2007-02-01,17.047365754812564
2007-03-01,18.034030010718112
2007-04-01,19.994949494949495
2007-05-01,19.2874358974359
2007-06-01,19.777020890099905
2007-07-01,15.160284463894968
2007-08-01,17.015759312320917
2007-09-01,17.637054507337528
2007-10-01,18.328703703703702
2007-11-01,16.81928104575163
2007-12-01,18.96072796934866
2008-01-01,20.517205638474294
2008-02-01,19.052938196555218
2008-03-01,21.216505894962484
2008-04-01,18.8841189674523
2008-05-01,20.3025641025641
2008-06-01,19.777020890099905
2008-07-01,15.88220277169949
2008-08-01,19.851719197707737
2008-09-01,16.59958071278826
2008-10-01,16.03761574074074
2008-11-01,18.113071895424834
2008-12-01,17.696679438058748
2009-01-01,19.69651741293532
2009-02-01,20.055724417426543
2009-03-01,19.094855305466236
2009-04-01,19.994949494949495
2009-05-01,19.2874358974359
2009-06-01,19.777020890099905
2009-07-01,15.160284463894968
2009-08-01,18.90639923591213
2009-09-01,18.67452830188679
2009-10-01,19.474247685185183
2009-11-01,19.40686274509804
2009-12-01,20.22477650063857
2010-01-01,22.97927031509121
2010-02-01,21.05851063829787
2010-03-01,23.338156484458732
2010-04-01,21.105780022446687
2010-05-01,21.317692307692308
2010-06-01,21.574931880108988
2010-07-01,15.88220277169949
2010-08-01,18.90639923591213
2010-09-01,15.562106918238994
2010-10-01,16.03761574074074
2010-11-01,15.52549019607843
2010-12-01,15.168582375478927
2011-01-01,20.517205638474294
2011-02-01,19.052938196555218
2011-03-01,20.15568060021436
2011-04-01,19.994949494949495
2011-05-01,19.2874358974359
2011-06-01,17.979109900090823
2011-07-01,14.438366156090446
2011-08-01,19.851719197707737
2011-09-01,17.637054507337528
2011-10-01,17.18315972222222
2011-11-01,18.113071895424834
2011-12-01,16.432630906768836
2012-01-01,18.05514096185738
2012-02-01,17.047365754812564
2012-03-01,15.912379421221864
2012-04-01,18.8841189674523
2012-05-01,17.25717948717949
2012-06-01,16.18119891008174
2012-07-01,13.716447848285924
2012-08-01,15.125119388729704
2012-09-01,15.562106918238994
2012-10-01,14.892071759259258
2012-11-01,14.231699346405227
2012-12-01,15.168582375478927
2013-01-01,15.593076285240464
2013-02-01,15.041793313069908
2013-03-01,14.85155412647374
2013-04-01,15.551627384960717
2013-05-01,14.211794871794872
2013-06-01,14.383287920072659
2013-07-01,12.272611232676878
2013-08-01,14.179799426934098
2013-09-01,14.524633123689728
2013-10-01,14.892071759259258
2013-11-01,15.52549019607843
2013-12-01,15.168582375478927
2014-01-01,14.772388059701493
2014-02-01,15.041793313069908
2014-03-01,15.912379421221864
2014-04-01,15.551627384960717
2014-05-01,14.211794871794872
2014-06-01,14.383287920072659
2014-07-01,12.9945295404814
2014-08-01,13.234479465138492
2014-09-01,14.524633123689728
2014-10-01,12.600983796296296
2014-11-01,12.937908496732025
2014-12-01,12.640485312899106
2015-01-01,13.95169983416252
2015-02-01,13.036220871327254
2015-03-01,13.790728831725616
2015-04-01,13.329966329966329
2015-05-01,13.196666666666667
2015-06-01,12.585376930063576
2015-07-01,10.828774617067834
2015-08-01,13.234479465138492
2015-09-01,12.449685534591195
2015-10-01,12.600983796296296
2015-11-01,11.644117647058822
2015-12-01,12.640485312899106
2016-01-01,13.131011608623549
2016-02-01,14.039007092198581
2016-03-01,14.85155412647374
2016-04-01,14.440796857463523
2016-05-01,13.196666666666667
2016-06-01,12.585376930063576
2016-07-01,10.106856309263312
2016-08-01,12.289159503342885
2016-09-01,12.449685534591195
2016-10-01,12.600983796296296
2016-11-01,12.937908496732025
2016-12-01,12.640485312899106
2017-01-01,13.131011608623549
2017-02-01,13.036220871327254
2017-03-01,13.790728831725616
2017-04-01,13.329966329966329
2017-05-01,14.211794871794872
2017-06-01,17.080154405086283
2017-07-01,11.550692924872356
2017-08-01,13.234479465138492
2017-09-01,12.449685534591195
2017-10-01,12.600983796296296
2017-11-01,12.937908496732025
2017-12-01,13.904533844189016
2018-01-01,12.310323383084578
2018-02-01,13.036220871327254
2018-03-01,13.790728831725616
2018-04-01,14.440796857463523
2018-05-01,16.242051282051282
2018-06-01,15.2822434150772
2018-07-01,11.550692924872356
2018-08-01,21.74235912129895
2018-09-01,31.12421383647799
2018-10-01,27.493055555555554
2018-11-01,24.58202614379085
2018-12-01,22.75287356321839
2019-01-01,16.413764510779437
2019-02-01,16.044579533941235
2019-03-01,14.85155412647374
2019-04-01,15.551627384960717
2019-05-01,15.226923076923077
2019-06-01,14.383287920072659
2019-07-01,14.438366156090446
2019-08-01,15.125119388729704
2019-09-01,15.562106918238994
2019-10-01,13.746527777777777
2019-11-01,14.231699346405227
2019-12-01,13.904533844189016
2020-01-01,12.310323383084578
2020-02-01,13.036220871327254
2020-03-01,8.486602357984994
2020-04-01,7.775813692480359
2020-05-01,8.121025641025641
2020-06-01,8.09059945504087
2020-07-01,7.941101385849745
2020-08-01,9.453199617956065
2020-09-01,9.337264150943396
2020-10-01,10.309895833333332
2020-11-01,9.056535947712417
2020-12-01,10.112388250319285
2021-01-01,9.02757048092869
2021-02-01,10.027862208713271
2021-03-01,10.608252947481242
2021-04-01,12.219135802469136
2021-05-01,12.181538461538462
2021-06-01,10.787465940054494
2021-07-01,9.384938001458789
2021-08-01,10.398519579751671
2021-09-01,11.41221174004193
