date,road trip
2004-01-01,38.740826573966785
2004-02-01,37.98749080206034
2004-03-01,38.84071933204881
2004-04-01,36.990595611285265
2004-05-01,36.94096601073345
2004-06-01,39.63244613434727
2004-07-01,38.33083458270865
2004-08-01,34.37595829500153
2004-09-01,34.60760517799353
2004-10-01,33.13117699910153
2004-11-01,31.967923710446467
2004-12-01,31.345926800472252
2005-01-01,30.764774044032443
2005-02-01,32.560706401766005
2005-03-01,34.104046242774565
2005-04-01,44.18321142459073
2005-05-01,38.70005963029219
2005-06-01,35.893536121673
2005-07-01,36.11944027986007
2005-08-01,29.85280588776449
2005-09-01,31.027508090614887
2005-10-01,31.805929919137462
2005-11-01,31.967923710446467
2005-12-01,33.66784730421094
2006-01-01,34.18308227114716
2006-02-01,32.560706401766005
2006-03-01,34.104046242774565
2006-04-01,31.853012887495645
2006-05-01,33.42277877161598
2006-06-01,33.65019011406844
2006-07-01,29.48525737131434
2006-08-01,28.94817540631708
2006-09-01,27.447411003236244
2006-10-01,33.13117699910153
2006-11-01,28.13177286519289
2006-12-01,30.18496654860291
2007-01-01,27.34646581691773
2007-02-01,30.389992641648274
2007-03-01,31.26204238921002
2007-04-01,31.853012887495645
2007-05-01,30.784138342277874
2007-06-01,29.911280101394166
2007-07-01,31.69665167416292
2007-08-01,28.04354492486967
2007-09-01,27.447411003236244
2007-10-01,31.805929919137462
2007-11-01,31.967923710446467
2007-12-01,30.18496654860291
2008-01-01,31.90421011973735
2008-02-01,41.24356144223694
2008-03-01,57.78741168914579
2008-04-01,35.96307906652734
2008-05-01,34.302325581395344
2008-06-01,29.911280101394166
2008-07-01,35.382308845577214
2008-08-01,34.37595829500153
2008-09-01,32.220873786407765
2008-10-01,31.805929919137462
2008-11-01,35.80407455570004
2008-12-01,38.31168831168831
2009-01-01,33.04364619544226
2009-02-01,34.73142016188374
2009-03-01,30.31470777135517
2009-04-01,30.82549634273772
2009-05-01,34.302325581395344
2009-06-01,29.911280101394166
2009-07-01,38.33083458270865
2009-08-01,45.23152407237044
2009-09-01,34.60760517799353
2009-10-01,34.456424079065584
2009-11-01,33.24664065886432
2009-12-01,32.5068870523416
2010-01-01,33.04364619544226
2010-02-01,31.47534952170714
2010-03-01,32.209377007064866
2010-04-01,31.853012887495645
2010-05-01,29.904591532498507
2010-06-01,32.15462610899873
2010-07-01,29.48525737131434
2010-08-01,27.138914443422262
2010-09-01,28.640776699029125
2010-10-01,29.155435759209343
2010-11-01,31.967923710446467
2010-12-01,32.5068870523416
2011-01-01,31.90421011973735
2011-02-01,30.389992641648274
2011-03-01,34.104046242774565
2011-04-01,36.990595611285265
2011-05-01,37.82051282051282
2011-06-01,35.14575411913815
2011-07-01,33.17091454272863
2011-08-01,32.56669733210671
2011-09-01,32.220873786407765
2011-10-01,30.480682839173404
2011-11-01,33.24664065886432
2011-12-01,32.5068870523416
2012-01-01,34.18308227114716
2012-02-01,35.81677704194261
2012-03-01,34.104046242774565
2012-04-01,35.96307906652734
2012-05-01,37.82051282051282
2012-06-01,37.38910012674271
2012-07-01,37.59370314842579
2012-08-01,32.56669733210671
2012-09-01,35.800970873786405
2012-10-01,34.456424079065584
2012-11-01,38.36150845253576
2012-12-01,41.79456906729634
