date,Royal Caribbean Cruise
2004-01-01,26.737609329446066
2004-02-01,26.236710963455153
2004-03-01,25.65827338129497
2004-04-01,26.494000000000003
2004-05-01,26.38984806629835
2004-06-01,25.40984654731458
2004-07-01,27.7040625
2004-08-01,25.510431154381088
2004-09-01,26.35344827586207
2004-10-01,25.637779552715656
2004-11-01,20.748868778280546
2004-12-01,22.8296586059744
2005-01-01,23.766763848396504
2005-02-01,23.697674418604652
2005-03-01,21.07643884892087
2005-04-01,23.437000000000005
2005-05-01,23.223066298342548
2005-06-01,22.47794117647059
2005-07-01,24.838125
2005-08-01,26.573365785813635
2005-09-01,22.759796238244515
2005-10-01,24.416932907348247
2005-11-01,21.90158371040724
2005-12-01,20.65540540540541
2006-01-01,22.28134110787172
2006-02-01,19.46594684385382
2006-03-01,21.07643884892087
2006-04-01,20.380000000000003
2006-05-01,23.223066298342548
2006-06-01,23.45524296675192
2006-07-01,26.74875
2006-08-01,21.25869262865091
2006-09-01,23.9576802507837
2006-10-01,23.196086261980835
2006-11-01,20.748868778280546
2006-12-01,20.65540540540541
2007-01-01,28.22303206997085
2007-02-01,30.468438538205984
2007-03-01,34.821942446043174
2007-04-01,34.646
2007-05-01,40.11256906077349
2007-06-01,39.0920716112532
2007-07-01,39.167812500000004
2007-08-01,38.265646731571636
2007-09-01,40.72805642633229
2007-10-01,41.50878594249202
2007-11-01,33.42873303167421
2007-12-01,33.700924608819356
2008-01-01,37.13556851311954
2008-02-01,36.392857142857146
2008-03-01,37.571043165467636
2008-04-01,38.72200000000001
2008-05-01,38.00138121546962
2008-06-01,28.34175191815857
2008-07-01,28.659375
2008-08-01,28.699235048678727
2008-09-01,29.947100313479623
2008-10-01,24.416932907348247
2008-11-01,24.207013574660635
2008-12-01,25.003911806543393
2009-01-01,28.22303206997085
2009-02-01,27.929401993355484
2009-03-01,28.40737410071943
2009-04-01,32.608000000000004
2009-05-01,27.445441988950282
2009-06-01,27.36445012787724
2009-07-01,26.74875
2009-08-01,28.699235048678727
2009-09-01,28.74921630094044
2009-10-01,30.521166134185307
2009-11-01,32.276018099547514
2009-12-01,28.265291607396875
2010-01-01,33.42201166180758
2010-02-01,30.468438538205984
2010-03-01,32.07284172661871
2010-04-01,30.570000000000004
2010-05-01,33.77900552486189
2010-06-01,34.20556265984655
2010-07-01,28.659375
2010-08-01,27.63630041724618
2010-09-01,27.551332288401255
2010-10-01,28.079472843450482
2010-11-01,26.51244343891403
2010-12-01,23.916785206258897
2011-01-01,35.650145772594755
2011-02-01,30.468438538205984
2011-03-01,28.40737410071943
2011-04-01,27.513000000000005
2011-05-01,27.445441988950282
2011-06-01,24.432544757033252
2011-07-01,26.74875
2011-08-01,26.573365785813635
2011-09-01,25.155564263322884
2011-10-01,26.85862619808307
2011-11-01,25.359728506787334
2011-12-01,25.003911806543393
2012-01-01,30.451166180758023
2012-02-01,23.697674418604652
2012-03-01,23.825539568345327
2012-04-01,27.513000000000005
2012-05-01,26.38984806629835
2012-06-01,26.38714833759591
2012-07-01,25.7934375
2012-08-01,25.510431154381088
2012-09-01,26.35344827586207
2012-10-01,24.416932907348247
2012-11-01,21.90158371040724
2012-12-01,26.091038406827884
2013-01-01,33.42201166180758
2013-02-01,33.007475083056484
2013-03-01,29.32374100719425
2013-04-01,25.475
2013-05-01,30.612223756906086
2013-06-01,26.38714833759591
2013-07-01,26.74875
2013-08-01,24.447496522948544
2013-09-01,23.9576802507837
2013-10-01,24.416932907348247
2013-11-01,23.05429864253394
2013-12-01,27.17816500711238
2014-01-01,34.16472303206997
2014-02-01,27.083056478405318
2014-03-01,31.15647482014389
2014-04-01,26.494000000000003
2014-05-01,29.556629834254153
2014-06-01,28.34175191815857
2014-07-01,26.74875
2014-08-01,25.510431154381088
2014-09-01,25.155564263322884
2014-10-01,24.416932907348247
2014-11-01,24.207013574660635
2014-12-01,26.091038406827884
2015-01-01,28.96574344023324
2015-02-01,28.77574750830565
2015-03-01,31.15647482014389
2015-04-01,28.532000000000004
2015-05-01,27.445441988950282
2015-06-01,28.34175191815857
2015-07-01,26.74875
2015-08-01,27.63630041724618
2015-09-01,23.9576802507837
2015-10-01,26.85862619808307
2015-11-01,26.51244343891403
2015-12-01,26.091038406827884
2016-01-01,28.96574344023324
2016-02-01,30.468438538205984
2016-03-01,27.49100719424461
2016-04-01,27.513000000000005
2016-05-01,28.501035911602216
2016-06-01,23.45524296675192
2016-07-01,24.838125
2016-08-01,26.573365785813635
2016-09-01,26.35344827586207
2016-10-01,25.637779552715656
2016-11-01,23.05429864253394
2016-12-01,25.003911806543393
2017-01-01,30.451166180758023
2017-02-01,65.1686046511628
2017-03-01,32.07284172661871
2017-04-01,30.570000000000004
2017-05-01,26.38984806629835
2017-06-01,27.36445012787724
2017-07-01,29.6146875
2017-08-01,29.76216968011127
2017-09-01,32.34286833855799
2017-10-01,28.079472843450482
2017-11-01,27.665158371040725
2017-12-01,28.265291607396875
2018-01-01,28.22303206997085
2018-02-01,28.77574750830565
2018-03-01,30.24010791366907
2018-04-01,28.532000000000004
2018-05-01,29.556629834254153
2018-06-01,30.29635549872123
2018-07-01,33.4359375
2018-08-01,37.20271210013909
2018-09-01,34.73863636363637
2018-10-01,35.40455271565496
2018-11-01,33.42873303167421
2018-12-01,31.526671408250362
2019-01-01,37.87827988338193
2019-02-01,35.54651162790698
2019-03-01,34.821942446043174
2019-04-01,35.665000000000006
2019-05-01,39.05697513812156
2019-06-01,38.11476982097187
2019-07-01,40.123125
2019-08-01,37.20271210013909
2019-09-01,37.134404388714735
2019-10-01,36.62539936102237
2019-11-01,36.8868778280543
2019-12-01,38.04943100995733
2020-01-01,40.849125364431494
2020-02-01,33.85382059800665
2020-03-01,45.81834532374101
2020-04-01,23.437000000000005
2020-05-01,19.00069060773481
2020-06-01,15.63682864450128
2020-07-01,8.5978125
2020-08-01,9.566411682892909
2020-09-01,10.780956112852664
2020-10-01,9.766773162939298
2020-11-01,12.679864253393667
2020-12-01,9.784139402560458
2021-01-01,7.427113702623908
2021-02-01,8.463455149501662
2021-03-01,11.912769784172664
2021-04-01,13.247000000000002
2021-05-01,17.945096685082877
2021-06-01,22.47794117647059
2021-07-01,20.0615625
2021-08-01,18.06988873435327
2021-09-01,20.364028213166144
2021-10-01,36.62539936102237
2021-11-01,35.734162895927604
2021-12-01,33.700924608819356
2022-01-01,24.509475218658896
2022-02-01,32.16112956810632
2022-03-01,47.651079136690655
2022-04-01,49.931000000000004
2022-05-01,49.61291436464089
2022-06-01,46.91048593350384
2022-07-01,57.31875
2022-08-01,66.96488178025037
2022-09-01,61.09208463949843
2022-10-01,64.70487220447285
2022-11-01,69.16289592760182
2022-12-01,63.053342816500724
2023-01-01,64.615889212828
2023-02-01,65.1686046511628
2023-03-01,71.47661870503599
2023-04-01,72.349
2023-05-01,64.39122928176798
2023-06-01,80.13874680306907
2023-07-01,64.0059375
2023-08-01,65.90194714881781
2023-09-01,64.68573667711598
2023-10-01,62.263178913738024
2023-11-01,73.7737556561086
2023-12-01,78.27311522048366
2024-01-01,74.27113702623907
2024-02-01,65.1686046511628
2024-03-01,58.6474820143885
2024-04-01,81.52000000000001
2024-05-01,73.89157458563538
2024-06-01,72.32033248081842
2024-07-01,68.7825
2024-08-01,68.0278164116829
2024-09-01,74.26880877742947
2024-10-01,64.70487220447285
2024-11-01,64.55203619909503
2024-12-01,66.3147226173542
2025-01-01,64.615889212828
2025-02-01,61.78322259136213
2025-03-01,59.56384892086332
2025-04-01,59.102000000000004
2025-05-01,62.2800414364641
2025-06-01,73.29763427109975
2025-07-01,82.156875
2025-08-01,78.65716272600837
2025-09-01,77.86246081504703
2025-10-01,75.69249201277957
2025-11-01,86.45361990950227
2025-12-01,84.79587482219063
