date,all inclusive resort
2004-01-01,32.34449891067538
2004-02-01,31.064311594202895
2004-03-01,26.30099916736053
2004-04-01,34.93088467614534
2004-05-01,34.266518737672584
2004-06-01,32.96086956521739
2004-07-01,29.071038251366122
2004-08-01,34.31093007467753
2004-09-01,36.44711538461539
2004-10-01,31.65631808278867
2004-11-01,34.37575574365175
2004-12-01,34.5413838612368
2005-01-01,37.84994553376906
2005-02-01,37.604166666666664
2005-03-01,38.57479877879545
2005-04-01,36.92693522906793
2005-05-01,40.49679487179487
2005-06-01,32.96086956521739
2005-07-01,29.979508196721312
2005-08-01,37.527579769178544
2005-09-01,35.09722222222222
2005-10-01,39.91448801742919
2005-11-01,38.19528415961306
2005-12-01,33.350301659125186
2006-01-01,37.84994553376906
2006-02-01,35.96920289855072
2006-03-01,33.31459894532334
2006-04-01,33.93285939968405
2006-05-01,33.228139381985535
2006-06-01,32.04528985507246
2006-07-01,35.43032786885246
2006-08-01,36.45536320434488
2006-09-01,36.44711538461539
2006-10-01,38.53812636165577
2006-11-01,38.19528415961306
2006-12-01,35.73246606334842
2007-01-01,39.22630718954248
2007-02-01,37.604166666666664
2007-03-01,37.69809880655009
2007-04-01,37.92496050552923
2007-05-01,37.38165680473373
2007-06-01,37.53876811594203
2007-07-01,37.247267759562845
2007-08-01,37.527579769178544
2007-09-01,37.79700854700855
2007-10-01,42.66721132897603
2007-11-01,35.64893188230552
2007-12-01,34.5413838612368
2008-01-01,44.04357298474945
2008-02-01,41.691576086956516
2008-03-01,42.9582986400222
2008-04-01,46.907187993680886
2008-05-01,42.573553583168966
2008-06-01,41.20108695652174
2008-07-01,41.7896174863388
2008-08-01,40.74422946367957
2008-09-01,37.79700854700855
2008-10-01,38.53812636165577
2008-11-01,35.64893188230552
2008-12-01,40.49679487179487
2009-01-01,46.108115468409586
2009-02-01,46.596467391304344
2009-03-01,46.465098529003605
2009-04-01,43.913112164297
2009-05-01,43.611932938856015
2009-06-01,43.947826086956525
2009-07-01,46.33196721311476
2009-08-01,49.321961982348945
2009-09-01,47.24626068376069
2009-10-01,57.807189542483655
2009-11-01,56.01975010076582
2009-12-01,50.02545248868778
2010-01-01,52.30174291938997
2010-02-01,57.22373188405797
2010-03-01,56.98549819594781
2010-04-01,56.88744075829384
2010-05-01,63.341140696909925
2010-06-01,62.25942028985507
2010-07-01,48.14890710382514
2010-08-01,51.46639511201629
2010-09-01,47.24626068376069
2010-10-01,45.419934640522875
2010-11-01,42.01481257557436
2010-12-01,44.07004147812971
2011-01-01,50.92538126361656
2011-02-01,53.953804347826086
2011-03-01,49.095198445739655
2011-04-01,45.909162717219594
2011-05-01,44.65031229454306
2011-06-01,49.44130434782609
2011-07-01,49.965846994535525
2011-08-01,48.24974541751528
2011-09-01,51.29594017094018
2011-10-01,48.17265795206971
2011-11-01,47.107517130189436
2011-12-01,42.8789592760181
2012-01-01,48.860838779956424
2012-02-01,45.778985507246375
2012-03-01,35.94469886205939
2012-04-01,42.915086887835706
2012-05-01,44.65031229454306
2012-06-01,45.778985507246375
2012-07-01,45.423497267759565
2012-08-01,41.81644602851324
2012-09-01,43.1965811965812
2012-10-01,39.91448801742919
2012-11-01,35.64893188230552
