date,vacation packages
2004-01-01,68.45661577608142
2004-02-01,65.42008137169428
2004-03-01,62.039548022598865
2004-04-01,61.47586270190895
2004-05-01,64.9476518361582
2004-06-01,66.66169977924945
2004-07-01,68.15417080436941
2004-08-01,66.70044757033247
2004-09-01,66.82426726279185
2004-10-01,62.92052815146985
2004-11-01,65.46050670640834
2004-12-01,63.19300575475875
2005-01-01,60.07417302798982
2005-02-01,61.4310520197617
2005-03-01,62.039548022598865
2005-04-01,57.444658590308364
2005-05-01,59.13144420903955
2005-06-01,55.407127089246295
2005-07-01,51.79716981132076
2005-08-01,53.82843137254902
2005-09-01,49.09538002980626
2005-10-01,49.24215246636771
2005-11-01,51.82290114257327
2005-12-01,47.39475431606906
2006-01-01,47.50050890585241
2006-02-01,43.08151700087184
2006-03-01,47.39132140615191
2006-04-01,47.3666483113069
2006-05-01,44.59092514124294
2006-06-01,42.421081677704194
2006-07-01,47.253558424362794
2006-08-01,49.14769820971867
2006-09-01,47.73161947342275
2006-10-01,53.345665171898354
2006-11-01,51.82290114257327
2006-12-01,47.39475431606906
2007-01-01,52.39026717557252
2007-02-01,47.86835222319094
2007-03-01,48.25298179535467
2007-04-01,49.38225036710719
2007-05-01,48.46839689265537
2007-06-01,44.152554399243144
2007-07-01,44.52739159218802
2007-08-01,46.807331628303494
2007-09-01,45.00409836065573
2007-10-01,46.506477329347284
2007-11-01,39.54905613512171
2007-12-01,40.103253652058434
2008-01-01,44.706361323155214
2008-02-01,41.48590526009881
2008-03-01,43.944679849340865
2008-04-01,42.327643171806166
2008-05-01,40.71345338983051
2008-06-01,39.82387259539578
2008-07-01,37.25761337305528
2008-08-01,38.61604859335038
2008-09-01,40.91281669150521
2008-10-01,42.40296462381664
2008-11-01,51.82290114257327
2008-12-01,57.11675520141656
2009-01-01,53.787340966921114
2009-02-01,59.03763440860216
2009-03-01,61.177887633396104
2009-04-01,60.46806167400881
2009-05-01,63.00891596045198
2009-06-01,70.12464522232735
2009-07-01,74.51522674611056
2009-08-01,73.721547314578
2009-09-01,65.46050670640834
2009-10-01,73.86322869955157
2009-11-01,72.27930948832588
2009-12-01,71.6997565294378
2010-01-01,69.85368956743002
2010-02-01,74.99375181633246
2010-03-01,74.10279347143754
2010-04-01,71.55387298091043
2010-05-01,74.64133121468927
2010-06-01,74.4533270261747
2010-07-01,65.42800397219463
2010-08-01,63.18989769820971
2010-09-01,57.2779433681073
2010-10-01,53.345665171898354
2010-11-01,55.91418281172379
2010-12-01,52.25575475874281
2011-01-01,62.86832061068702
2011-02-01,60.63324614937519
2011-03-01,51.69962335216572
2011-04-01,53.41345447870778
