date,Universal Studios tickets
2004-01-01,12.937380268199234
2004-02-01,13.76660198361363
2004-03-01,14.435598201936376
2004-04-01,14.02713178294574
2004-05-01,14.165842604037907
2004-06-01,12.929253043764396
2004-07-01,13.948953662182364
2004-08-01,12.03799019607843
2004-09-01,8.352891156462587
2004-10-01,8.650814619110525
2004-11-01,13.804103428892638
2004-12-01,11.485225340136056
2005-01-01,11.76125478927203
2005-02-01,11.64866321690384
2005-03-01,11.038986860304288
2005-04-01,12.02325581395349
2005-05-01,14.165842604037907
2005-06-01,11.313096413293847
2005-07-01,12.480642750373693
2005-08-01,12.03799019607843
2005-09-01,10.739431486880466
2005-10-01,9.73216644649934
2005-11-01,9.662872400224847
2005-12-01,10.441113945578234
2006-01-01,11.76125478927203
2006-02-01,12.707632600258734
2006-03-01,12.737292531120332
2006-04-01,12.02325581395349
2006-05-01,11.130304903172641
2006-06-01,13.73733135899967
2006-07-01,11.74648729446936
2006-08-01,12.03799019607843
2006-09-01,9.546161321671526
2006-10-01,10.813518273888157
2006-11-01,12.423693086003373
2006-12-01,12.52933673469388
2007-01-01,14.113505747126437
2007-02-01,14.825571366968523
2007-03-01,14.435598201936376
2007-04-01,13.025193798449616
2007-05-01,15.177688504326328
2007-06-01,15.35348798947022
2007-07-01,14.6831091180867
2007-08-01,14.044321895424837
2007-09-01,11.932701652089408
2007-10-01,11.894870101276972
2007-11-01,13.804103428892638
2007-12-01,12.52933673469388
2008-01-01,14.113505747126437
2008-02-01,14.825571366968523
2008-03-01,13.586445366528354
2008-04-01,12.02325581395349
2008-05-01,15.177688504326328
2008-06-01,13.73733135899967
2008-07-01,13.21479820627803
2008-08-01,15.047487745098039
2008-09-01,14.31924198250729
2008-10-01,17.30162923822105
2008-11-01,17.945334457560428
2008-12-01,16.705782312925173
2009-01-01,18.81800766283525
2009-02-01,21.179387667097892
2009-03-01,19.530515214384508
2009-04-01,20.038759689922486
2009-05-01,20.236918005768437
2009-06-01,22.626192826587694
2009-07-01,22.758819133034383
2009-08-01,23.07281454248366
2009-09-01,19.092322643343053
2009-10-01,20.5456847203875
2009-11-01,19.325744800449694
2009-12-01,22.970450680272112
2010-01-01,24.698635057471265
2010-02-01,28.592173350582154
2010-03-01,28.02204356846473
2010-04-01,28.05426356589148
2010-05-01,28.331685208075815
2010-06-01,32.32313260941099
2010-07-01,33.77115097159941
2010-08-01,33.104473039215684
2010-09-01,31.02502429543246
2010-10-01,34.6032584764421
2010-11-01,31.749437886453066
2010-12-01,28.19100765306123
2011-01-01,35.28376436781609
2011-02-01,36.00495903406642
2011-03-01,33.11696058091286
2011-04-01,38.073643410852725
2011-05-01,35.414606510094764
2011-06-01,38.787759131293186
2011-07-01,36.70777279521675
2011-08-01,36.11397058823529
2011-09-01,36.99137512147716
2011-10-01,46.49812857771907
2011-11-01,35.890668915120855
2011-12-01,34.45567602040817
2012-01-01,30.57926245210728
2012-02-01,34.94598965071152
2012-03-01,33.11696058091286
2012-04-01,35.06782945736435
