date,honeymoon destinations
2004-01-01,44.201518288474816
2004-02-01,34.661856127886324
2004-03-01,31.334637964774956
2004-04-01,38.00316455696203
2004-05-01,37.977179487179484
2004-06-01,37.528125
2004-07-01,41.3843984962406
2004-08-01,41.20097508125678
2004-09-01,41.79466357308585
2004-10-01,38.44557625145518
2004-11-01,49.49427020506635
2004-12-01,43.89254385964912
2005-01-01,42.12957211870256
2005-02-01,39.99444937833037
2005-03-01,40.14750489236791
2005-04-01,40.114451476793256
2005-05-01,44.13564102564103
2005-06-01,37.528125
2005-07-01,36.681625939849624
2005-08-01,41.20097508125678
2005-09-01,34.82888631090488
2005-10-01,50.095750873108265
2005-11-01,33.80096501809409
2005-12-01,32.91940789473684
2006-01-01,42.12957211870256
2006-02-01,39.99444937833037
2006-03-01,34.272260273972606
2006-04-01,36.94752109704642
2006-05-01,40.03
2006-06-01,39.45264423076923
2006-07-01,42.32495300751879
2006-08-01,36.86403033586133
2006-09-01,38.31177494199537
2006-10-01,46.60069848661234
2006-11-01,44.66556091676719
2006-12-01,42.7952302631579
2007-01-01,43.5108695652174
2007-02-01,46.2158081705151
2007-03-01,40.14750489236791
2007-04-01,51.726529535864984
2007-05-01,46.18846153846154
2007-06-01,46.18846153846154
2007-07-01,48.90883458646616
2007-08-01,53.127573131094266
2007-09-01,42.955626450116014
2007-10-01,47.76571594877765
2007-11-01,43.45838359469241
2007-12-01,38.405975877192986
2008-01-01,41.43892339544514
2008-02-01,40.88321492007105
2008-03-01,45.043542074364
2008-04-01,34.836234177215196
2008-05-01,36.95076923076923
2008-06-01,32.71682692307692
2008-07-01,33.859962406015036
2008-08-01,34.6955579631636
2008-09-01,58.04814385150813
2008-10-01,57.085855646100114
2008-11-01,61.566043425814236
2008-12-01,54.86567982456141
2009-01-01,53.87060041407868
2009-02-01,53.3259325044405
2009-03-01,60.710861056751476
2009-04-01,54.89345991561182
2009-05-01,59.53179487179487
2009-06-01,63.50913461538462
2009-07-01,56.43327067669173
2009-08-01,63.96993499458289
2009-09-01,65.01392111368911
2009-10-01,67.57101280558788
2009-11-01,70.01628468033776
2009-12-01,66.93612938596492
2010-01-01,68.37422360248448
2010-02-01,72.87877442273535
2010-03-01,74.41976516634053
2010-04-01,73.89504219409284
2010-05-01,68.76948717948719
2010-06-01,68.3204326923077
2010-07-01,63.0171522556391
2010-08-01,60.717226435536304
2010-09-01,61.53103248259861
2010-10-01,58.250873108265424
2010-11-01,56.737334137515084
2010-12-01,54.86567982456141
2011-01-01,69.0648723257419
2011-02-01,73.76753996447603
2011-03-01,71.48214285714286
2011-04-01,67.56118143459916
2011-05-01,71.84871794871795
2011-06-01,71.20721153846155
2011-07-01,72.42269736842105
2011-08-01,73.72806067172266
2011-09-01,68.4968097447796
2011-10-01,65.24097788125727
2011-11-01,70.01628468033776
2011-12-01,71.32538377192984
2012-01-01,68.37422360248448
2012-02-01,71.99000888099468
2012-03-01,66.58610567514678
2012-04-01,72.83939873417722
2012-05-01,68.76948717948719
2012-06-01,69.28269230769232
2012-07-01,71.48214285714286
2012-08-01,67.22264355362948
2012-09-01,66.17488399071927
2012-10-01,61.745925494761345
2012-11-01,59.15168878166466
2012-12-01,62.54687500000001
2013-01-01,62.84903381642513
2013-02-01,60.4360568383659
2013-03-01,62.66927592954991
2013-04-01,63.33860759493672
2013-05-01,66.71666666666667
2013-06-01,60.62235576923077
2013-07-01,64.89826127819549
2013-08-01,61.801462621885165
2013-09-01,59.20910672853829
2013-10-01,52.42578579743888
2013-11-01,57.944511459589876
2013-12-01,60.35224780701755
2014-01-01,60.086438923395455
2014-02-01,49.7708703374778
2014-03-01,51.89799412915852
2014-04-01,51.726529535864984
2014-05-01,53.373333333333335
2014-06-01,57.73557692307693
2014-07-01,52.671052631578945
2014-08-01,47.70639219934995
2014-09-01,45.27755220417634
2014-10-01,44.27066356228172
2014-11-01,47.079915560916774
2014-12-01,48.28179824561404
2015-01-01,50.417356797791584
2015-02-01,53.3259325044405
2015-03-01,48.96037181996087
2015-04-01,43.28138185654009
2015-05-01,44.13564102564103
2015-06-01,50.0375
2015-07-01,54.55216165413533
2015-08-01,46.62215601300109
2015-09-01,46.4385150812065
2015-10-01,47.76571594877765
2015-11-01,45.87273823884198
2015-12-01,51.573739035087726
2016-01-01,42.82022084195998
2016-02-01,39.1056838365897
2016-03-01,47.98116438356165
2016-04-01,52.7821729957806
2016-05-01,48.24128205128205
2016-06-01,37.528125
2016-07-01,35.74107142857143
2016-08-01,45.53791982665223
2016-09-01,42.955626450116014
2016-10-01,39.61059371362049
2016-11-01,32.593787696019305
2016-12-01,38.405975877192986
2017-01-01,37.29503105590062
2017-02-01,39.99444937833037
2017-03-01,37.20988258317026
2017-04-01,31.66930379746836
2017-05-01,36.95076923076923
2017-06-01,39.45264423076923
2017-07-01,43.265507518796994
2017-08-01,40.11673889490791
2017-09-01,38.31177494199537
2017-10-01,41.94062863795111
2017-11-01,41.044028950542824
2017-12-01,39.50328947368421
2018-01-01,38.676328502415465
2018-02-01,33.77309058614565
2018-03-01,39.1682974559687
2018-04-01,41.170094936708864
