date,flight deals
2004-01-01,53.67128121606949
2004-02-01,45.29133858267716
2004-03-01,47.08397534668721
2004-04-01,57.47662141779789
2004-05-01,57.35096557514694
2004-06-01,57.06349206349207
2004-07-01,58.63404689092763
2004-08-01,58.89931486446232
2004-09-01,58.15975733063701
2004-10-01,64.83967935871743
2004-11-01,40.51918465227818
2004-12-01,51.60780935974735
2005-01-01,49.76791530944625
2005-02-01,49.06561679790026
2005-03-01,47.08397534668721
2005-04-01,57.47662141779789
2005-05-01,62.3817520291072
2005-06-01,58.87503149407912
2005-07-01,58.63404689092763
2005-08-01,58.89931486446232
2005-09-01,56.94809571958207
2005-10-01,57.635270541082164
2005-11-01,37.932853717026376
2005-12-01,50.5756531725524
2006-01-01,47.816232356134634
2006-02-01,56.61417322834645
2006-03-01,59.08577298407807
2006-04-01,52.05429864253394
2006-05-01,54.33249370277078
2006-06-01,56.15772234819855
2006-07-01,57.717889908256886
2006-08-01,54.61572832886506
2006-09-01,54.52477249747219
2006-10-01,56.434535738142955
2006-11-01,36.20863309352518
2006-12-01,48.51134079816251
2007-01-01,55.622964169381106
2007-02-01,54.727034120734906
2007-03-01,53.54648176682075
2007-04-01,56.3921568627451
2007-05-01,59.36328015673104
2007-06-01,63.40388007054674
2007-07-01,62.298674821610604
2007-08-01,55.68662496276438
2007-09-01,53.313110886417256
2007-10-01,64.83967935871743
2007-11-01,39.65707434052758
2007-12-01,48.51134079816251
2008-01-01,56.598805646036915
2008-02-01,55.67060367454068
2008-03-01,60.00898818695429
2008-04-01,62.89894419306184
2008-05-01,63.387909319899244
2008-06-01,54.34618291761149
2008-07-01,50.38863404689093
2008-08-01,54.61572832886506
2008-09-01,50.88978766430738
2008-10-01,58.83600534402137
2008-11-01,45.69184652278177
2008-12-01,62.96152741889176
2009-01-01,64.40553745928338
2009-02-01,69.8241469816273
2009-03-01,79.3965074473549
2009-04-01,85.67269984917043
2009-05-01,70.4310103554436
2009-06-01,84.23658352229782
2009-07-01,87.0349133537207
2009-08-01,81.38814417634794
2009-09-01,72.69969666329627
2009-10-01,70.84335337341349
2009-11-01,59.485611510791365
2009-12-01,69.15446454206145
2010-01-01,73.18811074918567
2010-02-01,72.65485564304461
2010-03-01,79.3965074473549
2010-04-01,73.74358974358974
2010-05-01,76.46795410019591
2010-06-01,83.33081380700429
2010-07-01,79.70565749235475
2010-08-01,84.60083407804588
2010-09-01,75.12301988540614
2010-10-01,75.64629258517034
2010-11-01,51.72661870503597
2010-12-01,65.02583979328166
2011-01-01,75.13979370249729
2011-02-01,78.31627296587926
2011-03-01,72.01078582434515
2011-04-01,73.74358974358974
2011-05-01,77.47411139098797
2011-06-01,76.99042579994962
2011-07-01,78.789500509684
2011-08-01,73.89186773905273
2011-09-01,76.33468149646107
2011-10-01,69.64261857047428
2011-11-01,59.485611510791365
2011-12-01,59.86505885730692
2012-01-01,65.3813789359392
2012-02-01,68.88057742782152
2012-03-01,61.85541859270673
2012-04-01,67.236802413273
2012-05-01,64.3940666106913
2012-06-01,63.40388007054674
2012-07-01,60.46636085626912
2012-08-01,64.25379803395889
2012-09-01,64.2180653859117
2012-10-01,60.03674014696059
2012-11-01,50.86450839328537
2012-12-01,53.67212173413724
2013-01-01,57.574647122692724
2013-02-01,54.727034120734906
2013-03-01,60.00898818695429
2013-04-01,55.30769230769231
2013-05-01,61.375594738315144
2013-06-01,58.87503149407912
2013-07-01,57.717889908256886
2013-08-01,57.828418230563
2013-09-01,59.37141894169194
2013-10-01,55.23380093520374
2013-11-01,45.69184652278177
2013-12-01,59.86505885730692
2014-01-01,56.598805646036915
2014-02-01,63.21916010498688
2014-03-01,49.85362095531587
2014-04-01,59.64555052790347
2014-05-01,58.35712286593899
2014-06-01,55.25195263290502
2014-07-01,54.96941896024465
2014-08-01,56.757521596663686
2014-09-01,58.15975733063701
2014-10-01,50.430861723446895
2014-11-01,48.27817745803357
2014-12-01,62.96152741889176
2015-01-01,58.55048859934853
2015-02-01,60.38845144356955
2015-03-01,64.62506420133539
2015-04-01,63.98340874811463
2015-05-01,63.387909319899244
2015-06-01,58.87503149407912
2015-07-01,62.298674821610604
2015-08-01,62.11200476616026
2015-09-01,69.06471183013144
2015-10-01,63.638944555778224
2015-11-01,62.07194244604317
2015-12-01,62.96152741889176
2016-01-01,67.33306188925081
2016-02-01,69.8241469816273
2016-03-01,66.47149460708783
2016-04-01,61.81447963800905
2016-05-01,61.375594738315144
2016-06-01,65.2154195011338
2016-07-01,59.55020387359837
2016-08-01,65.32469466785821
2016-09-01,63.00640377485676
2016-10-01,64.83967935871743
2016-11-01,85.34892086330935
2016-12-01,59.86505885730692
2017-01-01,71.23642779587405
2017-02-01,70.76771653543307
2017-03-01,72.01078582434515
2017-04-01,68.32126696832579
2017-05-01,66.4063811922754
2017-06-01,64.30964978584026
2017-07-01,65.96330275229359
2017-08-01,57.828418230563
2017-09-01,59.37141894169194
2017-10-01,57.635270541082164
2017-11-01,86.21103117505994
2017-12-01,55.736434108527135
2018-01-01,66.357220412595
2018-02-01,61.332020997375324
2018-03-01,58.16255778120185
2018-04-01,60.73001508295626
2018-05-01,63.387909319899244
2018-06-01,57.06349206349207
2018-07-01,54.96941896024465
2018-08-01,59.970211498361635
2018-09-01,55.736434108527135
2018-10-01,56.434535738142955
2018-11-01,85.34892086330935
2018-12-01,50.5756531725524
2019-01-01,57.574647122692724
2019-02-01,50.95275590551181
2019-03-01,55.39291217257319
2019-04-01,53.13876319758673
2019-05-01,53.32633641197873
2019-06-01,57.06349206349207
2019-07-01,54.96941896024465
2019-08-01,57.828418230563
2019-09-01,59.37141894169194
2019-10-01,56.434535738142955
2019-11-01,66.38249400479616
2019-12-01,88.76543209876544
2020-01-01,69.28474484256243
2020-02-01,56.61417322834645
2020-03-01,44.314329738058554
2020-04-01,16.266968325791854
2020-05-01,18.110831234256928
2020-06-01,21.738473167044596
2020-07-01,18.323139653414884
2020-08-01,23.559725945784926
2020-09-01,29.079878665318503
2020-10-01,30.018370073480295
2020-11-01,24.139088729016784
2020-12-01,21.675279931093886
2021-01-01,23.420195439739413
2021-02-01,25.476377952755904
2021-03-01,36.928608115048796
2021-04-01,37.95625942684766
2021-05-01,37.22781975930591
2021-06-01,35.325018896447475
2021-07-01,31.149337410805302
2021-08-01,26.772415847482872
2021-09-01,29.079878665318503
2021-10-01,32.41983967935872
2021-11-01,42.243405275779374
2021-12-01,27.868217054263567
2022-01-01,30.251085776330076
2022-02-01,36.79921259842519
2022-03-01,38.77503852080123
2022-04-01,39.04072398190045
2022-05-01,38.233977050097955
2022-06-01,33.51347946586042
2022-07-01,33.897808358817535
2022-08-01,33.19779565087876
2022-09-01,39.98483316481294
2022-10-01,34.82130928523714
2022-11-01,56.037170263788965
2022-12-01,35.093310364628195
2023-01-01,34.15445168295331
2023-02-01,34.91207349081365
2023-03-01,31.389316897791474
2023-04-01,34.70286576168929
2023-05-01,30.184718723761545
2023-06-01,29.89040060468632
2023-07-01,29.317023445463814
2023-08-01,27.84331248138219
2023-09-01,31.50320188742838
2023-10-01,32.41983967935872
2023-11-01,69.83093525179856
2023-12-01,33.0289979902383
2024-01-01,32.20276872964169
2024-02-01,34.91207349081365
2024-03-01,29.542886492039035
2024-04-01,30.36500754147813
2024-05-01,30.184718723761545
2024-06-01,28.984630889392797
2024-07-01,31.149337410805302
2024-08-01,31.05600238308013
2024-09-01,33.926525109538254
2024-10-01,34.82130928523714
2024-11-01,43.10551558752997
2024-12-01,57.80074648291703
2025-01-01,32.20276872964169
2025-02-01,27.363517060367453
2025-03-01,31.389316897791474
2025-04-01,30.36500754147813
2025-05-01,31.1908760145536
2025-06-01,34.419249181153944
2025-07-01,50.38863404689093
2025-08-01,51.40303842716712
2025-09-01,48.466464442197505
2025-10-01,50.430861723446895
2025-11-01,62.07194244604317
2025-12-01,72.25093310364629
