date,hostel
2004-01-01,17.738407699037623
2004-02-01,23.98118279569892
2004-03-01,24.281437125748504
2004-04-01,22.459718026183282
2004-05-01,23.242945326278655
2004-06-01,22.417076167076168
2004-07-01,24.639756944444446
2004-08-01,23.53180129990715
2004-09-01,21.050546448087434
2004-10-01,18.265765765765764
2004-11-01,19.877450980392158
2004-12-01,18.14317673378076
2005-01-01,15.96456692913386
2005-02-01,21.8010752688172
2005-03-01,22.257984031936125
2005-04-01,20.417925478348437
2005-05-01,21.455026455026452
2005-06-01,20.756552006552006
2005-07-01,21.999782986111114
2005-08-01,22.590529247910865
2005-09-01,22.158469945355193
2005-10-01,19.407376126126124
2005-11-01,24.846813725490197
2005-12-01,38.554250559284114
2006-01-01,88.69203849518811
2006-02-01,26.16129032258064
2006-03-01,25.29316367265469
2006-04-01,36.75226586102719
2006-05-01,27.712742504409167
2006-06-01,23.24733824733825
2006-07-01,22.879774305555557
2006-08-01,20.707985143918293
2006-09-01,19.942622950819672
2006-10-01,20.548986486486484
2006-11-01,23.604473039215687
2006-12-01,21.545022371364652
2007-01-01,15.07764654418198
2007-02-01,18.53091397849462
2007-03-01,20.23453093812375
2007-04-01,20.417925478348437
2007-05-01,28.60670194003527
2007-06-01,47.32493857493858
2007-07-01,25.519748263888893
2007-08-01,25.414345403899723
2007-09-01,23.266393442622952
2007-10-01,26.257038288288285
2007-11-01,26.089154411764707
2007-12-01,20.411073825503355
2008-01-01,16.85148731408574
2008-02-01,21.8010752688172
2008-03-01,21.24625748502994
2008-04-01,19.397029204431014
2008-05-01,20.561067019400348
2008-06-01,19.926289926289925
2008-07-01,21.119791666666668
2008-08-01,22.590529247910865
2008-09-01,19.942622950819672
2008-10-01,17.124155405405403
2008-11-01,17.39276960784314
2008-12-01,18.14317673378076
2009-01-01,16.85148731408574
2009-02-01,20.71102150537634
2009-03-01,20.23453093812375
2009-04-01,19.397029204431014
2009-05-01,19.667107583774246
2009-06-01,18.265765765765767
2009-07-01,18.479817708333336
2009-08-01,20.707985143918293
2009-09-01,21.050546448087434
2009-10-01,19.407376126126124
2009-11-01,21.119791666666668
2009-12-01,19.277125279642057
2010-01-01,15.96456692913386
2010-02-01,19.62096774193548
2010-03-01,21.24625748502994
2010-04-01,18.376132930513595
2010-05-01,19.667107583774246
2010-06-01,17.435503685503686
2010-07-01,18.479817708333336
2010-08-01,19.766713091922007
2010-09-01,19.942622950819672
2010-10-01,18.265765765765764
2010-11-01,19.877450980392158
2010-12-01,17.00922818791946
2011-01-01,11.529965004374453
2011-02-01,15.26075268817204
2011-03-01,15.175898203592814
2011-04-01,15.313444108761328
2011-05-01,15.197310405643737
2011-06-01,14.944717444717444
2011-07-01,14.959852430555557
2011-08-01,15.060352831940577
2011-09-01,15.510928961748634
2011-10-01,15.982545045045043
2011-11-01,13.665747549019608
2011-12-01,15.875279642058164
2012-01-01,14.190726159230097
2012-02-01,14.17069892473118
2012-03-01,13.15244510978044
2012-04-01,13.271651560926484
2012-05-01,13.409391534391531
2012-06-01,11.623669123669124
2012-07-01,14.079861111111112
2012-08-01,14.11908077994429
2012-09-01,13.295081967213115
2012-10-01,12.557713963963963
2012-11-01,12.423406862745098
2012-12-01,12.473434004474273
2013-01-01,10.643044619422573
2013-02-01,11.99059139784946
2013-03-01,12.140718562874252
2013-04-01,12.250755287009063
2013-05-01,12.51543209876543
2013-06-01,10.793407043407043
2013-07-01,12.319878472222223
2013-08-01,14.11908077994429
2013-09-01,12.187158469945356
2013-10-01,12.557713963963963
2013-11-01,12.423406862745098
2013-12-01,11.339485458612975
2014-01-01,9.756124234470692
2014-02-01,11.99059139784946
2014-03-01,12.140718562874252
2014-04-01,12.250755287009063
2014-05-01,12.51543209876543
2014-06-01,13.284193284193284
2014-07-01,14.079861111111112
2014-08-01,14.11908077994429
2014-09-01,14.403005464480875
2014-10-01,13.699324324324323
2014-11-01,13.665747549019608
2014-12-01,12.473434004474273
2015-01-01,10.643044619422573
2015-02-01,13.08064516129032
2015-03-01,14.164171656686626
2015-04-01,14.292547834843907
2015-05-01,13.409391534391531
2015-06-01,12.453931203931203
2015-07-01,14.079861111111112
2015-08-01,14.11908077994429
2015-09-01,14.403005464480875
2015-10-01,13.699324324324323
2015-11-01,12.423406862745098
2015-12-01,12.473434004474273
2016-01-01,10.643044619422573
2016-02-01,13.08064516129032
2016-03-01,12.140718562874252
2016-04-01,13.271651560926484
2016-05-01,12.51543209876543
2016-06-01,11.623669123669124
2016-07-01,12.319878472222223
2016-08-01,12.236536675951719
2016-09-01,13.295081967213115
2016-10-01,15.982545045045043
2016-11-01,16.15042892156863
2016-12-01,14.741331096196866
2017-01-01,13.303805774278215
2017-02-01,16.3508064516129
2017-03-01,16.187624750499
2017-04-01,16.33434038267875
2017-05-01,16.09126984126984
2017-06-01,15.774979524979525
2017-07-01,19.35980902777778
2017-08-01,16.94289693593315
2017-09-01,21.050546448087434
2017-10-01,21.690596846846844
2017-11-01,14.90808823529412
2017-12-01,11.339485458612975
2018-01-01,9.756124234470692
2018-02-01,13.08064516129032
2018-03-01,12.140718562874252
2018-04-01,12.250755287009063
2018-05-01,11.621472663139327
2018-06-01,10.793407043407043
2018-07-01,11.439887152777779
2018-08-01,11.295264623955433
2018-09-01,12.187158469945356
2018-10-01,11.416103603603602
2018-11-01,11.181066176470589
2018-12-01,10.205536912751677
2019-01-01,8.869203849518811
2019-02-01,11.99059139784946
2019-03-01,11.128992015968063
2019-04-01,11.229859013091641
2019-05-01,12.51543209876543
2019-06-01,9.963144963144963
2019-07-01,10.559895833333334
2019-08-01,11.295264623955433
2019-09-01,13.295081967213115
2019-10-01,12.557713963963963
2019-11-01,12.423406862745098
2019-12-01,13.607382550335569
2020-01-01,12.416885389326335
2020-02-01,15.26075268817204
2020-03-01,16.187624750499
2020-04-01,10.208962739174218
2020-05-01,8.04563492063492
2020-06-01,11.623669123669124
2020-07-01,10.559895833333334
2020-08-01,12.236536675951719
2020-09-01,12.187158469945356
2020-10-01,14.840934684684683
2020-11-01,9.938725490196079
2020-12-01,10.205536912751677
2021-01-01,7.98228346456693
2021-02-01,9.81048387096774
2021-03-01,9.105538922155688
2021-04-01,12.250755287009063
2021-05-01,10.727513227513226
2021-06-01,9.132882882882884
2021-07-01,8.799913194444445
2021-08-01,8.471448467966574
2021-09-01,9.971311475409836
2021-10-01,11.416103603603602
2021-11-01,12.423406862745098
2021-12-01,9.07158836689038
2022-01-01,6.208442694663168
2022-02-01,9.81048387096774
2022-03-01,10.117265469061875
2022-04-01,9.188066465256798
2022-05-01,8.939594356261022
2022-06-01,8.302620802620803
2022-07-01,8.799913194444445
2022-08-01,8.471448467966574
2022-09-01,8.863387978142077
2022-10-01,10.274493243243242
2022-11-01,8.69638480392157
2022-12-01,9.07158836689038
2023-01-01,7.98228346456693
2023-02-01,8.72043010752688
2023-03-01,9.105538922155688
2023-04-01,9.188066465256798
2023-05-01,8.939594356261022
2023-06-01,7.472358722358722
2023-07-01,9.67990451388889
2023-08-01,9.41272051996286
2023-09-01,9.971311475409836
2023-10-01,10.274493243243242
2023-11-01,9.938725490196079
2023-12-01,10.205536912751677
2024-01-01,7.98228346456693
2024-02-01,10.9005376344086
2024-03-01,10.117265469061875
2024-04-01,10.208962739174218
2024-05-01,9.833553791887123
2024-06-01,9.132882882882884
2024-07-01,8.799913194444445
2024-08-01,10.353992571959147
2024-09-01,11.079234972677597
2024-10-01,11.416103603603602
2024-11-01,11.181066176470589
2024-12-01,18.14317673378076
2025-01-01,8.869203849518811
2025-02-01,9.81048387096774
2025-03-01,10.117265469061875
2025-04-01,9.188066465256798
2025-05-01,10.727513227513226
2025-06-01,11.623669123669124
2025-07-01,14.959852430555557
2025-08-01,10.353992571959147
2025-09-01,8.863387978142077
2025-10-01,10.274493243243242
2025-11-01,13.665747549019608
2025-12-01,13.607382550335569
