date,Carnival Cruise
2004-01-01,29.034010464758385
2004-02-01,26.63532484492328
2004-03-01,25.04590108401084
2004-04-01,27.058372641509433
2004-05-01,27.381264916467778
2004-06-01,27.784855317549788
2004-07-01,27.83296943231441
2004-08-01,29.23259623259623
2004-09-01,30.226630186958502
2004-10-01,27.49460784313725
2004-11-01,27.37384089799902
2004-12-01,28.60589060308555
2005-01-01,29.818713450292396
2005-02-01,27.46767874632713
2005-03-01,26.77320460704607
2005-04-01,27.058372641509433
2005-05-01,26.36714399363564
2005-06-01,28.742953776775643
2005-07-01,27.83296943231441
2005-08-01,27.14455364455364
2005-09-01,31.389192886456907
2005-10-01,28.744362745098034
2005-11-01,26.129575402635428
2005-12-01,25.030154277699857
2006-01-01,25.110495537088333
2006-02-01,25.802970943519426
2006-03-01,25.04590108401084
2006-04-01,25.054048742138363
2006-05-01,26.36714399363564
2006-06-01,25.86865839909808
2006-07-01,25.977438136826784
2006-08-01,25.056511056511052
2006-09-01,26.73894208846329
2006-10-01,27.49460784313725
2006-11-01,28.618106393362613
2006-12-01,27.413978494623652
2007-01-01,32.172822406894426
2007-02-01,29.964740450538688
2007-03-01,31.95511517615176
2007-04-01,30.064858490566035
2007-05-01,31.437748607796337
2007-06-01,35.449642991356626
2007-07-01,32.47179767103348
2007-08-01,31.320638820638816
2007-09-01,32.55175558595531
2007-10-01,29.994117647058818
2007-11-01,31.106637384089797
2007-12-01,27.413978494623652
2008-01-01,34.52693136349646
2008-02-01,30.79709435194254
2008-03-01,32.81876693766937
2008-04-01,33.07134433962264
2008-05-01,33.46599045346062
2008-06-01,34.491544532130774
2008-07-01,34.32732896652111
2008-08-01,36.540745290745285
2008-09-01,40.68969448244414
2008-10-01,37.49264705882352
2008-11-01,38.57223035627135
2008-12-01,36.949275362318836
2009-01-01,40.80455524776854
2009-02-01,40.78534116878877
2009-03-01,41.45528455284553
2009-04-01,48.10377358490565
2009-05-01,40.564836913285596
2009-06-01,39.28203682826005
2009-07-01,40.8216885007278
2009-08-01,43.84889434889434
2009-09-01,45.33994528043775
2009-10-01,48.74044117647058
2009-11-01,47.282088823816494
2009-12-01,45.292660121552125
2010-01-01,48.651585103108644
2010-02-01,44.11475677440418
2010-03-01,42.31893631436314
2010-04-01,45.09728773584905
2010-05-01,45.6354415274463
2010-06-01,46.94682450206688
2010-07-01,39.893922852983984
2010-08-01,44.89291564291563
2010-09-01,43.01481988144095
2010-10-01,44.99117647058823
2010-11-01,52.259150805270856
2010-12-01,38.141187470780736
2011-01-01,50.220991074176666
2011-02-01,44.11475677440418
2011-03-01,38.00067750677506
2011-04-01,39.084316037735846
2011-05-01,41.57895783611774
2011-06-01,40.2401352874859
2011-07-01,40.8216885007278
2011-08-01,41.76085176085175
2011-09-01,44.17738258093935
2011-10-01,43.741421568627445
2011-11-01,42.305026842362125
2011-12-01,44.100748013090225
2012-01-01,57.28331794398276
2012-02-01,46.61181847861574
2012-03-01,46.637195121951216
