date,airfare
2004-01-01,81.30439374735953
2004-02-01,71.28264718902169
2004-03-01,81.49779249448123
2004-04-01,78.73973429951691
2004-05-01,78.84337068160598
2004-06-01,82.91388888888889
2004-07-01,82.40820219360992
2004-08-01,82.89953399122807
2004-09-01,85.94349520383693
2004-10-01,83.04415422885572
2004-11-01,82.29771115409413
2004-12-01,88.52971311475409
2005-01-01,82.96366708914236
2005-02-01,83.45285524568393
2005-03-01,78.89679911699778
2005-04-01,81.58574879227054
2005-05-01,85.2608543417367
2005-06-01,86.405
2005-07-01,82.40820219360992
2005-08-01,78.59306469298245
2005-09-01,81.23426258992806
2005-10-01,78.1592039800995
2005-11-01,77.23323662153449
2005-12-01,73.77476092896174
2006-01-01,67.20057034220532
2006-02-01,66.93614431164232
2006-03-01,70.22682119205298
2006-04-01,75.89371980676329
2006-05-01,71.50910364145659
2006-06-01,66.33111111111111
2006-07-01,72.10717691940867
2006-08-01,69.98012609649122
2006-09-01,67.10656474820144
2006-10-01,72.05301616915423
2006-11-01,67.10428755641522
2006-12-01,63.04388661202185
2007-01-01,57.24493029150823
2007-02-01,59.11243913235945
2007-03-01,57.221854304635755
2007-04-01,58.817632850241544
2007-05-01,63.25805322128852
2007-06-01,62.839999999999996
2007-07-01,58.99678111587983
2007-08-01,57.06071820175438
2007-09-01,57.688099520383695
2007-10-01,61.061878109452735
2007-11-01,58.24145712443585
2007-12-01,54.99573087431693
2008-01-01,48.11892691170257
2008-02-01,50.419433377600704
2008-03-01,48.551876379690945
2008-04-01,51.22826086956522
2008-05-01,52.25665266106443
2008-06-01,48.87555555555556
2008-07-01,47.759298998569385
2008-08-01,45.217927631578945
2008-09-01,42.38309352517986
2008-10-01,45.185789800995025
2008-11-01,48.11250805931657
2008-12-01,49.63029371584699
2009-01-01,38.99292353189691
2009-02-01,40.85712704736609
2009-03-01,43.34988962472406
2009-04-01,38.895531400966185
2009-05-01,39.42168534080299
2009-06-01,43.638888888888886
2009-07-01,43.077014783023365
2009-08-01,45.217927631578945
2009-09-01,38.851169064748206
2009-10-01,39.07960199004975
2009-11-01,36.71744036105738
2009-12-01,34.87534153005464
2010-01-01,28.207646810308404
2010-02-01,30.4255201416556
2010-03-01,32.945916114790286
2010-04-01,30.357487922705314
2010-05-01,29.337068160597575
2010-06-01,28.801666666666666
2010-07-01,28.09370529327611
2010-08-01,25.838815789473685
2010-09-01,28.255395683453237
2010-10-01,26.867226368159205
2010-11-01,26.588491295938102
2010-12-01,25.485826502732237
2011-01-01,28.207646810308404
2011-02-01,31.294820717131472
2011-03-01,29.477924944812358
2011-04-01,27.51147342995169
2011-05-01,29.337068160597575
2011-06-01,32.29277777777778
2011-07-01,29.966618979494516
2011-08-01,29.068667763157894
2011-09-01,29.432703836930457
2011-10-01,28.08846393034826
2011-11-01,29.120728562217923
2011-12-01,29.509904371584696
2012-01-01,26.548373468525558
2012-02-01,26.079017264276228
2012-03-01,25.142935982339953
2012-04-01,25.61413043478261
2012-05-01,24.753151260504204
2012-06-01,22.69222222222222
2012-07-01,23.41142107773009
2012-08-01,23.685581140350877
2012-09-01,25.900779376498804
2012-10-01,24.424751243781095
2012-11-01,22.790135396518373
2012-12-01,22.803107923497265
2013-01-01,21.570553443177015
2013-02-01,21.732514386896856
2013-03-01,20.807947019867548
2013-04-01,21.819444444444443
2013-05-01,22.919584500466854
2013-06-01,20.946666666666665
2013-07-01,22.474964234620888
2013-08-01,23.685581140350877
2013-09-01,23.546163069544367
2013-10-01,24.424751243781095
2013-11-01,25.322372662798195
2013-12-01,26.827185792349724
2014-01-01,22.40019011406844
2014-02-01,22.601814962372732
2014-03-01,22.54194260485651
2014-04-01,22.768115942028984
2014-05-01,22.002801120448183
2014-06-01,21.819444444444443
2014-07-01,20.60205054840248
2014-08-01,21.53234649122807
2014-09-01,21.19154676258993
2014-10-01,19.539800995024876
2014-11-01,20.257898130238555
