date,things to do
2004-01-01,16.89533622559653
2004-02-01,17.200828157349896
2004-03-01,16.62382297551789
2004-04-01,17.923350253807108
2004-05-01,18.968036529680365
2004-06-01,18.247135217723454
2004-07-01,17.67659574468085
2004-08-01,17.93609671848014
2004-09-01,18.642555438225976
2004-10-01,17.19370860927152
2004-11-01,18.633373205741627
2004-12-01,19.18706697459584
2005-01-01,19.14804772234273
2005-02-01,20.425983436853002
2005-03-01,20.535310734463277
2005-04-01,21.086294416243657
2005-05-01,22.76164383561644
2005-06-01,19.833842627960273
2005-07-01,19.886170212765954
2005-08-01,19.729706390328154
2005-09-01,19.739176346356913
2005-10-01,20.632450331125828
2005-11-01,22.36004784688995
2005-12-01,20.38625866050808
2006-01-01,23.65347071583514
2006-02-01,21.50103519668737
2006-03-01,21.513182674199623
2006-04-01,23.194923857868023
2006-05-01,22.76164383561644
2006-06-01,23.00725744843392
2006-07-01,21.359219858156028
2006-08-01,22.420120898100173
2006-09-01,21.932418162618795
2006-10-01,21.778697571743926
2006-11-01,22.36004784688995
2006-12-01,21.58545034642032
2007-01-01,23.65347071583514
2007-02-01,23.651138716356108
2007-03-01,25.424670433145007
2007-04-01,25.303553299492386
2007-05-01,25.606849315068494
2007-06-01,25.38731856378915
2007-07-01,25.041843971631202
2007-08-01,26.0073402417962
2007-09-01,25.222280887011614
2007-10-01,25.217439293598233
2007-11-01,24.8444976076555
2007-12-01,25.18302540415704
2008-01-01,27.032537960954446
2008-02-01,27.95134575569358
2008-03-01,26.402542372881353
2008-04-01,28.466497461928935
2008-05-01,29.400456621004565
2008-06-01,26.974025974025974
2008-07-01,27.25141843971631
2008-08-01,29.59455958549223
2008-09-01,25.222280887011614
2008-10-01,27.509933774834437
2008-11-01,28.571172248803826
2008-12-01,27.58140877598152
2009-01-01,30.41160520607375
2009-02-01,31.176501035196686
2009-03-01,30.31403013182674
2009-04-01,30.5751269035533
2009-05-01,33.194063926940636
2009-06-01,32.52750190985485
2009-07-01,31.67056737588652
2009-08-01,32.28497409326425
2009-09-01,30.70538542766631
2009-10-01,29.802428256070638
2009-11-01,33.540071770334926
2009-12-01,31.17898383371824
2010-01-01,33.79067245119306
2010-02-01,33.326604554865426
2010-03-01,34.225517890772124
2010-04-01,35.846700507614216
2010-05-01,39.83287671232877
2010-06-01,37.28762414056531
2010-07-01,34.61666666666666
2010-08-01,34.97538860103627
2010-09-01,33.99524815205913
2010-10-01,33.24116997792494
2010-11-01,33.540071770334926
2010-12-01,32.37817551963048
2011-01-01,38.29609544468546
2011-02-01,40.851966873706004
2011-03-01,39.114877589453855
2011-04-01,41.11827411167513
2011-05-01,39.83287671232877
2011-06-01,42.04774637127578
2011-07-01,43.454964539007086
2011-08-01,40.35621761658031
2011-09-01,37.28511087645195
2011-10-01,38.97240618101545
2011-11-01,38.508971291866025
2011-12-01,40.77251732101616
2012-01-01,41.67516268980477
2012-02-01,43.00207039337474
2012-03-01,41.070621468926554
2012-04-01,45.33553299492386
2012-05-01,44.574885844748856
2012-06-01,44.42780748663101
2012-07-01,44.928014184397156
2012-08-01,43.046632124352335
2012-09-01,43.86483632523759
2012-10-01,38.97240618101545
2012-11-01,38.508971291866025
2012-12-01,40.77251732101616
2013-01-01,42.80151843817787
2013-02-01,43.00207039337474
2013-03-01,44.98210922787194
2013-04-01,43.22690355329949
2013-05-01,43.62648401826484
2013-06-01,44.42780748663101
2013-07-01,47.137588652482265
2013-08-01,46.63385146804836
2013-09-01,42.768215417106646
2013-10-01,42.41114790286976
2013-11-01,44.7200956937799
2013-12-01,44.37009237875288
2014-01-01,46.18058568329718
2014-02-01,46.22722567287784
2014-03-01,46.93785310734463
2014-04-01,47.444162436548226
2014-05-01,49.31689497716895
2014-06-01,49.98128342245989
2014-07-01,52.29326241134751
2014-08-01,52.91148531951641
2014-09-01,44.96145723336853
2014-10-01,43.55739514348785
2014-11-01,48.44677033492823
2014-12-01,47.9676674364896
2015-01-01,47.30694143167028
2015-02-01,47.302277432712216
2015-03-01,50.849340866290014
2015-04-01,50.60710659898477
2015-05-01,53.11050228310502
2015-06-01,52.36134453781512
2015-07-01,58.18546099290779
2015-08-01,55.60189982728843
2015-09-01,54.831045406546984
2015-10-01,52.72737306843267
2015-11-01,52.17344497607655
2015-12-01,53.9636258660508
2016-01-01,56.317787418655094
2016-02-01,55.90269151138716
2016-03-01,59.650188323917135
2016-04-01,57.987309644670056
2016-05-01,59.74931506849315
2016-06-01,58.70817417876241
2016-07-01,60.3950354609929
2016-08-01,54.705094991364426
2016-09-01,60.314149947201685
2016-10-01,60.75110375275938
2016-11-01,59.62679425837321
2016-12-01,57.561200923787524
2017-01-01,63.075921908893704
2017-02-01,60.20289855072464
2017-03-01,63.56167608286252
2017-04-01,65.36751269035534
2017-05-01,63.542922374429224
2017-06-01,65.84835752482812
2017-07-01,69.23333333333332
2017-08-01,66.36355785837651
2017-09-01,58.1209081309398
2017-10-01,63.04359823399558
2017-11-01,63.35346889952153
2017-12-01,64.75635103926096
2018-01-01,65.3286334056399
2018-02-01,65.57815734989649
2018-03-01,69.4289077212806
2018-04-01,66.42182741116751
2018-05-01,69.23333333333333
2018-06-01,67.43506493506493
2018-07-01,73.65248226950354
2018-08-01,69.05397236614853
2018-09-01,69.0871172122492
2018-10-01,68.77483443708608
2018-11-01,64.59569377990431
2018-12-01,69.55311778290992
2019-01-01,72.08676789587852
2019-02-01,66.65320910973085
2019-03-01,72.36252354048963
2019-04-01,72.74771573604062
2019-05-01,69.23333333333333
2019-06-01,76.16195569136745
