date,cheap flights
2004-01-01,41.39633534136546
2004-02-01,37.63856233161891
2004-03-01,37.64383070301291
2004-04-01,40.73077967943493
2004-05-01,39.556821106821104
2004-06-01,44.36848958333333
2004-07-01,45.41648120672601
2004-08-01,45.52959039548023
2004-09-01,44.11003236245954
2004-10-01,40.837823910482925
2004-11-01,41.09192592592593
2004-12-01,41.17663214061519
2005-01-01,46.100464357429715
2005-02-01,37.63856233161891
2005-03-01,37.64383070301291
2005-04-01,39.712510187449055
2005-05-01,42.45122265122264
2005-06-01,41.70638020833333
2005-07-01,40.782146389713155
2005-08-01,38.11779661016949
2005-09-01,38.5962783171521
2005-10-01,39.73409893992933
2005-11-01,36.64955555555556
2005-12-01,32.94130571249215
2006-01-01,42.33716114457831
2006-02-01,42.2286309086456
2006-03-01,41.22895743663319
2006-04-01,45.8221271393643
2006-05-01,46.310424710424705
2006-06-01,43.481119791666664
2006-07-01,46.343348170128586
2006-08-01,42.35310734463277
2006-09-01,41.90453074433657
2006-10-01,47.46017373380448
2006-11-01,47.75548148148148
2006-12-01,42.35310734463276
2007-01-01,48.922941767068274
2007-02-01,48.65472691648298
2007-03-01,47.50292922046867
2007-04-01,49.89520510730779
2007-05-01,56.92323037323037
2007-06-01,56.791666666666664
2007-07-01,55.6120178041543
2007-08-01,56.11786723163842
2007-09-01,54.03478964401294
2007-10-01,55.18624852767962
2007-11-01,48.86607407407407
2007-12-01,47.05900816070307
2008-01-01,56.44954819277108
2008-02-01,55.08082292432035
2008-03-01,50.19177427068388
2008-04-01,48.87693561532191
2008-05-01,50.16962676962676
2008-06-01,45.255859375
2008-07-01,41.70901335311573
2008-08-01,46.588418079096044
2008-09-01,66.16504854368931
2008-10-01,60.70487338044759
2008-11-01,67.74614814814815
2008-12-01,70.5885122410546
2009-01-01,63.03532881526104
2009-02-01,63.342946362968405
2009-03-01,75.28766140602582
2009-04-01,73.31540342298287
2009-05-01,69.46563706563705
2009-06-01,78.08854166666666
2009-07-01,83.41802670623146
2009-08-01,78.35324858757062
2009-09-01,80.50080906148867
2009-10-01,82.77937279151944
2009-11-01,83.29444444444444
2009-12-01,78.82383866917765
2010-01-01,78.08854166666666
2010-02-01,76.19513837864315
2010-03-01,80.66535150645623
2010-04-01,81.46155935886986
2010-05-01,76.21924066924066
2010-06-01,78.97591145833333
2010-07-01,72.2956231454006
2010-08-01,73.05911016949153
2010-09-01,77.1925566343042
2010-10-01,75.0532979976443
2010-11-01,73.29911111111112
2010-12-01,76.47088826114249
2011-01-01,85.61514809236948
2011-02-01,86.29328924810189
2011-03-01,83.35419655667144
2011-04-01,86.55290681879923
2011-05-01,83.93764478764477
2011-06-01,88.73697916666666
2011-07-01,85.27176063303659
2011-08-01,85.76504237288135
2011-09-01,81.60355987055016
2011-10-01,80.57192285041225
2011-11-01,83.29444444444444
2011-12-01,81.1767890772128
2012-01-01,76.20689006024097
2012-02-01,78.03116580945382
2012-03-01,70.80625298900047
2012-04-01,67.20578647106764
2012-05-01,67.53603603603602
