date,cruise
2004-01-01,55.268192048012004
2004-02-01,52.929720575783236
2004-03-01,49.76289335664336
2004-04-01,52.01537744641194
2004-05-01,51.36725663716814
2004-06-01,50.77843137254903
2004-07-01,52.99453654860588
2004-08-01,58.54793637145314
2004-09-01,54.285714285714285
2004-10-01,49.06593406593407
2004-11-01,51.12595419847329
2004-12-01,52.598167539267024
2005-01-01,60.29257314328582
2005-02-01,51.98454699407282
2005-03-01,50.73863636363637
2005-04-01,60.337837837837846
2005-05-01,64.20907079646018
2005-06-01,87.54901960784315
2005-07-01,62.24755086661643
2005-08-01,55.66852966466036
2005-09-01,50.89285714285714
2005-10-01,62.55906593406594
2005-11-01,55.99509269356599
2005-12-01,50.26047120418849
2006-01-01,53.593398349587396
2006-02-01,50.094199830651995
2006-03-01,55.61735139860141
2006-04-01,62.418452935694326
2006-05-01,56.30641592920354
2006-06-01,45.52549019607844
2006-07-01,54.67690278824416
2006-08-01,55.66852966466036
2006-09-01,74.64285714285714
2006-10-01,52.745879120879124
2006-11-01,62.08151581243185
2006-12-01,50.26047120418849
2007-01-01,51.081207801950484
2007-02-01,49.14902624894158
2007-03-01,50.73863636363637
2007-04-01,53.05568499534017
2007-05-01,50.37942477876106
2007-06-01,47.2764705882353
2007-07-01,48.788620949510175
2007-08-01,48.94991401547722
2007-09-01,48.63095238095238
2007-10-01,51.519230769230774
2007-11-01,49.90866957470012
2007-12-01,46.75392670157069
2008-01-01,58.61777944486121
2008-02-01,50.094199830651995
2008-03-01,49.76289335664336
2008-04-01,47.85414725069898
2008-05-01,52.355088495575224
2008-06-01,45.52549019607844
2008-07-01,44.58270535041447
2008-08-01,47.030309544282034
2008-09-01,45.23809523809524
2008-10-01,45.385989010989015
2008-11-01,48.691384950926945
2008-12-01,52.598167539267024
2009-01-01,50.24381095273819
2009-02-01,46.31350550381033
2009-03-01,44.88417832167833
2009-04-01,48.89445479962722
2009-05-01,45.440265486725664
2009-06-01,43.774509803921575
2009-07-01,44.58270535041447
2009-08-01,49.90971625107481
2009-09-01,47.5
2009-10-01,49.06593406593407
2009-11-01,52.34323882224646
2009-12-01,46.75392670157069
2010-01-01,46.05682670667667
2010-02-01,47.25867908552075
2010-03-01,48.787150349650354
2010-04-01,47.85414725069898
2010-05-01,47.415929203539825
2010-06-01,48.15196078431373
2010-07-01,42.059155990957045
2010-08-01,44.150902837489255
2010-09-01,44.107142857142854
2010-10-01,45.385989010989015
2010-11-01,47.47410032715377
2010-12-01,42.07853403141362
2011-01-01,51.081207801950484
2011-02-01,51.03937341236241
2011-03-01,47.81140734265735
2011-04-01,44.733224603914266
2011-05-01,44.45243362831859
2011-06-01,42.02352941176471
2011-07-01,44.58270535041447
2011-08-01,42.23129836629407
2011-09-01,44.107142857142854
2011-10-01,47.839285714285715
2011-11-01,45.03953107960742
2011-12-01,47.92277486910996
2012-01-01,70.34133533383346
2012-02-01,51.98454699407282
2012-03-01,46.83566433566434
2012-04-01,49.93476234855546
2012-05-01,46.42809734513274
2012-06-01,56.031372549019615
2012-07-01,66.45346646571214
2012-08-01,47.030309544282034
2012-09-01,49.76190476190476
2012-10-01,52.745879120879124
2012-11-01,47.47410032715377
2012-12-01,52.598167539267024
2013-01-01,52.75600150037509
2013-02-01,64.27180355630821
2013-03-01,49.76289335664336
2013-04-01,54.09599254426841
2013-05-01,51.36725663716814
2013-06-01,48.15196078431373
2013-07-01,45.423888470233614
2013-08-01,47.030309544282034
2013-09-01,47.5
2013-10-01,47.839285714285715
