date,beach vacation
2004-01-01,59.39955106621773
2004-02-01,52.75821596244131
2004-03-01,56.388888888888886
2004-04-01,52.398753894081
2004-05-01,53.122398001665275
2004-06-01,51.75017158544954
2004-07-01,55.79710144927536
2004-08-01,55.83238958097395
2004-09-01,57.73606370875995
2004-10-01,53.38593030900723
2004-11-01,59.793814432989684
2004-12-01,52.44122965641953
2005-01-01,56.958473625140286
2005-02-01,61.267605633802816
2005-03-01,57.99999999999999
2005-04-01,55.10903426791277
2005-05-01,54.732167638079375
2005-06-01,50.42324410889955
2005-07-01,51.44927536231884
2005-08-01,56.92714231785579
2005-09-01,52.787258248009095
2005-10-01,51.479289940828394
2005-11-01,53.814432989690715
2005-12-01,52.44122965641953
2006-01-01,54.51739618406285
2006-02-01,51.056338028169016
2006-03-01,51.55555555555555
2006-04-01,54.205607476635514
2006-05-01,46.683319456008874
2006-06-01,45.7789979409746
2006-07-01,49.27536231884058
2006-08-01,55.83238958097395
2006-09-01,54.43686006825938
2006-10-01,55.292570677186056
2006-11-01,57.80068728522336
2006-12-01,52.44122965641953
2007-01-01,57.77216610549944
2007-02-01,51.90727699530517
2007-03-01,49.138888888888886
2007-04-01,55.10903426791277
2007-05-01,48.293089092422974
2007-06-01,47.76938915579958
2007-07-01,52.17391304347826
2007-08-01,51.45337863344658
2007-09-01,57.73606370875995
2007-10-01,57.19921104536488
2007-11-01,53.814432989690715
2007-12-01,54.18927064496685
2008-01-01,54.51739618406285
2008-02-01,51.90727699530517
2008-03-01,56.388888888888886
2008-04-01,53.30218068535825
2008-05-01,52.317513183458225
2008-06-01,53.07709906199953
2008-07-01,55.79710144927536
2008-08-01,55.83238958097395
2008-09-01,49.48805460750853
2008-10-01,57.19921104536488
2008-11-01,53.814432989690715
2008-12-01,50.693188667872214
2009-01-01,50.44893378226711
2009-02-01,48.50352112676057
2009-03-01,57.194444444444436
2009-04-01,55.10903426791277
2009-05-01,57.146822092700525
2009-06-01,57.057881491649496
2009-07-01,61.594202898550726
2009-08-01,59.11664779161948
2009-09-01,51.13765642775881
2009-10-01,53.38593030900723
2009-11-01,59.793814432989684
2009-12-01,54.18927064496685
2010-01-01,57.77216610549944
